Player: 李昌镐, Date: 1993-06-14, Rating: 3516, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-06-08, Rating: 3515, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 李昌镐, Date: 1993-06-03, Rating: 3514, Black and White: 执白, Result: 胜, Opponent: 金日焕
Player: 李昌镐, Date: 1993-06-01, Rating: 3514, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 1993-05-29, Rating: 3513, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-05-20, Rating: 3512, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-05-17, Rating: 3511, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1993-05-12, Rating: 3510, Black and White: 执白, Result: 胜, Opponent: 徐能旭
Player: 李昌镐, Date: 1993-05-06, Rating: 3509, Black and White: 执黑, Result: 胜, Opponent: 姜勋(大)
Player: 李昌镐, Date: 1993-04-24, Rating: 3506, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 李昌镐, Date: 1993-04-22, Rating: 3506, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 李昌镐, Date: 1993-04-06, Rating: 3502, Black and White: 执白, Result: 胜, Opponent: 林宣根
Player: 李昌镐, Date: 1993-03-29, Rating: 3500, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-03-25, Rating: 3499, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-03-19, Rating: 3498, Black and White: 执黑, Result: 胜, Opponent: 张秀英
Player: 李昌镐, Date: 1993-03-17, Rating: 3498, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 李昌镐, Date: 1993-03-15, Rating: 3497, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-03-12, Rating: 3497, Black and White: 执白, Result: 负, Opponent: 张秀英
Player: 李昌镐, Date: 1993-03-06, Rating: 3496, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-02-23, Rating: 3494, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-02-19, Rating: 3493, Black and White: 执黑, Result: 胜, Opponent: 张秀英
Player: 李昌镐, Date: 1993-02-11, Rating: 3492, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-02-09, Rating: 3492, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-02-06, Rating: 3491, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 李昌镐, Date: 1993-02-04, Rating: 3491, Black and White: 执白, Result: 胜, Opponent: 金寅
Player: 李昌镐, Date: 1993-02-01, Rating: 3491, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1993-01-30, Rating: 3490, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-01-26, Rating: 3490, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1993-01-22, Rating: 3489, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 李昌镐, Date: 1993-01-20, Rating: 3488, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-01-14, Rating: 3487, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 李昌镐, Date: 1993-01-13, Rating: 3487, Black and White: 执黑, Result: 胜, Opponent: 曹大元
Player: 李昌镐, Date: 1993-01-11, Rating: 3487, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-01-08, Rating: 3486, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1993-01-06, Rating: 3486, Black and White: 执白, Result: 胜, Opponent: 郑寿铉
Player: 李昌镐, Date: 1993-01-04, Rating: 3486, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 曹薰铉, Date: 1993-12-30, Rating: 3435, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-12-29, Rating: 3435, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 曹薰铉, Date: 1993-12-29, Rating: 3435, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1993-12-27, Rating: 3435, Black and White: 执黑, Result: 负, Opponent: 崔圭丙
Player: 曹薰铉, Date: 1993-12-24, Rating: 3435, Black and White: 执白, Result: 胜, Opponent: 李昌镐
