Rank,Player,Profile URL
1,柯洁,https://www.goratings.org/zh/../../zh/players/1195.html
2,朴廷桓,https://www.goratings.org/zh/../../zh/players/1090.html
3,时越,https://www.goratings.org/zh/../../zh/players/449.html
4,李世石,https://www.goratings.org/zh/../../zh/players/5.html
5,金志锡,https://www.goratings.org/zh/../../zh/players/862.html
6,芈昱廷,https://www.goratings.org/zh/../../zh/players/1155.html
7,柁嘉熹,https://www.goratings.org/zh/../../zh/players/433.html
8,陈耀烨,https://www.goratings.org/zh/../../zh/players/297.html
9,连笑,https://www.goratings.org/zh/../../zh/players/1082.html
10,周睿羊,https://www.goratings.org/zh/../../zh/players/381.html
11,江维杰,https://www.goratings.org/zh/../../zh/players/964.html
12,井山裕太,https://www.goratings.org/zh/../../zh/players/601.html
13,姜东润,https://www.goratings.org/zh/../../zh/players/313.html
14,檀啸,https://www.goratings.org/zh/../../zh/players/995.html
15,李钦诚,https://www.goratings.org/zh/../../zh/players/1282.html
16,唐韦星,https://www.goratings.org/zh/../../zh/players/897.html
17,范廷钰,https://www.goratings.org/zh/../../zh/players/1194.html
18,朴永训,https://www.goratings.org/zh/../../zh/players/125.html
19,王檄,https://www.goratings.org/zh/../../zh/players/76.html
20,古力,https://www.goratings.org/zh/../../zh/players/179.html
21,崔哲瀚,https://www.goratings.org/zh/../../zh/players/161.html
22,辜梓豪,https://www.goratings.org/zh/../../zh/players/1253.html
23,杨鼎新,https://www.goratings.org/zh/../../zh/players/1193.html
24,黄云嵩,https://www.goratings.org/zh/../../zh/players/1232.html
25,李东勋,https://www.goratings.org/zh/../../zh/players/1259.html
26,邱峻,https://www.goratings.org/zh/../../zh/players/45.html
27,彭立尧,https://www.goratings.org/zh/../../zh/players/993.html
28,申真谞,https://www.goratings.org/zh/../../zh/players/1313.html
29,范蕴若,https://www.goratings.org/zh/../../zh/players/1207.html
30,童梦成,https://www.goratings.org/zh/../../zh/players/1250.html
31,罗玄,https://www.goratings.org/zh/../../zh/players/1197.html
32,元晟溱,https://www.goratings.org/zh/../../zh/players/114.html
