Player: 时越, Date: 2013-04-01, Rating: 3599, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 时越, Date: 2013-03-27, Rating: 3599, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 时越, Date: 2013-03-14, Rating: 3597, Black and White: 执白, Result: 负, Opponent: 江维杰
Player: 时越, Date: 2013-03-13, Rating: 3597, Black and White: 执黑, Result: 胜, Opponent: 严欢
Player: 时越, Date: 2013-03-13, Rating: 3597, Black and White: 执白, Result: 胜, Opponent: 胡跃峰
Player: 时越, Date: 2013-03-12, Rating: 3597, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 时越, Date: 2013-03-09, Rating: 3597, Black and White: 执黑, Result: 负, Opponent: 党毅飞
Player: 时越, Date: 2013-03-04, Rating: 3596, Black and White: 执白, Result: 胜, Opponent: 谢赫
Player: 时越, Date: 2013-02-26, Rating: 3596, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 时越, Date: 2013-02-20, Rating: 3596, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 时越, Date: 2013-02-18, Rating: 3595, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 时越, Date: 2013-02-08, Rating: 3594, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 时越, Date: 2013-01-29, Rating: 3593, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 时越, Date: 2013-01-25, Rating: 3593, Black and White: 执黑, Result: 胜, Opponent: 古力
Player: 时越, Date: 2013-01-24, Rating: 3593, Black and White: 执白, Result: 负, Opponent: 古灵益
Player: 时越, Date: 2013-01-18, Rating: 3592, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 时越, Date: 2013-01-17, Rating: 3592, Black and White: 执黑, Result: 胜, Opponent: 李映九
Player: 时越, Date: 2013-01-16, Rating: 3592, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 时越, Date: 2013-01-03, Rating: 3590, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 朴廷桓, Date: 2013-12-24, Rating: 3640, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 朴廷桓, Date: 2013-12-23, Rating: 3640, Black and White: 执黑, Result: 胜, Opponent: 王元均
Player: 朴廷桓, Date: 2013-12-22, Rating: 3640, Black and White: 执黑, Result: 胜, Opponent: 孔杰
Player: 朴廷桓, Date: 2013-12-22, Rating: 3640, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2013-12-21, Rating: 3640, Black and White: 执白, Result: 胜, Opponent: 沟上知亲
Player: 朴廷桓, Date: 2013-12-16, Rating: 3640, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 朴廷桓, Date: 2013-12-15, Rating: 3640, Black and White: 执白, Result: 胜, Opponent: 杨慧人
Player: 朴廷桓, Date: 2013-12-14, Rating: 3640, Black and White: 执白, Result: 胜, Opponent: 樊麾
Player: 朴廷桓, Date: 2013-12-13, Rating: 3640, Black and White: 执黑, Result: 胜, Opponent: 富士田明彦
Player: 朴廷桓, Date: 2013-12-12, Rating: 3640, Black and White: 执白, Result: 胜, Opponent: 周俊勋
Player: 朴廷桓, Date: 2013-12-02, Rating: 3639, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 朴廷桓, Date: 2013-11-30, Rating: 3638, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 朴廷桓, Date: 2013-11-28, Rating: 3638, Black and White: 执白, Result: 胜, Opponent: 连笑
Player: 朴廷桓, Date: 2013-11-23, Rating: 3638, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2013-11-21, Rating: 3637, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 朴廷桓, Date: 2013-11-20, Rating: 3637, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 朴廷桓, Date: 2013-11-17, Rating: 3637, Black and White: 执白, Result: 胜, Opponent: 闵详然
Player: 朴廷桓, Date: 2013-11-16, Rating: 3637, Black and White: 执黑, Result: 胜, Opponent: 周睿羊
Player: 朴廷桓, Date: 2013-11-12, Rating: 3637, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2013-11-04, Rating: 3636, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2013-10-27, Rating: 3635, Black and White: 执黑, Result: 胜, Opponent: 胡耀宇
Player: 朴廷桓, Date: 2013-10-24, Rating: 3635, Black and White: 执黑, Result: 胜, Opponent: 李志贤
Player: 朴廷桓, Date: 2013-10-20, Rating: 3634, Black and White: 执白, Result: 负, Opponent: 时越
Player: 朴廷桓, Date: 2013-10-17, Rating: 3634, Black and White: 执白, Result: 负, Opponent: 李春揆
Player: 朴廷桓, Date: 2013-10-16, Rating: 3634, Black and White: 执黑, Result: 胜, Opponent: 闵详然
Player: 朴廷桓, Date: 2013-10-14, Rating: 3633, Black and White: 执黑, Result: 胜, Opponent: 洪性志
Player: 朴廷桓, Date: 2013-10-13, Rating: 3633, Black and White: 执白, Result: 胜, Opponent: 柯洁
Player: 朴廷桓, Date: 2013-10-11, Rating: 3633, Black and White: 执黑, Result: 胜, Opponent: 朴正祥
Player: 朴廷桓, Date: 2013-10-10, Rating: 3633, Black and White: 执黑, Result: 负, Opponent: 时越
Player: 朴廷桓, Date: 2013-10-08, Rating: 3633, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 朴廷桓, Date: 2013-10-01, Rating: 3632, Black and White: 执黑, Result: 胜, Opponent: 申真谞
Player: 朴廷桓, Date: 2013-09-27, Rating: 3632, Black and White: 执白, Result: 胜, Opponent: 金东昊
Player: 朴廷桓, Date: 2013-09-24, Rating: 3631, Black and White: 执黑, Result: 胜, Opponent: 梁寓皙
Player: 朴廷桓, Date: 2013-09-21, Rating: 3631, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2013-09-19, Rating: 3631, Black and White: 执黑, Result: 胜, Opponent: 李浩范
Player: 朴廷桓, Date: 2013-09-12, Rating: 3630, Black and White: 执黑, Result: 负, Opponent: 古力
Player: 朴廷桓, Date: 2013-09-07, Rating: 3630, Black and White: 执白, Result: 胜, Opponent: 安冬旭
Player: 朴廷桓, Date: 2013-09-04, Rating: 3629, Black and White: 执白, Result: 胜, Opponent: 古力
Player: 朴廷桓, Date: 2013-09-03, Rating: 3629, Black and White: 执黑, Result: 胜, Opponent: 廖行文
Player: 朴廷桓, Date: 2013-09-01, Rating: 3629, Black and White: 执白, Result: 胜, Opponent: 佟禹林
Player: 朴廷桓, Date: 2013-08-28, Rating: 3628, Black and White: 执黑, Result: 胜, Opponent: 李映九
Player: 朴廷桓, Date: 2013-08-27, Rating: 3628, Black and White: 执黑, Result: 胜, Opponent: 姜秉卷
Player: 朴廷桓, Date: 2013-08-25, Rating: 3628, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2013-08-21, Rating: 3627, Black and White: 执黑, Result: 胜, Opponent: 李映九
Player: 朴廷桓, Date: 2013-08-14, Rating: 3626, Black and White: 执白, Result: 负, Opponent: 李映九
Player: 朴廷桓, Date: 2013-08-10, Rating: 3626, Black and White: 执黑, Result: 胜, Opponent: 韩升周
Player: 朴廷桓, Date: 2013-08-08, Rating: 3626, Black and White: 执白, Result: 胜, Opponent: 李载雄
Player: 朴廷桓, Date: 2013-08-01, Rating: 3625, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 朴廷桓, Date: 2013-07-31, Rating: 3625, Black and White: 执黑, Result: 胜, Opponent: 金成宰
Player: 朴廷桓, Date: 2013-07-26, Rating: 3624, Black and White: 执黑, Result: 胜, Opponent: 闵详然
Player: 朴廷桓, Date: 2013-07-24, Rating: 3623, Black and White: 执黑, Result: 胜, Opponent: 金炯佑
Player: 朴廷桓, Date: 2013-07-21, Rating: 3623, Black and White: 执黑, Result: 胜, Opponent: 李元道
Player: 朴廷桓, Date: 2013-07-15, Rating: 3622, Black and White: 执黑, Result: 胜, Opponent: 洪旼杓
Player: 朴廷桓, Date: 2013-07-09, Rating: 3621, Black and White: 执白, Result: 负, Opponent: 彭荃
Player: 朴廷桓, Date: 2013-07-07, Rating: 3621, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2013-06-30, Rating: 3620, Black and White: 执黑, Result: 负, Opponent: 井山裕太
Player: 朴廷桓, Date: 2013-06-29, Rating: 3619, Black and White: 执白, Result: 胜, Opponent: 结城聪
Player: 朴廷桓, Date: 2013-06-23, Rating: 3619, Black and White: 执白, Result: 负, Opponent: 范廷钰
Player: 朴廷桓, Date: 2013-06-22, Rating: 3618, Black and White: 执白, Result: 负, Opponent: 范廷钰
Player: 朴廷桓, Date: 2013-06-15, Rating: 3618, Black and White: 执黑, Result: 胜, Opponent: 罗玄
Player: 朴廷桓, Date: 2013-06-10, Rating: 3617, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2013-06-05, Rating: 3617, Black and White: 执白, Result: 胜, Opponent: 李映九
Player: 朴廷桓, Date: 2013-06-02, Rating: 3617, Black and White: 执白, Result: 胜, Opponent: 邱峻
Player: 朴廷桓, Date: 2013-05-20, Rating: 3615, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2013-05-18, Rating: 3615, Black and White: 执黑, Result: 胜, Opponent: 时越
Player: 朴廷桓, Date: 2013-05-13, Rating: 3614, Black and White: 执黑, Result: 胜, Opponent: 李映九
Player: 朴廷桓, Date: 2013-05-12, Rating: 3614, Black and White: 执白, Result: 负, Opponent: 金庭贤
Player: 朴廷桓, Date: 2013-05-11, Rating: 3614, Black and White: 执黑, Result: 胜, Opponent: 周贺玺
Player: 朴廷桓, Date: 2013-05-09, Rating: 3614, Black and White: 执白, Result: 胜, Opponent: 谢赫
Player: 朴廷桓, Date: 2013-05-04, Rating: 3613, Black and White: 执黑, Result: 胜, Opponent: 蔡竞
Player: 朴廷桓, Date: 2013-05-02, Rating: 3613, Black and White: 执白, Result: 胜, Opponent: 金真辉
Player: 朴廷桓, Date: 2013-04-18, Rating: 3611, Black and White: 执白, Result: 胜, Opponent: 金成宰
Player: 朴廷桓, Date: 2013-04-17, Rating: 3611, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 朴廷桓, Date: 2013-04-17, Rating: 3611, Black and White: 执白, Result: 胜, Opponent: 时越
Player: 朴廷桓, Date: 2013-04-15, Rating: 3610, Black and White: 执黑, Result: 胜, Opponent: 韩尚勋
Player: 朴廷桓, Date: 2013-04-14, Rating: 3610, Black and White: 执白, Result: 胜, Opponent: 范廷钰
Player: 朴廷桓, Date: 2013-04-11, Rating: 3609, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2013-04-07, Rating: 3609, Black and White: 执白, Result: 胜, Opponent: 韩晗
Player: 朴廷桓, Date: 2013-03-27, Rating: 3606, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 朴廷桓, Date: 2013-03-23, Rating: 3605, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 朴廷桓, Date: 2013-03-21, Rating: 3605, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2013-03-19, Rating: 3604, Black and White: 执黑, Result: 负, Opponent: 檀啸
Player: 朴廷桓, Date: 2013-03-16, Rating: 3603, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 朴廷桓, Date: 2013-03-14, Rating: 3603, Black and White: 执白, Result: 负, Opponent: 朴永训
Player: 朴廷桓, Date: 2013-03-10, Rating: 3602, Black and White: 执白, Result: 负, Opponent: 金志锡
Player: 朴廷桓, Date: 2013-03-06, Rating: 3601, Black and White: 执白, Result: 负, Opponent: 范廷钰
Player: 朴廷桓, Date: 2013-03-04, Rating: 3601, Black and White: 执黑, Result: 负, Opponent: 范廷钰
Player: 朴廷桓, Date: 2013-03-01, Rating: 3600, Black and White: 执黑, Result: 胜, Opponent: 江维杰
Player: 朴廷桓, Date: 2013-02-28, Rating: 3600, Black and White: 执白, Result: 胜, Opponent: 谢赫
Player: 朴廷桓, Date: 2013-02-23, Rating: 3599, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 朴廷桓, Date: 2013-02-11, Rating: 3596, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 朴廷桓, Date: 2013-02-07, Rating: 3596, Black and White: 执黑, Result: 负, Opponent: 金庭贤
Player: 朴廷桓, Date: 2013-02-04, Rating: 3595, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 朴廷桓, Date: 2013-02-04, Rating: 3595, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 朴廷桓, Date: 2013-02-01, Rating: 3595, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 朴廷桓, Date: 2013-02-01, Rating: 3595, Black and White: 执白, Result: 胜, Opponent: 谢赫
Player: 朴廷桓, Date: 2013-01-28, Rating: 3594, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 朴廷桓, Date: 2013-01-23, Rating: 3593, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 朴廷桓, Date: 2013-01-18, Rating: 3592, Black and White: 执黑, Result: 负, Opponent: 时越
Player: 朴廷桓, Date: 2013-01-18, Rating: 3592, Black and White: 执黑, Result: 胜, Opponent: 朴文垚
Player: 朴廷桓, Date: 2013-01-17, Rating: 3592, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 朴廷桓, Date: 2013-01-17, Rating: 3592, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 朴廷桓, Date: 2013-01-16, Rating: 3592, Black and White: 执黑, Result: 胜, Opponent: 檀啸
Player: 朴廷桓, Date: 2013-01-16, Rating: 3592, Black and White: 执黑, Result: 负, Opponent: 柁嘉熹
Player: 朴廷桓, Date: 2013-01-15, Rating: 3591, Black and White: 执黑, Result: 胜, Opponent: 唐韦星
Player: 朴廷桓, Date: 2013-01-15, Rating: 3591, Black and White: 执白, Result: 胜, Opponent: 彭立尧
Player: 朴廷桓, Date: 2013-01-07, Rating: 3590, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2013-12-23, Rating: 3569, Black and White: 执黑, Result: 胜, Opponent: 李志贤
Player: 李世石, Date: 2013-12-21, Rating: 3569, Black and White: 执白, Result: 胜, Opponent: 金成进
Player: 李世石, Date: 2013-12-20, Rating: 3569, Black and White: 执白, Result: 胜, Opponent: 安国铉
Player: 李世石, Date: 2013-12-16, Rating: 3568, Black and White: 执白, Result: 负, Opponent: 朴永训
Player: 李世石, Date: 2013-12-16, Rating: 3568, Black and White: 执黑, Result: 胜, Opponent: 韩尚勋
Player: 李世石, Date: 2013-12-15, Rating: 3568, Black and White: 执黑, Result: 负, Opponent: 崔哲瀚
Player: 李世石, Date: 2013-12-14, Rating: 3568, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 李世石, Date: 2013-12-11, Rating: 3568, Black and White: 执黑, Result: 负, Opponent: 唐韦星
Player: 李世石, Date: 2013-12-10, Rating: 3568, Black and White: 执白, Result: 负, Opponent: 唐韦星
Player: 李世石, Date: 2013-12-03, Rating: 3568, Black and White: 执黑, Result: 负, Opponent: 赵汉乘
Player: 李世石, Date: 2013-11-30, Rating: 3568, Black and White: 执白, Result: 负, Opponent: 朴廷桓
Player: 李世石, Date: 2013-11-29, Rating: 3568, Black and White: 执白, Result: 胜, Opponent: 洪性志
Player: 李世石, Date: 2013-11-28, Rating: 3568, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 李世石, Date: 2013-11-26, Rating: 3568, Black and White: 执黑, Result: 负, Opponent: 崔哲瀚
Player: 李世石, Date: 2013-11-23, Rating: 3568, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 李世石, Date: 2013-11-21, Rating: 3568, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 李世石, Date: 2013-11-20, Rating: 3568, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 李世石, Date: 2013-11-16, Rating: 3568, Black and White: 执白, Result: 负, Opponent: 邱峻
Player: 李世石, Date: 2013-11-14, Rating: 3568, Black and White: 执白, Result: 负, Opponent: 睦镇硕
Player: 李世石, Date: 2013-11-12, Rating: 3568, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 李世石, Date: 2013-11-11, Rating: 3568, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 李世石, Date: 2013-11-10, Rating: 3568, Black and White: 执白, Result: 胜, Opponent: 姜东润
