Player: 曹薰铉, Date: 2001-12-18, Rating: 3430, Black and White: 执黑, Result: 胜, Opponent: 崔文墉
Player: 曹薰铉, Date: 2001-12-14, Rating: 3430, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 曹薰铉, Date: 2001-12-12, Rating: 3430, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 曹薰铉, Date: 2001-12-11, Rating: 3430, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 曹薰铉, Date: 2001-11-07, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 曹薰铉, Date: 2001-11-06, Rating: 3431, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 曹薰铉, Date: 2001-10-26, Rating: 3430, Black and White: 执白, Result: 胜, Opponent: 山下敬吾
Player: 曹薰铉, Date: 2001-10-11, Rating: 3430, Black and White: 执黑, Result: 胜, Opponent: 安达勋
Player: 曹薰铉, Date: 2001-09-27, Rating: 3429, Black and White: 执白, Result: 胜, Opponent: 李贤旭
Player: 曹薰铉, Date: 2001-09-06, Rating: 3429, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 2001-09-03, Rating: 3429, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 2001-08-31, Rating: 3428, Black and White: 执白, Result: 胜, Opponent: 潘善琪
Player: 曹薰铉, Date: 2001-08-29, Rating: 3428, Black and White: 执白, Result: 胜, Opponent: 柳时熏
Player: 曹薰铉, Date: 2001-08-21, Rating: 3428, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 2001-08-11, Rating: 3428, Black and White: 执黑, Result: 负, Opponent: 马晓春
Player: 曹薰铉, Date: 2001-08-10, Rating: 3427, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 曹薰铉, Date: 2001-08-04, Rating: 3428, Black and White: 执白, Result: 胜, Opponent: 崔明勋
Player: 曹薰铉, Date: 2001-07-31, Rating: 3428, Black and White: 执黑, Result: 负, Opponent: 梁宰豪
Player: 曹薰铉, Date: 2001-07-25, Rating: 3428, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 2001-07-23, Rating: 3428, Black and White: 执黑, Result: 胜, Opponent: 崔明勋
