Rank,Player,Profile URL
1,时越,https://www.goratings.org/zh/../../zh/players/449.html
2,朴廷桓,https://www.goratings.org/zh/../../zh/players/1090.html
3,李世石,https://www.goratings.org/zh/../../zh/players/5.html
4,金志锡,https://www.goratings.org/zh/../../zh/players/862.html
5,周睿羊,https://www.goratings.org/zh/../../zh/players/381.html
6,陈耀烨,https://www.goratings.org/zh/../../zh/players/297.html
7,古力,https://www.goratings.org/zh/../../zh/players/179.html
8,崔哲瀚,https://www.goratings.org/zh/../../zh/players/161.html
9,芈昱廷,https://www.goratings.org/zh/../../zh/players/1155.html
10,柁嘉熹,https://www.goratings.org/zh/../../zh/players/433.html
11,范廷钰,https://www.goratings.org/zh/../../zh/players/1194.html
12,檀啸,https://www.goratings.org/zh/../../zh/players/995.html
13,王檄,https://www.goratings.org/zh/../../zh/players/76.html
14,柯洁,https://www.goratings.org/zh/../../zh/players/1195.html
15,井山裕太,https://www.goratings.org/zh/../../zh/players/601.html
16,连笑,https://www.goratings.org/zh/../../zh/players/1082.html
17,彭立尧,https://www.goratings.org/zh/../../zh/players/993.html
18,唐韦星,https://www.goratings.org/zh/../../zh/players/897.html
19,姜东润,https://www.goratings.org/zh/../../zh/players/313.html
20,江维杰,https://www.goratings.org/zh/../../zh/players/964.html
21,邱峻,https://www.goratings.org/zh/../../zh/players/45.html
22,朴永训,https://www.goratings.org/zh/../../zh/players/125.html
23,杨鼎新,https://www.goratings.org/zh/../../zh/players/1193.html
24,元晟溱,https://www.goratings.org/zh/../../zh/players/114.html
25,赵汉乘,https://www.goratings.org/zh/../../zh/players/99.html
26,古灵益,https://www.goratings.org/zh/../../zh/players/178.html
27,白洪淅,https://www.goratings.org/zh/../../zh/players/315.html
28,朴文垚,https://www.goratings.org/zh/../../zh/players/380.html
29,谢尔豪,https://www.goratings.org/zh/../../zh/players/1276.html
30,谢赫,https://www.goratings.org/zh/../../zh/players/53.html
31,李钦诚,https://www.goratings.org/zh/../../zh/players/1282.html
32,范蕴若,https://www.goratings.org/zh/../../zh/players/1207.html
