Player: 大竹英雄, Date: 1981-02-18, Rating: 3350, Black and White: 执白, Result: 负, Opponent: 藤泽秀行
Player: 大竹英雄, Date: 1981-02-08, Rating: 3350, Black and White: 执黑, Result: 胜, Opponent: 藤泽秀行
Player: 大竹英雄, Date: 1981-02-04, Rating: 3350, Black and White: 执黑, Result: 负, Opponent: 藤泽秀行
Player: 大竹英雄, Date: 1981-01-28, Rating: 3350, Black and White: 执白, Result: 负, Opponent: 藤泽秀行
Player: 大竹英雄, Date: 1981-01-13, Rating: 3350, Black and White: 执黑, Result: 负, Opponent: 藤泽秀行
Player: 大竹英雄, Date: 1981-01-08, Rating: 3350, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 曹薰铉, Date: 1981-01-02, Rating: 3338, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 加藤正夫, Date: 1981-12-28, Rating: 3320, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 加藤正夫, Date: 1981-12-24, Rating: 3320, Black and White: 执白, Result: 负, Opponent: 岩田达明
Player: 加藤正夫, Date: 1981-12-21, Rating: 3320, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 加藤正夫, Date: 1981-12-17, Rating: 3320, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1981-12-10, Rating: 3320, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 加藤正夫, Date: 1981-12-07, Rating: 3320, Black and White: 执黑, Result: 负, Opponent: 桥本昌二
Player: 加藤正夫, Date: 1981-12-03, Rating: 3320, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 加藤正夫, Date: 1981-11-28, Rating: 3320, Black and White: 执白, Result: 胜, Opponent: 藤泽秀行
Player: 加藤正夫, Date: 1981-11-25, Rating: 3320, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 加藤正夫, Date: 1981-11-19, Rating: 3320, Black and White: 执白, Result: 胜, Opponent: 坂田荣男
Player: 加藤正夫, Date: 1981-11-09, Rating: 3320, Black and White: 执白, Result: 胜, Opponent: 桥本昌二
Player: 加藤正夫, Date: 1981-10-27, Rating: 3320, Black and White: 执黑, Result: 负, Opponent: 桥本昌二
Player: 加藤正夫, Date: 1981-10-14, Rating: 3320, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 加藤正夫, Date: 1981-10-08, Rating: 3320, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 加藤正夫, Date: 1981-10-05, Rating: 3320, Black and White: 执白, Result: 负, Opponent: 本田邦久
Player: 加藤正夫, Date: 1981-10-01, Rating: 3320, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 加藤正夫, Date: 1981-09-24, Rating: 3320, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 加藤正夫, Date: 1981-09-17, Rating: 3321, Black and White: 执黑, Result: 胜, Opponent: 佐藤昌晴
Player: 加藤正夫, Date: 1981-09-09, Rating: 3321, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 加藤正夫, Date: 1981-08-23, Rating: 3323, Black and White: 执白, Result: 胜, Opponent: 片冈聪
Player: 加藤正夫, Date: 1981-08-22, Rating: 3323, Black and White: 执黑, Result: 胜, Opponent: 小岛高穗
Player: 加藤正夫, Date: 1981-08-20, Rating: 3323, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1981-08-13, Rating: 3323, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 加藤正夫, Date: 1981-08-03, Rating: 3323, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1981-07-28, Rating: 3323, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1981-07-16, Rating: 3324, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1981-07-08, Rating: 3324, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1981-07-01, Rating: 3324, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1981-06-25, Rating: 3325, Black and White: 执白, Result: 胜, Opponent: 坂田荣男
Player: 加藤正夫, Date: 1981-06-11, Rating: 3325, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 加藤正夫, Date: 1981-06-04, Rating: 3326, Black and White: 执黑, Result: 胜, Opponent: 石田芳夫
Player: 加藤正夫, Date: 1981-05-28, Rating: 3326, Black and White: 执白, Result: 胜, Opponent: 石田芳夫
Player: 加藤正夫, Date: 1981-05-21, Rating: 3326, Black and White: 执黑, Result: 胜, Opponent: 佐藤昌晴
Player: 加藤正夫, Date: 1981-05-14, Rating: 3326, Black and White: 执黑, Result: 负, Opponent: 岩田达明
Player: 加藤正夫, Date: 1981-05-07, Rating: 3326, Black and White: 执黑, Result: 负, Opponent: 坂田荣男
Player: 加藤正夫, Date: 1981-04-30, Rating: 3327, Black and White: 执白, Result: 胜, Opponent: 本田邦久
Player: 加藤正夫, Date: 1981-04-23, Rating: 3327, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 加藤正夫, Date: 1981-04-09, Rating: 3328, Black and White: 执白, Result: 胜, Opponent: 白江治彦
Player: 加藤正夫, Date: 1981-03-26, Rating: 3329, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 加藤正夫, Date: 1981-03-12, Rating: 3330, Black and White: 执白, Result: 胜, Opponent: 山部俊郎
Player: 加藤正夫, Date: 1981-03-05, Rating: 3330, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 加藤正夫, Date: 1981-03-01, Rating: 3330, Black and White: 执白, Result: 负, Opponent: 坂田荣男
Player: 加藤正夫, Date: 1981-02-19, Rating: 3331, Black and White: 执黑, Result: 胜, Opponent: 本田邦久
Player: 加藤正夫, Date: 1981-02-15, Rating: 3331, Black and White: 执白, Result: 负, Opponent: 坂田荣男
Player: 加藤正夫, Date: 1981-02-14, Rating: 3331, Black and White: 执黑, Result: 胜, Opponent: 石田芳夫
Player: 加藤正夫, Date: 1981-02-11, Rating: 3332, Black and White: 执白, Result: 胜, Opponent: 山部俊郎
Player: 加藤正夫, Date: 1981-02-01, Rating: 3332, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 加藤正夫, Date: 1981-01-22, Rating: 3332, Black and White: 执白, Result: 胜, Opponent: 加田克司
Player: 加藤正夫, Date: 1981-01-15, Rating: 3333, Black and White: 执黑, Result: 胜, Opponent: 岛村俊广
Player: 加藤正夫, Date: 1981-01-11, Rating: 3333, Black and White: 执黑, Result: 负, Opponent: 藤泽秀行
Player: 加藤正夫, Date: 1981-01-08, Rating: 3333, Black and White: 执黑, Result: 负, Opponent: 桥本昌二
Player: 加藤正夫, Date: 1981-01-04, Rating: 3333, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 桥本昌二, Date: 1981-12-17, Rating: 3275, Black and White: 执白, Result: 胜, Opponent: 桥本宇太郎
Player: 桥本昌二, Date: 1981-12-07, Rating: 3276, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 桥本昌二, Date: 1981-11-19, Rating: 3278, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 桥本昌二, Date: 1981-11-09, Rating: 3279, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 桥本昌二, Date: 1981-11-05, Rating: 3279, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 桥本昌二, Date: 1981-10-27, Rating: 3280, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 桥本昌二, Date: 1981-10-22, Rating: 3281, Black and White: 执黑, Result: 胜, Opponent: 杉内雅男
Player: 桥本昌二, Date: 1981-10-08, Rating: 3282, Black and White: 执黑, Result: 胜, Opponent: 高川格
Player: 桥本昌二, Date: 1981-10-01, Rating: 3283, Black and White: 执白, Result: 胜, Opponent: 石田芳夫
