Player: 曹薰铉, Date: 1997-12-29, Rating: 3407, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-12-23, Rating: 3407, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-12-19, Rating: 3407, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-12-08, Rating: 3407, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-11-07, Rating: 3407, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-10-27, Rating: 3407, Black and White: 执黑, Result: 负, Opponent: 王立诚
Player: 曹薰铉, Date: 1997-10-15, Rating: 3408, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-09-29, Rating: 3408, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1997-09-26, Rating: 3409, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-09-24, Rating: 3409, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-09-22, Rating: 3409, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1997-09-12, Rating: 3410, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-09-05, Rating: 3410, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-09-01, Rating: 3410, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1997-08-28, Rating: 3410, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 曹薰铉, Date: 1997-08-26, Rating: 3410, Black and White: 执黑, Result: 负, Opponent: 聂卫平
Player: 曹薰铉, Date: 1997-08-20, Rating: 3410, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-08-13, Rating: 3411, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 曹薰铉, Date: 1997-08-11, Rating: 3411, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-07-21, Rating: 3413, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-07-10, Rating: 3414, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-07-05, Rating: 3414, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-06-29, Rating: 3415, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 曹薰铉, Date: 1997-06-25, Rating: 3415, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-06-20, Rating: 3416, Black and White: 执黑, Result: 胜, Opponent: 金荣桓
Player: 曹薰铉, Date: 1997-06-05, Rating: 3417, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-05-25, Rating: 3419, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-05-17, Rating: 3419, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-05-13, Rating: 3420, Black and White: 执白, Result: 负, Opponent: 聂卫平
Player: 曹薰铉, Date: 1997-05-06, Rating: 3421, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-04-28, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1997-04-18, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 曹薰铉, Date: 1997-04-16, Rating: 3423, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-04-16, Rating: 3423, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-04-12, Rating: 3424, Black and White: 执白, Result: 负, Opponent: 结城聪
Player: 曹薰铉, Date: 1997-04-09, Rating: 3424, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1997-04-04, Rating: 3425, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1997-04-02, Rating: 3425, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 曹薰铉, Date: 1997-03-31, Rating: 3425, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 曹薰铉, Date: 1997-03-27, Rating: 3425, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1997-03-09, Rating: 3426, Black and White: 执白, Result: 胜, Opponent: 金荣桓
Player: 曹薰铉, Date: 1997-03-06, Rating: 3426, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1997-02-13, Rating: 3427, Black and White: 执白, Result: 胜, Opponent: 王磊
Player: 曹薰铉, Date: 1997-01-09, Rating: 3429, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 刘昌赫, Date: 1997-10-27, Rating: 3420, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 刘昌赫, Date: 1997-09-19, Rating: 3417, Black and White: 执黑, Result: 负, Opponent: 马晓春
Player: 刘昌赫, Date: 1997-08-28, Rating: 3416, Black and White: 执白, Result: 负, Opponent: 周鹤洋
Player: 刘昌赫, Date: 1997-08-26, Rating: 3416, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 刘昌赫, Date: 1997-08-15, Rating: 3416, Black and White: 执白, Result: 胜, Opponent: 陈祖德
Player: 刘昌赫, Date: 1997-08-13, Rating: 3416, Black and White: 执黑, Result: 胜, Opponent: 片冈聪
Player: 刘昌赫, Date: 1997-06-29, Rating: 3413, Black and White: 执白, Result: 胜, Opponent: 柳时熏
Player: 刘昌赫, Date: 1997-05-19, Rating: 3411, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 1997-04-28, Rating: 3409, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 刘昌赫, Date: 1997-04-14, Rating: 3409, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 刘昌赫, Date: 1997-04-12, Rating: 3409, Black and White: 执白, Result: 胜, Opponent: 王森峰
Player: 刘昌赫, Date: 1997-04-04, Rating: 3409, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 刘昌赫, Date: 1997-03-27, Rating: 3409, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 刘昌赫, Date: 1997-03-19, Rating: 3409, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 1997-03-17, Rating: 3409, Black and White: 执白, Result: 负, Opponent: 李昌镐
