A,B
-3.5812562,0.53867143
-6.5816374,1.407747
-5.337572,1.4306082
-5.304585,1.4223619
-6.0439625,1.5544145
-1.0000004,-3.3730497
-6.34968,1.5299859
-5.906466,1.5684266
-6.46773,1.5061356
