Player: 柯洁, Date: 2017-07-09, Rating: 3697, Black and White: 执白, Result: 胜, Opponent: 谢尔豪
Player: 柯洁, Date: 2017-07-09, Rating: 3697, Black and White: 执黑, Result: 胜, Opponent: 陶欣然
Player: 柯洁, Date: 2017-07-07, Rating: 3697, Black and White: 执白, Result: 胜, Opponent: 杨鼎新
Player: 柯洁, Date: 2017-07-06, Rating: 3697, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 柯洁, Date: 2017-07-06, Rating: 3697, Black and White: 执黑, Result: 胜, Opponent: 唐韦星
Player: 柯洁, Date: 2017-07-05, Rating: 3697, Black and White: 执黑, Result: 胜, Opponent: 李喆
Player: 柯洁, Date: 2017-07-05, Rating: 3697, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 柯洁, Date: 2017-06-26, Rating: 3697, Black and White: 执白, Result: 胜, Opponent: 唐韦星
Player: 柯洁, Date: 2017-06-25, Rating: 3697, Black and White: 执白, Result: 胜, Opponent: 郭闻潮
Player: 柯洁, Date: 2017-06-23, Rating: 3697, Black and White: 执白, Result: 胜, Opponent: 辜梓豪
Player: 柯洁, Date: 2017-06-21, Rating: 3697, Black and White: 执黑, Result: 胜, Opponent: 黄静远
Player: 柯洁, Date: 2017-06-19, Rating: 3697, Black and White: 执黑, Result: 胜, Opponent: 姜儒泽
Player: 柯洁, Date: 2017-06-17, Rating: 3698, Black and White: 执白, Result: 胜, Opponent: 安冬旭
Player: 柯洁, Date: 2017-06-12, Rating: 3698, Black and White: 执白, Result: 胜, Opponent: 柁嘉熹
Player: 柯洁, Date: 2017-06-10, Rating: 3698, Black and White: 执黑, Result: 胜, Opponent: 古力
Player: 柯洁, Date: 2017-06-09, Rating: 3698, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 柯洁, Date: 2017-06-07, Rating: 3698, Black and White: 执白, Result: 胜, Opponent: 古力
Player: 柯洁, Date: 2017-06-03, Rating: 3697, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 柯洁, Date: 2017-05-31, Rating: 3697, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 柯洁, Date: 2017-05-29, Rating: 3697, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 柯洁, Date: 2017-05-18, Rating: 3697, Black and White: 执黑, Result: 负, Opponent: 檀啸
Player: 柯洁, Date: 2017-05-16, Rating: 3697, Black and White: 执白, Result: 胜, Opponent: 李钦诚
Player: 柯洁, Date: 2017-05-14, Rating: 3696, Black and White: 执黑, Result: 胜, Opponent: 党毅飞
Player: 柯洁, Date: 2017-05-11, Rating: 3696, Black and White: 执白, Result: 胜, Opponent: 李喆
Player: 柯洁, Date: 2017-05-09, Rating: 3696, Black and White: 执黑, Result: 胜, Opponent: 李喆
Player: 柯洁, Date: 2017-05-07, Rating: 3696, Black and White: 执白, Result: 胜, Opponent: 连笑
Player: 柯洁, Date: 2017-05-05, Rating: 3696, Black and White: 执白, Result: 胜, Opponent: 李东勋
Player: 柯洁, Date: 2017-05-03, Rating: 3696, Black and White: 执黑, Result: 负, Opponent: 唐韦星
Player: 柯洁, Date: 2017-04-27, Rating: 3696, Black and White: 执白, Result: 负, Opponent: 赵晨宇
Player: 柯洁, Date: 2017-04-25, Rating: 3695, Black and White: 执白, Result: 胜, Opponent: 陈贤
Player: 柯洁, Date: 2017-04-19, Rating: 3695, Black and White: 执白, Result: 负, Opponent: 郭闻潮
Player: 柯洁, Date: 2017-04-12, Rating: 3695, Black and White: 执白, Result: 胜, Opponent: 杨鼎新
Player: 柯洁, Date: 2017-03-16, Rating: 3695, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 柯洁, Date: 2017-03-12, Rating: 3695, Black and White: 执白, Result: 负, Opponent: 檀啸
Player: 柯洁, Date: 2017-03-11, Rating: 3695, Black and White: 执黑, Result: 胜, Opponent: 廖元赫
Player: 柯洁, Date: 2017-03-11, Rating: 3695, Black and White: 执白, Result: 胜, Opponent: 时越
Player: 柯洁, Date: 2017-01-31, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 井山裕太
Player: 柯洁, Date: 2017-01-30, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 柯洁, Date: 2017-01-29, Rating: 3694, Black and White: 执白, Result: 负, Opponent: 井山裕太
Player: 柯洁, Date: 2017-01-01, Rating: 3694, Black and White: 执白, Result: 负, Opponent: 申旻埈
Player: 朴廷桓, Date: 2017-12-31, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 朴廷桓, Date: 2017-12-30, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 朴廷桓, Date: 2017-12-24, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 朴键昊
Player: 朴廷桓, Date: 2017-12-23, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 权周利
Player: 朴廷桓, Date: 2017-12-19, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 李映九
Player: 朴廷桓, Date: 2017-12-15, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 芝野虎丸
Player: 朴廷桓, Date: 2017-12-15, Rating: 3707, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 朴廷桓, Date: 2017-12-14, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 伊利亚什克辛
Player: 朴廷桓, Date: 2017-12-14, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 陈诗渊
Player: 朴廷桓, Date: 2017-12-13, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 王元均
Player: 朴廷桓, Date: 2017-12-12, Rating: 3706, Black and White: 执白, Result: 胜, Opponent: 芝野虎丸
Player: 朴廷桓, Date: 2017-12-11, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 伊利亚什克辛
Player: 朴廷桓, Date: 2017-12-10, Rating: 3706, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 朴廷桓, Date: 2017-12-02, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 范蕴若
Player: 朴廷桓, Date: 2017-11-30, Rating: 3706, Black and White: 执白, Result: 胜, Opponent: 马逸超
Player: 朴廷桓, Date: 2017-11-20, Rating: 3705, Black and White: 执黑, Result: 胜, Opponent: 谢科
Player: 朴廷桓, Date: 2017-11-19, Rating: 3705, Black and White: 执白, Result: 胜, Opponent: 谢科
Player: 朴廷桓, Date: 2017-11-17, Rating: 3705, Black and White: 执黑, Result: 负, Opponent: 谢科
Player: 朴廷桓, Date: 2017-11-10, Rating: 3705, Black and White: 执白, Result: 负, Opponent: 唐韦星
Player: 朴廷桓, Date: 2017-11-09, Rating: 3705, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 朴廷桓, Date: 2017-10-30, Rating: 3704, Black and White: 执黑, Result: 胜, Opponent: 芈昱廷
Player: 朴廷桓, Date: 2017-10-27, Rating: 3704, Black and White: 执黑, Result: 胜, Opponent: 李映九
Player: 朴廷桓, Date: 2017-10-19, Rating: 3704, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 朴廷桓, Date: 2017-10-15, Rating: 3704, Black and White: 执黑, Result: 胜, Opponent: 尹峻相
Player: 朴廷桓, Date: 2017-10-08, Rating: 3703, Black and White: 执白, Result: 胜, Opponent: 柯洁
Player: 朴廷桓, Date: 2017-10-05, Rating: 3703, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2017-09-29, Rating: 3702, Black and White: 执黑, Result: 负, Opponent: 时越
Player: 朴廷桓, Date: 2017-09-26, Rating: 3702, Black and White: 执黑, Result: 负, Opponent: 辜梓豪
Player: 朴廷桓, Date: 2017-09-25, Rating: 3702, Black and White: 执黑, Result: 胜, Opponent: 赵晨宇
Player: 朴廷桓, Date: 2017-09-22, Rating: 3702, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 朴廷桓, Date: 2017-09-16, Rating: 3702, Black and White: 执白, Result: 胜, Opponent: 陈时映
Player: 朴廷桓, Date: 2017-09-13, Rating: 3702, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2017-09-06, Rating: 3702, Black and White: 执白, Result: 胜, Opponent: 李东勋
Player: 朴廷桓, Date: 2017-09-05, Rating: 3702, Black and White: 执黑, Result: 胜, Opponent: 辜梓豪
Player: 朴廷桓, Date: 2017-09-01, Rating: 3702, Black and White: 执白, Result: 胜, Opponent: 金庭贤
Player: 朴廷桓, Date: 2017-08-26, Rating: 3702, Black and White: 执黑, Result: 胜, Opponent: 陈梓健
Player: 朴廷桓, Date: 2017-08-24, Rating: 3702, Black and White: 执白, Result: 胜, Opponent: 柯洁
Player: 朴廷桓, Date: 2017-08-22, Rating: 3702, Black and White: 执黑, Result: 胜, Opponent: 檀啸
Player: 朴廷桓, Date: 2017-08-19, Rating: 3702, Black and White: 执黑, Result: 胜, Opponent: 洪性志
Player: 朴廷桓, Date: 2017-08-03, Rating: 3701, Black and White: 执黑, Result: 胜, Opponent: 姜升旼
Player: 朴廷桓, Date: 2017-07-31, Rating: 3701, Black and White: 执黑, Result: 胜, Opponent: 党毅飞
Player: 朴廷桓, Date: 2017-07-29, Rating: 3700, Black and White: 执白, Result: 胜, Opponent: 平田智也
Player: 朴廷桓, Date: 2017-07-23, Rating: 3700, Black and White: 执黑, Result: 胜, Opponent: 金明训
Player: 朴廷桓, Date: 2017-07-21, Rating: 3700, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2017-07-19, Rating: 3700, Black and White: 执白, Result: 胜, Opponent: 辜梓豪
Player: 朴廷桓, Date: 2017-07-17, Rating: 3700, Black and White: 执黑, Result: 胜, Opponent: 唐韦星
Player: 朴廷桓, Date: 2017-07-15, Rating: 3699, Black and White: 执白, Result: 胜, Opponent: 赵晨宇
Player: 朴廷桓, Date: 2017-07-08, Rating: 3699, Black and White: 执黑, Result: 胜, Opponent: 罗玄
Player: 朴廷桓, Date: 2017-06-21, Rating: 3697, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 朴廷桓, Date: 2017-06-19, Rating: 3697, Black and White: 执白, Result: 胜, Opponent: 柁嘉熹
Player: 朴廷桓, Date: 2017-06-17, Rating: 3697, Black and White: 执黑, Result: 胜, Opponent: 张立
Player: 朴廷桓, Date: 2017-06-09, Rating: 3696, Black and White: 执黑, Result: 胜, Opponent: 陈时映
Player: 朴廷桓, Date: 2017-06-03, Rating: 3695, Black and White: 执白, Result: 胜, Opponent: 金庭贤
Player: 朴廷桓, Date: 2017-05-31, Rating: 3695, Black and White: 执黑, Result: 负, Opponent: 江维杰
Player: 朴廷桓, Date: 2017-05-29, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 朴廷桓, Date: 2017-05-22, Rating: 3694, Black and White: 执白, Result: 胜, Opponent: 尹峻相
Player: 朴廷桓, Date: 2017-05-20, Rating: 3693, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 朴廷桓, Date: 2017-05-15, Rating: 3693, Black and White: 执黑, Result: 胜, Opponent: 尹峻相
Player: 朴廷桓, Date: 2017-05-05, Rating: 3691, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2017-04-24, Rating: 3690, Black and White: 执白, Result: 负, Opponent: 尹峻相
Player: 朴廷桓, Date: 2017-04-17, Rating: 3689, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 朴廷桓, Date: 2017-04-10, Rating: 3689, Black and White: 执黑, Result: 胜, Opponent: 偰玹准
Player: 朴廷桓, Date: 2017-03-27, Rating: 3687, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 朴廷桓, Date: 2017-03-23, Rating: 3687, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 朴廷桓, Date: 2017-03-21, Rating: 3687, Black and White: 执黑, Result: 胜, Opponent: 井山裕太
Player: 朴廷桓, Date: 2017-03-03, Rating: 3684, Black and White: 执黑, Result: 负, Opponent: 安祚永
Player: 朴廷桓, Date: 2017-02-22, Rating: 3683, Black and White: 执黑, Result: 负, Opponent: 范蕴若
Player: 朴廷桓, Date: 2017-02-21, Rating: 3683, Black and White: 执白, Result: 胜, Opponent: 井山裕太
Player: 朴廷桓, Date: 2017-02-06, Rating: 3682, Black and White: 执黑, Result: 胜, Opponent: 李映九
Player: 朴廷桓, Date: 2017-01-30, Rating: 3681, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 朴廷桓, Date: 2017-01-23, Rating: 3681, Black and White: 执白, Result: 胜, Opponent: 李范镇
Player: 申真谞, Date: 2017-12-24, Rating: 3681, Black and White: 执黑, Result: 胜, Opponent: 朴钟勋
Player: 申真谞, Date: 2017-12-13, Rating: 3679, Black and White: 执白, Result: 胜, Opponent: 陈诗渊
Player: 申真谞, Date: 2017-12-10, Rating: 3679, Black and White: 执白, Result: 胜, Opponent: 唐韦星
Player: 申真谞, Date: 2017-12-08, Rating: 3679, Black and White: 执白, Result: 胜, Opponent: 罗玄
Player: 申真谞, Date: 2017-12-03, Rating: 3678, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 申真谞, Date: 2017-12-02, Rating: 3678, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2017-12-01, Rating: 3678, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 申真谞, Date: 2017-11-13, Rating: 3675, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 申真谞, Date: 2017-10-30, Rating: 3673, Black and White: 执黑, Result: 胜, Opponent: 柯洁
Player: 申真谞, Date: 2017-10-28, Rating: 3673, Black and White: 执白, Result: 胜, Opponent: 时越
Player: 申真谞, Date: 2017-10-22, Rating: 3672, Black and White: 执黑, Result: 负, Opponent: 李映九
