date,player1,Rank 1,胜/负,player2,Rank 2
2024/9/19,石宇奇,1,负,金廷,10
2024/9/17,石宇奇,1,胜,坎塔蓬·旺差伦,37
2024/8/30,石宇奇,1,负,李卓耀,17
2024/8/29,石宇奇,1,胜,伍家朗,23
2024/8/28,石宇奇,1,胜,孙完虎,
2024/8/24,石宇奇,1,负,亚历克斯·拉尼耶,29
2024/8/23,石宇奇,1,胜,田中湧士,31
2024/8/22,石宇奇,1,胜,林俊易,15
2024/8/20,石宇奇,1,胜,苏力扬,32
2024/8/2,石宇奇,1,负,昆拉武特·威提讪,8
2024/7/31,石宇奇,1,胜,乔瓦尼·托蒂,80
2024/7/27,石宇奇,1,胜,苏林·奥普提,
2024/6/9,石宇奇,2,胜,安德斯·安东森,5
2024/6/8,石宇奇,2,胜,李诗沣,4
2024/6/7,石宇奇,2,胜,小托马·波波夫,23
2024/6/6,石宇奇,2,胜,陆光祖,15
2024/6/5,石宇奇,2,胜,雷兰曦,33
2024/6/2,石宇奇,2,胜,李诗沣,6
2024/6/1,石宇奇,2,胜,周天成,13
2024/5/31,石宇奇,2,胜,奈良冈功大,5
2024/5/30,石宇奇,2,胜,翁泓阳,19
2024/5/5,石宇奇,2,胜,金廷,7
2024/5/4,石宇奇,2,胜,李梓嘉,10
2024/5/2,石宇奇,2,胜,普兰诺伊·H·S,9
2024/4/30,石宇奇,2,胜,全奕陈,47
2024/4/28,石宇奇,2,胜,杨灿,24
2024/4/27,石宇奇,2,胜,邓浩林,159
2024/4/13,石宇奇,2,负,乔纳坦·克里斯蒂,5
2024/4/12,石宇奇,2,胜,昆拉武特·威提讪,8
2024/4/11,石宇奇,2,胜,西本拳太,12
2024/4/10,石宇奇,2,胜,拉克什亚·森,13
2024/3/14,石宇奇,2,胜,奇科·瓦多约,29
2024/3/13,石宇奇,2,胜,拉斯穆斯·杰姆克,28
2024/3/10,石宇奇,2,胜,昆拉武特·威提讪,8
2024/3/9,石宇奇,2,胜,奇科·瓦多约,32
2024/3/8,石宇奇,2,胜,陆光祖,17
2024/3/7,石宇奇,2,胜,马格努斯·约翰内森,33
2024/3/6,石宇奇,2,胜,克里斯托·波波夫,23
2024/1/21,石宇奇,2,胜,李卓耀,18
2024/1/20,石宇奇,2,胜,普兰诺伊·H·S,9
2024/1/19,石宇奇,2,胜,渡边航贵,22
2024/1/18,石宇奇,2,胜,拉斯穆斯·杰姆克,29
2024/1/17,石宇奇,2,胜,翁泓阳,16
2024/1/14,石宇奇,6,负,安德斯·安东森,9
2024/1/13,石宇奇,6,胜,安赛龙,1
2024/1/12,石宇奇,6,胜,陆光祖,19
2024/1/11,石宇奇,6,胜,小托马·波波夫,25
2024/1/9,石宇奇,6,胜,拉斯穆斯·杰姆克,29
2023/12/17,石宇奇,7,负,安赛龙,1
2023/12/16,石宇奇,7,胜,乔纳坦·克里斯蒂,6
2023/12/15,石宇奇,7,胜,奈良冈功大,2
2023/12/14,石宇奇,7,负,金廷,4
2023/12/13,石宇奇,7,胜,安赛龙,1
2023/11/23,石宇奇,7,负,克里斯托·波波夫,29
2023/11/22,石宇奇,7,胜,拉克什亚·森,17
2023/11/19,石宇奇,7,负,安赛龙,1
2023/11/18,石宇奇,7,胜,周天成,12
2023/11/17,石宇奇,7,胜,桃田贤斗,41
2023/11/16,石宇奇,7,胜,陆光祖,14
2023/11/15,石宇奇,7,胜,西本拳太,13
2023/10/27,石宇奇,7,负,骆建佑,9
2023/10/25,石宇奇,7,胜,安德斯·安东森,10
2023/10/24,石宇奇,7,胜,阮日,38
2023/10/21,石宇奇,4,负,翁泓阳,22
2023/10/20,石宇奇,4,胜,骆建佑,9
2023/10/19,石宇奇,4,胜,坎塔蓬·旺差伦,33
2023/10/17,石宇奇,4,胜,伍家朗,19
2023/10/7,石宇奇,6,负,李诗沣,8
2023/10/6,石宇奇,6,胜,奈良冈功大,3
2023/10/5,石宇奇,6,胜,周天成,13
2023/10/4,石宇奇,6,胜,Sok RIKREAY,
2023/10/3,石宇奇,6,胜,李卓耀,17
2023/10/1,石宇奇,6,负,拉克什亚·森,14
2023/9/30,石宇奇,6,负,西本拳太,12
2023/9/29,石宇奇,6,负,周天成,13
2023/9/9,石宇奇,5,负,陆光祖,15
2023/9/8,石宇奇,5,胜,奈良冈功大,3
2023/9/7,石宇奇,5,胜,拉斯穆斯·杰姆克,25
2023/9/6,石宇奇,5,胜,马格努斯·约翰内森,32
2023/8/25,石宇奇,8,负,奈良冈功大,4
2023/8/24,石宇奇,8,胜,伍家朗,17
2023/8/23,石宇奇,8,胜,拉斯穆斯·杰姆克,25
2023/8/21,石宇奇,8,胜,Luís Enrique PEÑALVER,60
2023/7/28,石宇奇,5,负,奈良冈功大,4
2023/7/27,石宇奇,5,胜,李卓耀,16
2023/7/25,石宇奇,5,胜,伍家朗,15
2023/7/22,石宇奇,6,负,安德斯·安东森,16
2023/7/21,石宇奇,6,胜,陆光祖,13
2023/7/20,石宇奇,6,胜,桃田贤斗,53
2023/7/19,石宇奇,6,胜,杨灿,25
2023/6/15,石宇奇,6,负,奈良冈功大,4
2023/6/13,石宇奇,6,胜,黄智勇,21
2023/6/9,石宇奇,9,负,奈良冈功大,4
2023/6/7,石宇奇,9,胜,陆光祖,13
2023/6/6,石宇奇,9,胜,乔纳坦·克里斯蒂,6
2023/5/31,石宇奇,9,负,基兰·乔治,59
2023/5/21,石宇奇,10,胜,李伦圭,
2023/5/20,石宇奇,10,胜,奈良冈功大,3
2023/5/19,石宇奇,10,胜,金廷,2
2023/5/16,石宇奇,10,胜,郑加恒,86
2023/5/14,石宇奇,10,胜,阿德姆·哈特姆·埃尔格姆,127
2023/4/27,石宇奇,10,负,李卓耀,20
2023/3/22,石宇奇,10,负,普兰诺伊·H·S,9
2023/3/19,石宇奇,12,负,李诗沣,14
2023/3/18,石宇奇,12,胜,李梓嘉,4
2023/3/17,石宇奇,12,胜,翁泓阳,27
2023/3/16,石宇奇,12,胜,昆拉武特·威提讪,7
2023/3/15,石宇奇,12,胜,常山干太,16
2023/3/8,石宇奇,13,负,桃田贤斗,23
2023/2/4,石宇奇,19,负,林俊易,35
2023/2/3,石宇奇,19,胜,李卓耀,21
2023/2/2,石宇奇,19,胜,渡边航贵,43
2023/2/1,石宇奇,19,胜,马克·卡尔尤,38
2023/1/28,石宇奇,27,负,乔纳坦·克里斯蒂,3
2023/1/27,石宇奇,27,胜,陆光祖,10
2023/1/26,石宇奇,27,胜,金廷,2
2023/1/25,石宇奇,27,胜,桃田贤斗,19
2023/1/18,石宇奇,33,负,安赛龙,1
2023/1/17,石宇奇,33,胜,奇科·瓦多约,19
2023/1/10,石宇奇,34,负,周天成,5
2024/10/20,安德斯·安东森,4,胜,渡边航贵,13
2024/10/19,安德斯·安东森,4,胜,西本拳太,14
2024/10/18,安德斯·安东森,4,胜,李诗沣,8
2024/10/17,安德斯·安东森,4,胜,大林拓真,31
2024/10/16,安德斯·安东森,4,胜,小托马·波波夫,19
2024/10/9,安德斯·安东森,3,负,亚历克斯·拉尼耶,21
2024/9/20,安德斯·安东森,5,负,翁泓阳,25
2024/9/19,安德斯·安东森,5,胜,骆建佑,11
2024/9/18,安德斯·安东森,5,胜,伍家朗,21
2024/8/30,安德斯·安东森,6,负,林俊易,14
2024/8/29,安德斯·安东森,6,胜,雷兰曦,35
2024/8/28,安德斯·安东森,6,胜,陈延泽,119
2024/8/2,安德斯·安东森,4,负,李梓嘉,7
2024/7/31,安德斯·安东森,4,胜,艾德·雷斯基·雷查约,57
2024/7/28,安德斯·安东森,4,胜,柯林斯·瓦伦丁·菲利蒙,112
2024/7/5,安德斯·安东森,4,负,普里扬舒·拉贾瓦特,39
2024/7/4,安德斯·安东森,4,胜,阮日,47
2024/7/3,安德斯·安东森,4,胜,曾骏汉,163
2024/6/9,安德斯·安东森,5,负,石宇奇,2
2024/6/8,安德斯·安东森,5,胜,昆拉武特·威提讪,8
2024/6/7,安德斯·安东森,5,胜,拉克什亚·森,14
2024/6/6,安德斯·安东森,5,胜,坎塔蓬·旺差伦,51
2024/6/4,安德斯·安东森,5,胜,李卓耀,16
2024/5/30,安德斯·安东森,4,负,骆建佑,12
2024/5/28,安德斯·安东森,4,胜,拉斯穆斯·杰姆克,26
2024/5/24,安德斯·安东森,4,负,李梓嘉,10
2024/5/23,安德斯·安东森,4,胜,马格努斯·约翰内森,35
2024/5/22,安德斯·安东森,4,胜,谢萨·希伦·雷斯塔维托,82
2024/5/15,安德斯·安东森,4,负,伍家朗,27
2024/5/3,安德斯·安东森,4,胜,林俊易,17
2024/4/30,安德斯·安东森,4,胜,梁峻豪,37
2024/4/28,安德斯·安东森,4,胜,伍家朗,27
2024/4/27,安德斯·安东森,4,胜,尤赫夫·萨布里·梅德尔,
2024/4/14,安德斯·安东森,4,胜,小托马·波波夫,25
2024/4/13,安德斯·安东森,4,胜,乔金·奥尔多夫,67
2024/4/12,安德斯·安东森,4,胜,阿诺·梅克尔,46
2024/4/11,安德斯·安东森,4,胜,马克·卡尔尤,47
2024/4/10,安德斯·安东森,4,胜,Luís Enrique PEÑALVER,96
2024/3/14,安德斯·安东森,3,负,拉克什亚·森,18
2024/3/13,安德斯·安东森,3,胜,常山干太,19
2024/3/8,安德斯·安东森,3,负,奇科·瓦多约,32
2024/3/7,安德斯·安东森,3,胜,伍家朗,26
2024/3/6,安德斯·安东森,3,胜,李佳豪,35
2024/2/18,安德斯·安东森,4,胜,小托马·波波夫,25
2024/2/17,安德斯·安东森,4,胜,Matthias KICKLITZ,118
2024/2/15,安德斯·安东森,4,胜,扬·劳达,51
2024/2/14,安德斯·安东森,4,胜,Matthias KICKLITZ,118
2024/1/28,安德斯·安东森,7,胜,杨灿,24
2024/1/27,安德斯·安东森,7,胜,昆拉武特·威提讪,9
2024/1/26,安德斯·安东森,7,胜,雷兰曦,48
2024/1/25,安德斯·安东森,7,胜,拉克什亚·森,19
2024/1/24,安德斯·安东森,7,胜,奇科·瓦多约,27
2024/1/14,安德斯·安东森,9,胜,石宇奇,6
2024/1/13,安德斯·安东森,9,胜,林俊易,21
2024/1/12,安德斯·安东森,9,胜,奈良冈功大,2
2024/1/11,安德斯·安东森,9,胜,渡边航贵,23
2024/1/10,安德斯·安东森,9,胜,普兰诺伊·H·S,8
2023/12/16,安德斯·安东森,11,负,安赛龙,1
2023/12/15,安德斯·安东森,11,胜,昆拉武特·威提讪,5
2023/12/14,安德斯·安东森,11,负,乔纳坦·克里斯蒂,6
2023/12/13,安德斯·安东森,11,胜,李诗沣,3
2023/11/23,安德斯·安东森,10,负,奈良冈功大,5
2023/11/21,安德斯·安东森,10,胜,翁泓阳,19
2023/11/17,安德斯·安东森,10,负,大林拓真,37
2023/11/16,安德斯·安东森,10,胜,奈良冈功大,5
2023/11/15,安德斯·安东森,10,胜,李梓嘉,11
2023/10/25,安德斯·安东森,10,负,石宇奇,7
2023/10/24,安德斯·安东森,10,胜,朱利安·卡拉基,43
2023/10/19,安德斯·安东森,10,负,骆建佑,9
2023/10/17,安德斯·安东森,10,胜,阮日,38
2023/10/14,安德斯·安东森,10,负,李梓嘉,14
2023/10/13,安德斯·安东森,10,胜,渡边航贵,28
2023/10/12,安德斯·安东森,10,胜,翁泓阳,21
2023/9/14,安德斯·安东森,10,负,苏力扬,35
2023/9/13,安德斯·安东森,10,胜,小托马·波波夫,25
2023/9/7,安德斯·安东森,10,负,骆建佑,8
2023/9/5,安德斯·安东森,10,胜,拉克什亚·森,12
2023/8/26,安德斯·安东森,12,负,奈良冈功大,4
2023/8/25,安德斯·安东森,12,胜,西本拳太,15
2023/8/24,安德斯·安东森,12,胜,李梓嘉,13
2023/8/23,安德斯·安东森,12,胜,黄智勇,22
2023/8/21,安德斯·安东森,12,胜,米沙·西尔伯曼,33
2023/7/26,安德斯·安东森,12,胜,陆光祖,14
2023/7/23,安德斯·安东森,16,胜,骆建佑,8
2023/7/22,安德斯·安东森,16,胜,石宇奇,6
2023/7/21,安德斯·安东森,16,胜,西本拳太,11
2023/7/20,安德斯·安东森,16,胜,周天成,7
2023/7/19,安德斯·安东森,16,胜,全奕陈,47
2023/6/28,安德斯·安东森,15,胜,卡勒·科利约宁,68
2023/6/27,安德斯·安东森,15,负,Felix BURESTEDT,77
2023/6/26,安德斯·安东森,15,胜,Emre LALE,
2023/6/14,安德斯·安东森,18,负,奈良冈功大,4
2023/6/11,安德斯·安东森,22,负,金廷,2
2023/6/10,安德斯·安东森,22,胜,奈良冈功大,4
2023/6/9,安德斯·安东森,22,胜,李佳豪,42
2023/6/7,安德斯·安东森,22,胜,周天成,7
2023/6/6,安德斯·安东森,22,胜,小托马·波波夫,25
2023/4/5,安德斯·安东森,13,负,亚历克斯·拉尼耶,56
2023/4/1,安德斯·安东森,17,负,常山干太,18
2023/3/31,安德斯·安东森,17,胜,渡边航贵,36
2023/3/30,安德斯·安东森,17,胜,米沙·西尔伯曼,37
2023/3/29,安德斯·安东森,17,胜,伊戈尔·科埃略,51
2023/3/18,安德斯·安东森,18,负,李诗沣,14
2023/3/17,安德斯·安东森,18,胜,金廷,3
2023/3/16,安德斯·安东森,18,胜,拉克什亚·森,19
2023/3/14,安德斯·安东森,18,胜,拉斯穆斯·杰姆克,23
2023/2/16,安德斯·安东森,17,胜,黄涵瑞,
2023/2/2,安德斯·安东森,17,负,西本拳太,14
2023/2/1,安德斯·安东森,17,胜,西蒂空·塔马辛,32
2023/1/26,安德斯·安东森,21,负,常山干太,17
2023/1/25,安德斯·安东森,21,胜,翁泓阳,24
2023/1/18,安德斯·安东森,26,负,昆拉武特·威提讪,8
2023/1/17,安德斯·安东森,26,胜,小托马·波波夫,23
2023/1/12,安德斯·安东森,30,负,金廷,4
2023/1/10,安德斯·安东森,30,胜,翁泓阳,27
2024/11/16,安赛龙,2,负,李诗沣,9
2024/11/15,安赛龙,2,胜,克里斯托·波波夫,25
2024/11/14,安赛龙,2,胜,雷兰曦,28
2024/11/13,安赛龙,2,胜,王子维,24
2024/10/17,安赛龙,2,负,亚历克斯·拉尼耶,21
2024/10/15,安赛龙,2,胜,田中湧士,27
2024/9/18,安赛龙,2,负,雷兰曦,28
2024/9/15,安赛龙,2,胜,雷兰曦,33
2024/9/14,安赛龙,2,胜,金廷,10
2024/9/13,安赛龙,2,胜,周天成,9
2024/9/12,安赛龙,2,胜,苏力扬,34
2024/9/11,安赛龙,2,胜,伍家朗,22
2024/8/5,安赛龙,2,胜,昆拉武特·威提讪,8
2024/8/4,安赛龙,2,胜,拉克什亚·森,18
2024/8/2,安赛龙,2,胜,骆建佑,13
2024/7/31,安赛龙,2,胜,阮日,43
2024/7/29,安赛龙,2,胜,米沙·西尔伯曼,58
2024/7/27,安赛龙,2,胜,普林斯·达哈尔,172
2024/5/31,安赛龙,1,胜,梁峻豪,36
2024/5/30,安赛龙,1,胜,林俊易,17
2024/5/29,安赛龙,1,胜,拉克什亚·森,14
2024/5/26,安赛龙,1,胜,李梓嘉,10
2024/5/25,安赛龙,1,胜,陆光祖,19
2024/5/24,安赛龙,1,胜,周天成,13
2024/5/23,安赛龙,1,胜,Panitchaphon TEERARATSAKUL,79
2024/5/22,安赛龙,1,胜,渡边航贵,20
2024/5/3,安赛龙,1,负,周天成,14
2024/4/30,安赛龙,1,胜,李梓嘉,10
2024/4/28,安赛龙,1,胜,李卓耀,15
2024/4/27,安赛龙,1,胜,Adel HAMEK,
2024/4/13,安赛龙,1,负,小托马·波波夫,25
2024/4/12,安赛龙,1,胜,拉斯穆斯·杰姆克,28
2024/4/11,安赛龙,1,胜,卡勒·科利约宁,58
2024/4/10,安赛龙,1,胜,卡伊·舍费尔,81
2024/3/15,安赛龙,1,负,金廷,5
2024/3/14,安赛龙,1,胜,翁泓阳,15
2024/3/12,安赛龙,1,胜,斯里坎特·基达姆比,26
2024/3/7,安赛龙,1,负,王子维,27
2024/3/5,安赛龙,1,胜,普里扬舒·拉贾瓦特,29
2024/1/13,安赛龙,1,负,石宇奇,6
2024/1/12,安赛龙,1,胜,伍家朗,20
2024/1/11,安赛龙,1,胜,李卓耀,17
2024/1/9,安赛龙,1,胜,骆建佑,10
2023/12/17,安赛龙,1,胜,石宇奇,7
2023/12/16,安赛龙,1,胜,安德斯·安东森,11
2023/12/15,安赛龙,1,胜,金廷,4
2023/12/14,安赛龙,1,胜,奈良冈功大,2
2023/12/13,安赛龙,1,负,石宇奇,7
2023/11/19,安赛龙,1,胜,石宇奇,7
2023/11/18,安赛龙,1,胜,大林拓真,37
2023/11/17,安赛龙,1,胜,乔纳坦·克里斯蒂,4
2023/11/16,安赛龙,1,胜,黄智勇,15
2023/11/15,安赛龙,1,胜,奇科·瓦多约,22
2023/10/24,安赛龙,1,负,伍家朗,20
2023/10/18,安赛龙,1,胜,马格努斯·约翰内森,31
2023/9/13,安赛龙,1,负,李佳豪,37
2023/9/10,安赛龙,1,胜,陆光祖,15
2023/9/9,安赛龙,1,胜,乔纳坦·克里斯蒂,9
2023/9/8,安赛龙,1,胜,骆建佑,8
2023/9/7,安赛龙,1,胜,王子维,26
2023/9/5,安赛龙,1,胜,奇科·瓦多约,21
2023/8/25,安赛龙,1,负,普兰诺伊·H·S,9
2023/8/24,安赛龙,1,胜,周天成,10
2023/8/22,安赛龙,1,胜,克里斯托·波波夫,31
2023/8/21,安赛龙,1,胜,阮日,37
2023/7/30,安赛龙,1,胜,乔纳坦·克里斯蒂,9
2023/7/29,安赛龙,1,胜,奈良冈功大,4
2023/7/28,安赛龙,1,胜,普兰诺伊·H·S,10
2023/7/27,安赛龙,1,胜,奇科·瓦多约,19
2023/7/25,安赛龙,1,胜,林俊易,24
2023/7/2,安赛龙,1,胜,克里斯托·波波夫,31
2023/7/1,安赛龙,1,胜,小托马·波波夫,27
2023/6/30,安赛龙,1,胜,卡勒·科利约宁,68
2023/6/29,安赛龙,1,胜,阮日,32
2023/6/28,安赛龙,1,胜,Dominik KWINTA,
2023/6/27,安赛龙,1,胜,Teodor Ioan CIOROBOIU,
2023/6/26,安赛龙,1,胜,乔瓦尼·托蒂,107
2023/6/18,安赛龙,1,胜,金廷,2
2023/6/17,安赛龙,1,胜,普兰诺伊·H·S,9
2023/6/16,安赛龙,1,胜,周天成,8
2023/6/15,安赛龙,1,胜,王子维,28
2023/6/13,安赛龙,1,胜,翁泓阳,25
2023/5/14,安赛龙,1,胜,骆建佑,4
2023/3/25,安赛龙,1,负,周天成,6
2023/3/24,安赛龙,1,胜,克里斯托·波波夫,40
2023/3/23,安赛龙,1,胜,林俊易,30
2023/3/22,安赛龙,1,胜,奇科·瓦多约,17
2023/3/16,安赛龙,1,负,黄智勇,28
2023/3/14,安赛龙,1,胜,李卓耀,21
2023/2/18,安赛龙,1,胜,克里斯托·波波夫,42
2023/2/17,安赛龙,1,胜,约翰尼·托朱森,169
2023/2/15,安赛龙,1,胜,James ROBERTSON,
2023/2/14,安赛龙,1,胜,DANYLO BOSNIUK,93
2023/1/22,安赛龙,1,负,昆拉武特·威提讪,8
2023/1/21,安赛龙,1,胜,乔纳坦·克里斯蒂,4
2023/1/20,安赛龙,1,胜,拉斯穆斯·杰姆克,20
2023/1/18,安赛龙,1,胜,石宇奇,33
2023/1/17,安赛龙,1,胜,斯里坎特·基达姆比,14
2023/1/15,安赛龙,1,胜,奈良冈功大,7
2023/1/14,安赛龙,1,胜,常山干太,26
2023/1/13,安赛龙,1,胜,西本拳太,17
2023/1/10,安赛龙,1,胜,拉斯穆斯·杰姆克,21
2024/11/16,乔纳坦·克里斯蒂,6,负,梁峻豪,31
2024/11/15,乔纳坦·克里斯蒂,6,胜,李梓嘉,7
2024/11/14,乔纳坦·克里斯蒂,6,胜,拉斯穆斯·杰姆克,29
2024/11/13,乔纳坦·克里斯蒂,6,胜,田中湧士,26
2024/10/17,乔纳坦·克里斯蒂,3,负,陆光祖,18
2024/10/16,乔纳坦·克里斯蒂,3,胜,梁峻豪,30
2024/10/13,乔纳坦·克里斯蒂,5,负,周天成,10
2024/10/11,乔纳坦·克里斯蒂,5,胜,李卓耀,16
2024/10/10,乔纳坦·克里斯蒂,5,胜,基兰·乔治,39
2024/10/9,乔纳坦·克里斯蒂,5,胜,李佳豪,23
2024/9/21,乔纳坦·克里斯蒂,8,负,翁泓阳,25
2024/9/20,乔纳坦·克里斯蒂,8,胜,雷兰曦,28
2024/9/19,乔纳坦·克里斯蒂,8,胜,小托马·波波夫,19
2024/9/18,乔纳坦·克里斯蒂,8,胜,拉斯穆斯·杰姆克,27
2024/9/14,乔纳坦·克里斯蒂,7,负,雷兰曦,33
2024/9/13,乔纳坦·克里斯蒂,7,胜,奈良冈功大,6
2024/9/12,乔纳坦·克里斯蒂,7,胜,拉斯穆斯·杰姆克,26
2024/9/11,乔纳坦·克里斯蒂,7,胜,王子维,23
2024/7/31,乔纳坦·克里斯蒂,3,负,拉克什亚·森,18
2024/7/27,乔纳坦·克里斯蒂,3,胜,朱利安·卡拉基,52
2024/6/5,乔纳坦·克里斯蒂,3,负,梁峻豪,32
2024/5/29,乔纳坦·克里斯蒂,3,负,周天成,13
2024/5/5,乔纳坦·克里斯蒂,3,胜,李诗沣,6
2024/5/4,乔纳坦·克里斯蒂,3,胜,王子维,23
2024/5/3,乔纳坦·克里斯蒂,3,胜,赵建晔,120
2024/5/1,乔纳坦·克里斯蒂,3,胜,拉克什亚·森,13
2024/4/29,乔纳坦·克里斯蒂,3,胜,萨兰·贾姆斯里,160
2024/4/27,乔纳坦·克里斯蒂,3,胜,Nadeem DALVI,198
2024/4/14,乔纳坦·克里斯蒂,5,胜,李诗沣,7
2024/4/13,乔纳坦·克里斯蒂,5,胜,石宇奇,2
2024/4/12,乔纳坦·克里斯蒂,5,胜,李梓嘉,11
2024/4/11,乔纳坦·克里斯蒂,5,胜,李卓耀,14
2024/4/10,乔纳坦·克里斯蒂,5,胜,Jewel Angelo ALBO,
2024/3/17,乔纳坦·克里斯蒂,9,胜,金廷,5
2024/3/16,乔纳坦·克里斯蒂,9,胜,拉克什亚·森,18
2024/3/14,乔纳坦·克里斯蒂,9,胜,昆拉武特·威提讪,7
2024/3/13,乔纳坦·克里斯蒂,9,胜,周天成,14
2024/3/5,乔纳坦·克里斯蒂,9,负,王子维,27
2024/1/24,乔纳坦·克里斯蒂,6,负,陆光祖,18
2024/1/18,乔纳坦·克里斯蒂,5,负,李梓嘉,10
2024/1/17,乔纳坦·克里斯蒂,5,胜,伍家朗,20
2024/1/9,乔纳坦·克里斯蒂,5,负,斯里坎特·基达姆比,24
2023/12/16,乔纳坦·克里斯蒂,6,负,石宇奇,7
2023/12/15,乔纳坦·克里斯蒂,6,负,李诗沣,3
2023/12/14,乔纳坦·克里斯蒂,6,胜,安德斯·安东森,11
2023/12/13,乔纳坦·克里斯蒂,6,胜,昆拉武特·威提讪,5
2023/11/17,乔纳坦·克里斯蒂,4,负,安赛龙,1
2023/11/16,乔纳坦·克里斯蒂,4,胜,苏力扬,34
2023/11/15,乔纳坦·克里斯蒂,4,胜,戚又仁,47
2023/10/29,乔纳坦·克里斯蒂,6,胜,李诗沣,5
2023/10/28,乔纳坦·克里斯蒂,6,胜,骆建佑,9
2023/10/27,乔纳坦·克里斯蒂,6,胜,奈良冈功大,3
2023/10/25,乔纳坦·克里斯蒂,6,胜,林俊易,24
2023/10/24,乔纳坦·克里斯蒂,6,胜,西本拳太,13
2023/10/18,乔纳坦·克里斯蒂,7,负,周天成,13
2023/10/3,乔纳坦·克里斯蒂,5,负,周天成,13
2023/9/29,乔纳坦·克里斯蒂,5,负,李伦圭,119
2023/9/17,乔纳坦·克里斯蒂,6,胜,西本拳太,15
2023/9/16,乔纳坦·克里斯蒂,6,胜,黄智勇,20
2023/9/15,乔纳坦·克里斯蒂,6,胜,李佳豪,37
2023/9/14,乔纳坦·克里斯蒂,6,胜,李卓耀,17
2023/9/13,乔纳坦·克里斯蒂,6,胜,伍家朗,18
2023/9/9,乔纳坦·克里斯蒂,9,负,安赛龙,1
2023/9/8,乔纳坦·克里斯蒂,9,胜,谢萨·希伦·雷斯塔维托,45
2023/9/7,乔纳坦·克里斯蒂,9,胜,杨灿,27
2023/9/5,乔纳坦·克里斯蒂,9,胜,翁泓阳,19
2023/8/21,乔纳坦·克里斯蒂,5,负,李梓嘉,13
2023/8/3,乔纳坦·克里斯蒂,5,负,黄智勇,21
2023/8/2,乔纳坦·克里斯蒂,5,胜,桃田贤斗,41
2023/7/30,乔纳坦·克里斯蒂,9,负,安赛龙,1
2023/7/29,乔纳坦·克里斯蒂,9,胜,拉克什亚·森,13
2023/7/28,乔纳坦·克里斯蒂,9,胜,昆拉武特·威提讪,3
2023/7/27,乔纳坦·克里斯蒂,9,胜,翁泓阳,27
2023/7/26,乔纳坦·克里斯蒂,9,胜,詹俊为,46
2023/6/16,乔纳坦·克里斯蒂,7,负,金廷,2
2023/6/15,乔纳坦·克里斯蒂,7,胜,小托马·波波夫,27
2023/6/14,乔纳坦·克里斯蒂,7,胜,常山干太,15
2023/6/6,乔纳坦·克里斯蒂,6,负,石宇奇,9
2023/5/25,乔纳坦·克里斯蒂,7,负,西本拳太,13
2023/5/24,乔纳坦·克里斯蒂,7,胜,戚又仁,48
2023/5/18,乔纳坦·克里斯蒂,6,负,昆拉武特·威提讪,7
2023/5/16,乔纳坦·克里斯蒂,6,胜,法比安·罗斯,94
2023/3/15,乔纳坦·克里斯蒂,2,负,翁泓阳,27
2023/1/29,乔纳坦·克里斯蒂,3,胜,奇科·瓦多约,23
2023/1/28,乔纳坦·克里斯蒂,3,胜,石宇奇,27
2023/1/27,乔纳坦·克里斯蒂,3,胜,拉克什亚·森,12
2023/1/26,乔纳坦·克里斯蒂,3,胜,谢萨·希伦·雷斯塔维托,26
2023/1/25,乔纳坦·克里斯蒂,3,胜,阮日,33
2023/1/21,乔纳坦·克里斯蒂,4,负,安赛龙,1
2023/1/20,乔纳坦·克里斯蒂,4,胜,周天成,5
2023/1/18,乔纳坦·克里斯蒂,4,胜,赵俊鹏,11
2023/1/17,乔纳坦·克里斯蒂,4,胜,杨灿,28
2023/1/12,乔纳坦·克里斯蒂,3,负,西本拳太,17
2023/1/10,乔纳坦·克里斯蒂,3,胜,王子维,18
2024/11/15,奈良冈功大,4,负,梁峻豪,31
2024/11/14,奈良冈功大,4,胜,小托马·波波夫,18
2024/11/13,奈良冈功大,4,胜,李佳豪,23
2024/10/15,奈良冈功大,5,负,骆建佑,11
2024/10/11,奈良冈功大,6,负,昆拉武特·威提讪,7
2024/10/10,奈良冈功大,6,胜,苏力扬,35
2024/10/9,奈良冈功大,6,胜,杨灿,26
2024/9/22,奈良冈功大,6,负,翁泓阳,25
2024/9/21,奈良冈功大,6,胜,昆拉武特·威提讪,7
2024/9/20,奈良冈功大,6,胜,渡边航贵,15
2024/9/19,奈良冈功大,6,胜,李佳豪,22
2024/9/17,奈良冈功大,6,胜,大林拓真,33
2024/9/13,奈良冈功大,6,负,乔纳坦·克里斯蒂,7
2024/9/12,奈良冈功大,6,胜,大林拓真,31
2024/9/11,奈良冈功大,6,胜,黄郁岂,77
2024/8/30,奈良冈功大,7,负,陆光祖,13
2024/8/29,奈良冈功大,7,胜,杨灿,24
2024/8/24,奈良冈功大,8,负,周天成,10
2024/8/23,奈良冈功大,8,胜,王子维,21
2024/8/22,奈良冈功大,8,胜,梁峻豪,27
2024/8/21,奈良冈功大,8,胜,李卓耀,18
2024/8/1,奈良冈功大,5,负,周天成,11
2024/7/31,奈良冈功大,5,胜,全奕陈,45
2024/7/28,奈良冈功大,5,胜,伊戈尔·科埃略,48
2024/7/5,奈良冈功大,6,负,渡边航贵,18
2024/7/4,奈良冈功大,6,胜,廖倬甫,89
2024/7/3,奈良冈功大,6,胜,高桥洸士,57
