Player: 申真谞, Date: 2021-06-23, Rating: 3847, Black and White: 执白, Result: 胜, Opponent: 朴珉奎
Player: 申真谞, Date: 2021-06-18, Rating: 3846, Black and White: 执白, Result: 胜, Opponent: 李昌锡
Player: 申真谞, Date: 2021-06-12, Rating: 3846, Black and White: 执白, Result: 胜, Opponent: 童梦成
Player: 申真谞, Date: 2021-06-11, Rating: 3846, Black and White: 执黑, Result: 胜, Opponent: 丁世雄
Player: 申真谞, Date: 2021-06-08, Rating: 3846, Black and White: 执黑, Result: 胜, Opponent: 杨鼎新
Player: 申真谞, Date: 2021-06-07, Rating: 3846, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 申真谞, Date: 2021-06-04, Rating: 3846, Black and White: 执白, Result: 胜, Opponent: 高根台
Player: 申真谞, Date: 2021-06-01, Rating: 3846, Black and White: 执白, Result: 胜, Opponent: 陶欣然
Player: 申真谞, Date: 2021-05-24, Rating: 3845, Black and White: 执白, Result: 胜, Opponent: 文敏钟
Player: 申真谞, Date: 2021-05-22, Rating: 3845, Black and White: 执白, Result: 胜, Opponent: 黄宰渊
Player: 申真谞, Date: 2021-05-20, Rating: 3845, Black and White: 执白, Result: 胜, Opponent: 李元荣
Player: 申真谞, Date: 2021-05-12, Rating: 3845, Black and White: 执白, Result: 负, Opponent: 丁浩
Player: 申真谞, Date: 2021-05-11, Rating: 3845, Black and White: 执黑, Result: 胜, Opponent: 屠晓宇
Player: 申真谞, Date: 2021-05-10, Rating: 3845, Black and White: 执白, Result: 负, Opponent: 柯洁
Player: 申真谞, Date: 2021-05-08, Rating: 3845, Black and White: 执黑, Result: 胜, Opponent: 李维清
Player: 申真谞, Date: 2021-05-07, Rating: 3844, Black and White: 执白, Result: 胜, Opponent: 唐韦星
Player: 申真谞, Date: 2021-04-28, Rating: 3844, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 申真谞, Date: 2021-04-10, Rating: 3844, Black and White: 执白, Result: 胜, Opponent: 金成进
Player: 申真谞, Date: 2021-03-28, Rating: 3844, Black and White: 执黑, Result: 胜, Opponent: 朴河旼
Player: 申真谞, Date: 2021-03-27, Rating: 3844, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2021-03-26, Rating: 3844, Black and White: 执黑, Result: 负, Opponent: 申旻埈
Player: 申真谞, Date: 2021-03-05, Rating: 3844, Black and White: 执白, Result: 负, Opponent: 卞相壹
Player: 申真谞, Date: 2021-02-27, Rating: 3844, Black and White: 执黑, Result: 胜, Opponent: 许映皓
Player: 申真谞, Date: 2021-02-25, Rating: 3844, Black and White: 执黑, Result: 胜, Opponent: 柯洁
Player: 申真谞, Date: 2021-02-24, Rating: 3844, Black and White: 执黑, Result: 胜, Opponent: 一力辽
Player: 申真谞, Date: 2021-02-23, Rating: 3844, Black and White: 执黑, Result: 胜, Opponent: 杨鼎新
Player: 申真谞, Date: 2021-02-22, Rating: 3844, Black and White: 执白, Result: 胜, Opponent: 井山裕太
Player: 申真谞, Date: 2021-02-20, Rating: 3844, Black and White: 执黑, Result: 胜, Opponent: 沈载益
Player: 申真谞, Date: 2021-02-16, Rating: 3844, Black and White: 执黑, Result: 负, Opponent: 朴进率
Player: 申真谞, Date: 2021-02-14, Rating: 3844, Black and White: 执白, Result: 胜, Opponent: 朴承华
Player: 申真谞, Date: 2021-02-08, Rating: 3844, Black and White: 执黑, Result: 胜, Opponent: 柳珉滢
Player: 申真谞, Date: 2021-02-04, Rating: 3844, Black and White: 执白, Result: 胜, Opponent: 姜儒泽
Player: 申真谞, Date: 2021-01-29, Rating: 3844, Black and White: 执白, Result: 负, Opponent: 白洪淅
Player: 申真谞, Date: 2021-01-25, Rating: 3844, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 申真谞, Date: 2021-01-23, Rating: 3845, Black and White: 执白, Result: 胜, Opponent: 偰玹准
Player: 申真谞, Date: 2021-01-20, Rating: 3845, Black and White: 执黑, Result: 胜, Opponent: 连笑
Player: 申真谞, Date: 2021-01-18, Rating: 3845, Black and White: 执白, Result: 胜, Opponent: 范廷钰
Player: 申真谞, Date: 2021-01-17, Rating: 3845, Black and White: 执黑, Result: 胜, Opponent: 李昌锡
Player: 申真谞, Date: 2021-01-12, Rating: 3845, Black and White: 执白, Result: 胜, Opponent: 赵晨宇
Player: 申真谞, Date: 2021-01-10, Rating: 3845, Black and White: 执黑, Result: 胜, Opponent: 赵晨宇
Player: 申真谞, Date: 2021-01-09, Rating: 3845, Black and White: 执黑, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2021-01-01, Rating: 3845, Black and White: 执黑, Result: 胜, Opponent: 韩升周
Player: 柯洁, Date: 2021-12-25, Rating: 3705, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 柯洁, Date: 2021-12-12, Rating: 3707, Black and White: 执黑, Result: 负, Opponent: 丁浩
Player: 柯洁, Date: 2021-12-11, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 范胤
Player: 柯洁, Date: 2021-12-10, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 陶欣然
Player: 柯洁, Date: 2021-12-05, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 党毅飞
Player: 柯洁, Date: 2021-11-22, Rating: 3708, Black and White: 执黑, Result: 负, Opponent: 赵晨宇
Player: 柯洁, Date: 2021-11-21, Rating: 3708, Black and White: 执白, Result: 胜, Opponent: 彭立尧
Player: 柯洁, Date: 2021-11-18, Rating: 3709, Black and White: 执白, Result: 胜, Opponent: 张涛
Player: 柯洁, Date: 2021-11-17, Rating: 3709, Black and White: 执黑, Result: 胜, Opponent: 谢尔豪
Player: 柯洁, Date: 2021-11-16, Rating: 3709, Black and White: 执黑, Result: 胜, Opponent: 江维杰
Player: 柯洁, Date: 2021-11-10, Rating: 3709, Black and White: 执黑, Result: 负, Opponent: 申真谞
Player: 柯洁, Date: 2021-11-07, Rating: 3710, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 柯洁, Date: 2021-10-21, Rating: 3711, Black and White: 执黑, Result: 负, Opponent: 金志锡
Player: 柯洁, Date: 2021-10-13, Rating: 3711, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 柯洁, Date: 2021-10-09, Rating: 3712, Black and White: 执白, Result: 胜, Opponent: 谢科
Player: 柯洁, Date: 2021-10-08, Rating: 3712, Black and White: 执黑, Result: 胜, Opponent: 唐韦星
Player: 柯洁, Date: 2021-09-30, Rating: 3713, Black and White: 执黑, Result: 胜, Opponent: 李维清
Player: 柯洁, Date: 2021-09-29, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 谢尔豪
Player: 柯洁, Date: 2021-09-28, Rating: 3713, Black and White: 执黑, Result: 胜, Opponent: 陶欣然
Player: 柯洁, Date: 2021-09-26, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 辜梓豪
Player: 柯洁, Date: 2021-09-25, Rating: 3713, Black and White: 执黑, Result: 胜, Opponent: 胡钰函
Player: 柯洁, Date: 2021-07-07, Rating: 3716, Black and White: 执白, Result: 胜, Opponent: 时越
Player: 柯洁, Date: 2021-07-05, Rating: 3716, Black and White: 执黑, Result: 胜, Opponent: 时越
Player: 柯洁, Date: 2021-06-12, Rating: 3717, Black and White: 执白, Result: 胜, Opponent: 郭信驿
Player: 柯洁, Date: 2021-06-11, Rating: 3717, Black and White: 执黑, Result: 负, Opponent: 江维杰
Player: 柯洁, Date: 2021-06-09, Rating: 3717, Black and White: 执白, Result: 胜, Opponent: 童梦成
Player: 柯洁, Date: 2021-06-08, Rating: 3717, Black and White: 执黑, Result: 胜, Opponent: 柁嘉熹
Player: 柯洁, Date: 2021-06-07, Rating: 3717, Black and White: 执白, Result: 胜, Opponent: 陈梓健
Player: 柯洁, Date: 2021-06-02, Rating: 3717, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 柯洁, Date: 2021-05-12, Rating: 3718, Black and White: 执黑, Result: 负, Opponent: 杨鼎新
Player: 柯洁, Date: 2021-05-11, Rating: 3718, Black and White: 执白, Result: 胜, Opponent: 黄云嵩
Player: 柯洁, Date: 2021-05-10, Rating: 3718, Black and White: 执黑, Result: 胜, Opponent: 申真谞
Player: 柯洁, Date: 2021-05-08, Rating: 3718, Black and White: 执黑, Result: 负, Opponent: 朴廷桓
Player: 柯洁, Date: 2021-05-07, Rating: 3718, Black and White: 执白, Result: 胜, Opponent: 丁浩
Player: 柯洁, Date: 2021-04-26, Rating: 3718, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 柯洁, Date: 2021-04-25, Rating: 3718, Black and White: 执黑, Result: 胜, Opponent: 陈浩
Player: 柯洁, Date: 2021-04-25, Rating: 3718, Black and White: 执黑, Result: 胜, Opponent: 刘宇航
Player: 柯洁, Date: 2021-04-20, Rating: 3718, Black and White: 执白, Result: 负, Opponent: 李轩豪
Player: 柯洁, Date: 2021-04-12, Rating: 3718, Black and White: 执黑, Result: 负, Opponent: 李钦诚
Player: 柯洁, Date: 2021-03-23, Rating: 3719, Black and White: 执黑, Result: 胜, Opponent: 谢尔豪
Player: 柯洁, Date: 2021-03-21, Rating: 3719, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 柯洁, Date: 2021-03-19, Rating: 3719, Black and White: 执黑, Result: 胜, Opponent: 黄云嵩
Player: 柯洁, Date: 2021-02-25, Rating: 3720, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 柯洁, Date: 2021-02-04, Rating: 3721, Black and White: 执黑, Result: 负, Opponent: 申旻埈
Player: 柯洁, Date: 2021-02-03, Rating: 3721, Black and White: 执黑, Result: 负, Opponent: 申旻埈
Player: 柯洁, Date: 2021-02-01, Rating: 3721, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 柯洁, Date: 2021-01-20, Rating: 3722, Black and White: 执黑, Result: 负, Opponent: 唐韦星
Player: 柯洁, Date: 2021-01-18, Rating: 3722, Black and White: 执黑, Result: 胜, Opponent: 许皓鋐
Player: 朴廷桓, Date: 2022-01-01, Rating: 3696, Black and White: 执白, Result: 胜, Opponent: 朴键昊
