Player: 小林光一, Date: 1986-03-02, Rating: 3396, Black and White: 执黑, Result: 胜, Opponent: 本田邦久
Player: 小林光一, Date: 1986-02-26, Rating: 3396, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1986-02-23, Rating: 3396, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1986-02-23, Rating: 3396, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1986-02-19, Rating: 3396, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1986-02-13, Rating: 3397, Black and White: 执白, Result: 胜, Opponent: 时本壹
Player: 小林光一, Date: 1986-02-05, Rating: 3397, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1986-02-02, Rating: 3397, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 小林光一, Date: 1986-01-29, Rating: 3397, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1986-01-26, Rating: 3398, Black and White: 执白, Result: 胜, Opponent: 高木祥一
Player: 小林光一, Date: 1986-01-22, Rating: 3398, Black and White: 执白, Result: 胜, Opponent: 淡路修三
Player: 小林光一, Date: 1986-01-16, Rating: 3398, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1986-01-09, Rating: 3398, Black and White: 执白, Result: 负, Opponent: 王铭琬
Player: 小林光一, Date: 1986-01-06, Rating: 3399, Black and White: 执白, Result: 胜, Opponent: 后藤俊午
Player: 赵治勋, Date: 1986-12-13, Rating: 3390, Black and White: 执黑, Result: 胜, Opponent: 羽根泰正
Player: 赵治勋, Date: 1986-12-11, Rating: 3391, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 赵治勋, Date: 1986-12-04, Rating: 3391, Black and White: 执黑, Result: 胜, Opponent: 白石裕
Player: 赵治勋, Date: 1986-11-20, Rating: 3392, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 赵治勋, Date: 1986-11-13, Rating: 3392, Black and White: 执黑, Result: 负, Opponent: 武宫正树
Player: 赵治勋, Date: 1986-11-06, Rating: 3392, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 赵治勋, Date: 1986-10-30, Rating: 3393, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1986-10-09, Rating: 3394, Black and White: 执白, Result: 负, Opponent: 石田芳夫
Player: 赵治勋, Date: 1986-09-11, Rating: 3395, Black and White: 执白, Result: 胜, Opponent: 宫泽吾朗
Player: 赵治勋, Date: 1986-08-28, Rating: 3396, Black and White: 执黑, Result: 负, Opponent: 山城宏
Player: 赵治勋, Date: 1986-08-25, Rating: 3396, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 赵治勋, Date: 1986-08-21, Rating: 3396, Black and White: 执白, Result: 胜, Opponent: 羽根泰正
Player: 赵治勋, Date: 1986-08-14, Rating: 3397, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 赵治勋, Date: 1986-08-07, Rating: 3397, Black and White: 执白, Result: 胜, Opponent: 东野弘昭
Player: 赵治勋, Date: 1986-07-31, Rating: 3398, Black and White: 执黑, Result: 胜, Opponent: 山城宏
Player: 赵治勋, Date: 1986-07-23, Rating: 3398, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1986-07-17, Rating: 3398, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1986-07-10, Rating: 3398, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 赵治勋, Date: 1986-07-04, Rating: 3399, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1986-06-26, Rating: 3399, Black and White: 执白, Result: 胜, Opponent: 郑铭煌
Player: 赵治勋, Date: 1986-06-19, Rating: 3399, Black and White: 执黑, Result: 胜, Opponent: 高木祥一
Player: 赵治勋, Date: 1986-06-12, Rating: 3399, Black and White: 执白, Result: 胜, Opponent: 苑田勇一
Player: 赵治勋, Date: 1986-05-29, Rating: 3399, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 赵治勋, Date: 1986-05-22, Rating: 3399, Black and White: 执黑, Result: 胜, Opponent: 本田邦久
Player: 赵治勋, Date: 1986-05-15, Rating: 3399, Black and White: 执黑, Result: 胜, Opponent: 山部俊郎
Player: 赵治勋, Date: 1986-05-08, Rating: 3399, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 赵治勋, Date: 1986-04-24, Rating: 3399, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 赵治勋, Date: 1986-04-17, Rating: 3399, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1986-04-10, Rating: 3399, Black and White: 执黑, Result: 胜, Opponent: 王铭琬
Player: 赵治勋, Date: 1986-04-02, Rating: 3399, Black and White: 执白, Result: 胜, Opponent: 白石裕
Player: 赵治勋, Date: 1986-03-26, Rating: 3399, Black and White: 执黑, Result: 负, Opponent: 杉内雅男
Player: 赵治勋, Date: 1986-03-23, Rating: 3398, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 赵治勋, Date: 1986-03-20, Rating: 3398, Black and White: 执白, Result: 胜, Opponent: 王铭琬
Player: 赵治勋, Date: 1986-03-12, Rating: 3398, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 赵治勋, Date: 1986-03-09, Rating: 3398, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 赵治勋, Date: 1986-03-05, Rating: 3398, Black and White: 执黑, Result: 胜, Opponent: 片冈聪
Player: 赵治勋, Date: 1986-02-26, Rating: 3398, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 赵治勋, Date: 1986-02-23, Rating: 3397, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 赵治勋, Date: 1986-02-23, Rating: 3397, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 赵治勋, Date: 1986-02-19, Rating: 3397, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 赵治勋, Date: 1986-02-12, Rating: 3397, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 赵治勋, Date: 1986-02-09, Rating: 3397, Black and White: 执白, Result: 胜, Opponent: 淡路修三
Player: 赵治勋, Date: 1986-02-05, Rating: 3397, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 赵治勋, Date: 1986-01-29, Rating: 3397, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 赵治勋, Date: 1986-01-16, Rating: 3397, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 赵治勋, Date: 1986-01-05, Rating: 3396, Black and White: 执白, Result: 负, Opponent: 本田邦久
Player: 加藤正夫, Date: 1986-12-18, Rating: 3387, Black and White: 执白, Result: 胜, Opponent: 坂田荣男
Player: 加藤正夫, Date: 1986-12-04, Rating: 3388, Black and White: 执黑, Result: 胜, Opponent: 石田芳夫
Player: 加藤正夫, Date: 1986-11-20, Rating: 3388, Black and White: 执黑, Result: 胜, Opponent: 王铭琬
Player: 加藤正夫, Date: 1986-11-17, Rating: 3388, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 加藤正夫, Date: 1986-11-13, Rating: 3388, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 加藤正夫, Date: 1986-11-08, Rating: 3389, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1986-11-05, Rating: 3389, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 加藤正夫, Date: 1986-10-30, Rating: 3389, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 加藤正夫, Date: 1986-10-23, Rating: 3389, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1986-10-20, Rating: 3390, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1986-10-16, Rating: 3390, Black and White: 执黑, Result: 胜, Opponent: 林海峰
