Player: 时越, Date: 2013-10-13, Rating: 3611, Black and White: 执白, Result: 胜, Opponent: 连笑
Player: 时越, Date: 2013-10-10, Rating: 3611, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 时越, Date: 2013-10-08, Rating: 3611, Black and White: 执白, Result: 胜, Opponent: 柯洁
Player: 时越, Date: 2013-09-22, Rating: 3611, Black and White: 执白, Result: 胜, Opponent: 李维清
Player: 时越, Date: 2013-09-12, Rating: 3611, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 时越, Date: 2013-09-10, Rating: 3611, Black and White: 执白, Result: 胜, Opponent: 刘星
Player: 时越, Date: 2013-09-09, Rating: 3611, Black and White: 执白, Result: 胜, Opponent: 周贺玺
Player: 时越, Date: 2013-09-08, Rating: 3611, Black and White: 执黑, Result: 胜, Opponent: 周睿羊
Player: 时越, Date: 2013-09-07, Rating: 3611, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 时越, Date: 2013-09-04, Rating: 3610, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 时越, Date: 2013-09-03, Rating: 3610, Black and White: 执黑, Result: 胜, Opponent: 安成浚
Player: 时越, Date: 2013-09-01, Rating: 3610, Black and White: 执黑, Result: 负, Opponent: 杨鼎新
Player: 时越, Date: 2013-08-30, Rating: 3610, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 时越, Date: 2013-08-28, Rating: 3610, Black and White: 执黑, Result: 负, Opponent: 檀啸
Player: 时越, Date: 2013-08-27, Rating: 3610, Black and White: 执黑, Result: 胜, Opponent: 唐韦星
Player: 时越, Date: 2013-08-23, Rating: 3610, Black and White: 执白, Result: 胜, Opponent: 檀啸
Player: 时越, Date: 2013-08-21, Rating: 3610, Black and White: 执黑, Result: 胜, Opponent: 檀啸
Player: 时越, Date: 2013-08-07, Rating: 3609, Black and White: 执白, Result: 胜, Opponent: 孟泰龄
Player: 时越, Date: 2013-08-04, Rating: 3609, Black and White: 执白, Result: 胜, Opponent: 罗玄
Player: 时越, Date: 2013-07-21, Rating: 3608, Black and White: 执白, Result: 胜, Opponent: 周睿羊
