Player: 李昌镐, Date: 2000-05-04, Rating: 3519, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 李昌镐, Date: 2000-05-02, Rating: 3519, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 李昌镐, Date: 2000-04-10, Rating: 3518, Black and White: 执白, Result: 负, Opponent: 周鹤洋
Player: 李昌镐, Date: 2000-04-03, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 金日焕
Player: 李昌镐, Date: 2000-03-28, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 李昌镐, Date: 2000-03-27, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 赵善津
Player: 李昌镐, Date: 2000-02-22, Rating: 3516, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2000-02-14, Rating: 3516, Black and White: 执黑, Result: 胜, Opponent: 崔圭丙
Player: 李昌镐, Date: 2000-02-10, Rating: 3516, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 2000-01-26, Rating: 3515, Black and White: 执黑, Result: 胜, Opponent: 崔圭丙
Player: 李昌镐, Date: 2000-01-10, Rating: 3514, Black and White: 执白, Result: 负, Opponent: 崔圭丙
Player: 李昌镐, Date: 2000-01-04, Rating: 3514, Black and White: 执白, Result: 负, Opponent: 芮乃伟
Player: 曹薰铉, Date: 2000-12-28, Rating: 3424, Black and White: 执白, Result: 胜, Opponent: 山下敬吾
Player: 曹薰铉, Date: 2000-12-22, Rating: 3423, Black and White: 执白, Result: 胜, Opponent: 金承俊
Player: 曹薰铉, Date: 2000-11-14, Rating: 3418, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 曹薰铉, Date: 2000-11-03, Rating: 3417, Black and White: 执白, Result: 胜, Opponent: 梁建
Player: 曹薰铉, Date: 2000-10-23, Rating: 3416, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 2000-10-10, Rating: 3414, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 2000-10-04, Rating: 3414, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 2000-09-27, Rating: 3413, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 2000-09-18, Rating: 3413, Black and White: 执黑, Result: 胜, Opponent: 崔明勋
Player: 曹薰铉, Date: 2000-09-07, Rating: 3412, Black and White: 执黑, Result: 胜, Opponent: 尹盛铉
Player: 曹薰铉, Date: 2000-09-04, Rating: 3412, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 2000-09-01, Rating: 3411, Black and White: 执白, Result: 胜, Opponent: 黄孟正
Player: 曹薰铉, Date: 2000-08-30, Rating: 3411, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 曹薰铉, Date: 2000-08-12, Rating: 3409, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 曹薰铉, Date: 2000-08-08, Rating: 3409, Black and White: 执黑, Result: 负, Opponent: 睦镇硕
Player: 曹薰铉, Date: 2000-08-04, Rating: 3408, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 曹薰铉, Date: 2000-08-01, Rating: 3408, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 2000-07-24, Rating: 3408, Black and White: 执白, Result: 负, Opponent: 白大铉
Player: 曹薰铉, Date: 2000-07-21, Rating: 3408, Black and White: 执白, Result: 胜, Opponent: 崔明勋
Player: 曹薰铉, Date: 2000-07-18, Rating: 3407, Black and White: 执黑, Result: 负, Opponent: 崔明勋
Player: 曹薰铉, Date: 2000-07-13, Rating: 3407, Black and White: 执黑, Result: 负, Opponent: 崔圭丙
Player: 曹薰铉, Date: 2000-07-01, Rating: 3407, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 曹薰铉, Date: 2000-06-26, Rating: 3407, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 2000-06-23, Rating: 3407, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 2000-06-15, Rating: 3407, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 曹薰铉, Date: 2000-06-05, Rating: 3407, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 曹薰铉, Date: 2000-06-02, Rating: 3407, Black and White: 执黑, Result: 胜, Opponent: 周鹤洋
Player: 曹薰铉, Date: 2000-05-31, Rating: 3407, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 2000-05-30, Rating: 3407, Black and White: 执白, Result: 胜, Opponent: 丁伟
Player: 曹薰铉, Date: 2000-05-29, Rating: 3407, Black and White: 执黑, Result: 胜, Opponent: 柳时熏
Player: 曹薰铉, Date: 2000-05-25, Rating: 3407, Black and White: 执白, Result: 胜, Opponent: 尹炫皙
Player: 曹薰铉, Date: 2000-05-23, Rating: 3407, Black and White: 执黑, Result: 胜, Opponent: 任昌植
Player: 曹薰铉, Date: 2000-05-15, Rating: 3406, Black and White: 执黑, Result: 负, Opponent: 梁宰豪
Player: 曹薰铉, Date: 2000-05-10, Rating: 3406, Black and White: 执黑, Result: 负, Opponent: 睦镇硕
Player: 曹薰铉, Date: 2000-05-02, Rating: 3406, Black and White: 执黑, Result: 负, Opponent: 王铭琬
Player: 曹薰铉, Date: 2000-04-28, Rating: 3406, Black and White: 执黑, Result: 负, Opponent: 孔杰
Player: 曹薰铉, Date: 2000-04-24, Rating: 3406, Black and White: 执白, Result: 胜, Opponent: 金承俊
