A,B
-6.037285,0.3422086
-2.9804473,-1.9260638
-7.7200904,1.4626391
-0.9944761,-2.7970126
-7.1514387,1.110142
-2.0,-3.3617268
-4.016814,-2.472097
-3.9936678,-3.4187975
-7.95441,1.4972141
-7.135617,1.1256514
-7.2392344,1.1930537
