Player: 赵治勋, Date: 1983-02-16, Rating: 3371, Black and White: 执黑, Result: 胜, Opponent: 藤泽秀行
Player: 赵治勋, Date: 1983-02-13, Rating: 3371, Black and White: 执黑, Result: 胜, Opponent: 关山利夫
Player: 赵治勋, Date: 1983-02-06, Rating: 3371, Black and White: 执白, Result: 负, Opponent: 石田芳夫
Player: 赵治勋, Date: 1983-02-02, Rating: 3371, Black and White: 执白, Result: 负, Opponent: 藤泽秀行
Player: 赵治勋, Date: 1983-01-26, Rating: 3371, Black and White: 执黑, Result: 负, Opponent: 藤泽秀行
Player: 赵治勋, Date: 1983-01-23, Rating: 3371, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 赵治勋, Date: 1983-01-20, Rating: 3372, Black and White: 执黑, Result: 负, Opponent: 石田章
Player: 赵治勋, Date: 1983-01-16, Rating: 3372, Black and White: 执白, Result: 负, Opponent: 坂田荣男
Player: 赵治勋, Date: 1983-01-13, Rating: 3372, Black and White: 执白, Result: 负, Opponent: 藤泽秀行
Player: 小林光一, Date: 1983-12-22, Rating: 3363, Black and White: 执白, Result: 负, Opponent: 山城宏
Player: 小林光一, Date: 1983-12-15, Rating: 3363, Black and White: 执白, Result: 胜, Opponent: 梶原武雄
Player: 小林光一, Date: 1983-12-01, Rating: 3361, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1983-11-27, Rating: 3361, Black and White: 执白, Result: 胜, Opponent: 大山国夫
Player: 小林光一, Date: 1983-11-24, Rating: 3361, Black and White: 执白, Result: 负, Opponent: 片冈聪
Player: 小林光一, Date: 1983-11-17, Rating: 3360, Black and White: 执黑, Result: 负, Opponent: 坂田荣男
Player: 小林光一, Date: 1983-11-10, Rating: 3359, Black and White: 执黑, Result: 胜, Opponent: 桥本昌二
Player: 小林光一, Date: 1983-10-27, Rating: 3358, Black and White: 执黑, Result: 负, Opponent: 淡路修三
Player: 小林光一, Date: 1983-10-06, Rating: 3357, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 小林光一, Date: 1983-09-08, Rating: 3355, Black and White: 执黑, Result: 胜, Opponent: 东野弘昭
Player: 小林光一, Date: 1983-09-01, Rating: 3355, Black and White: 执黑, Result: 负, Opponent: 彦坂直人
Player: 小林光一, Date: 1983-08-13, Rating: 3354, Black and White: 执白, Result: 负, Opponent: 片冈聪
Player: 小林光一, Date: 1983-08-11, Rating: 3354, Black and White: 执白, Result: 胜, Opponent: 石井邦生
Player: 小林光一, Date: 1983-08-04, Rating: 3353, Black and White: 执黑, Result: 胜, Opponent: 佐藤直男
Player: 小林光一, Date: 1983-07-21, Rating: 3353, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 小林光一, Date: 1983-07-14, Rating: 3353, Black and White: 执黑, Result: 负, Opponent: 石田芳夫
Player: 小林光一, Date: 1983-07-01, Rating: 3353, Black and White: 执黑, Result: 胜, Opponent: 聂卫平
Player: 小林光一, Date: 1983-06-29, Rating: 3353, Black and White: 执白, Result: 胜, Opponent: 江铸久
Player: 小林光一, Date: 1983-06-25, Rating: 3353, Black and White: 执黑, Result: 胜, Opponent: 曹大元
Player: 小林光一, Date: 1983-06-19, Rating: 3352, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 小林光一, Date: 1983-06-16, Rating: 3352, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 小林光一, Date: 1983-06-14, Rating: 3352, Black and White: 执黑, Result: 胜, Opponent: 邵震中
Player: 小林光一, Date: 1983-06-02, Rating: 3351, Black and White: 执黑, Result: 胜, Opponent: 石田章
Player: 小林光一, Date: 1983-05-26, Rating: 3351, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 小林光一, Date: 1983-05-05, Rating: 3349, Black and White: 执黑, Result: 胜, Opponent: 东野弘昭
Player: 小林光一, Date: 1983-05-02, Rating: 3349, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 小林光一, Date: 1983-04-21, Rating: 3348, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
