Player: 曹薰铉, Date: 1988-01-18, Rating: 3438, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-01-13, Rating: 3438, Black and White: 执黑, Result: 胜, Opponent: 张斗轸
Player: 曹薰铉, Date: 1988-01-07, Rating: 3437, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 聂卫平, Date: 1988-12-26, Rating: 3384, Black and White: 执白, Result: 负, Opponent: 俞斌
Player: 聂卫平, Date: 1988-12-18, Rating: 3385, Black and White: 执黑, Result: 负, Opponent: 羽根泰正
Player: 聂卫平, Date: 1988-12-03, Rating: 3386, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 聂卫平, Date: 1988-11-22, Rating: 3387, Black and White: 执白, Result: 胜, Opponent: 藤泽秀行
Player: 聂卫平, Date: 1988-11-20, Rating: 3387, Black and White: 执黑, Result: 胜, Opponent: 藤泽秀行
Player: 聂卫平, Date: 1988-11-03, Rating: 3388, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 聂卫平, Date: 1988-10-18, Rating: 3389, Black and White: 执白, Result: 胜, Opponent: 淡路修三
Player: 聂卫平, Date: 1988-10-16, Rating: 3389, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 聂卫平, Date: 1988-08-23, Rating: 3391, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 聂卫平, Date: 1988-08-21, Rating: 3391, Black and White: 执黑, Result: 胜, Opponent: 麦克雷蒙
Player: 聂卫平, Date: 1988-07-04, Rating: 3392, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 聂卫平, Date: 1988-07-02, Rating: 3392, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 聂卫平, Date: 1988-06-04, Rating: 3392, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 聂卫平, Date: 1988-05-28, Rating: 3392, Black and White: 执白, Result: 胜, Opponent: 曹大元
Player: 聂卫平, Date: 1988-04-25, Rating: 3391, Black and White: 执黑, Result: 胜, Opponent: 小松英树
Player: 聂卫平, Date: 1988-04-23, Rating: 3391, Black and White: 执黑, Result: 胜, Opponent: 淡路修三
Player: 聂卫平, Date: 1988-04-19, Rating: 3391, Black and White: 执白, Result: 负, Opponent: 坂田荣男
Player: 聂卫平, Date: 1988-04-14, Rating: 3391, Black and White: 执白, Result: 胜, Opponent: 石井邦生
Player: 聂卫平, Date: 1988-04-12, Rating: 3391, Black and White: 执黑, Result: 胜, Opponent: 桥本宇太郎
Player: 聂卫平, Date: 1988-04-10, Rating: 3391, Black and White: 执白, Result: 胜, Opponent: 桥本宇太郎
Player: 聂卫平, Date: 1988-04-02, Rating: 3391, Black and White: 执黑, Result: 胜, Opponent: 施伦伯
Player: 聂卫平, Date: 1988-03-14, Rating: 3391, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 聂卫平, Date: 1988-01-18, Rating: 3389, Black and White: 执白, Result: 负, Opponent: 刘小光
Player: 小林光一, Date: 1988-12-22, Rating: 3382, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1988-12-13, Rating: 3383, Black and White: 执白, Result: 胜, Opponent: 刘小光
Player: 小林光一, Date: 1988-12-11, Rating: 3383, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 小林光一, Date: 1988-12-11, Rating: 3383, Black and White: 执白, Result: 负, Opponent: 小林觉
Player: 小林光一, Date: 1988-12-01, Rating: 3383, Black and White: 执白, Result: 负, Opponent: 长谷川直
