Player: 小林光一, Date: 1984-10-18, Rating: 3383, Black and White: 执黑, Result: 胜, Opponent: 苑田勇一
Player: 小林光一, Date: 1984-10-08, Rating: 3382, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1984-09-20, Rating: 3380, Black and White: 执白, Result: 负, Opponent: 小林觉
Player: 小林光一, Date: 1984-09-06, Rating: 3379, Black and White: 执白, Result: 胜, Opponent: 高木祥一
Player: 小林光一, Date: 1984-08-23, Rating: 3378, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 小林光一, Date: 1984-08-16, Rating: 3378, Black and White: 执白, Result: 胜, Opponent: 桑田泰明
Player: 小林光一, Date: 1984-08-09, Rating: 3377, Black and White: 执黑, Result: 负, Opponent: 小林觉
Player: 小林光一, Date: 1984-07-19, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 桥本昌二
Player: 小林光一, Date: 1984-07-12, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 坂田荣男
Player: 小林光一, Date: 1984-06-14, Rating: 3374, Black and White: 执白, Result: 负, Opponent: 石田章
Player: 小林光一, Date: 1984-05-26, Rating: 3373, Black and White: 执白, Result: 胜, Opponent: 淡路修三
Player: 小林光一, Date: 1984-05-17, Rating: 3373, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 小林光一, Date: 1984-04-26, Rating: 3371, Black and White: 执白, Result: 负, Opponent: 高木祥一
Player: 小林光一, Date: 1984-04-18, Rating: 3371, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1984-04-12, Rating: 3371, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1984-04-04, Rating: 3370, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1984-03-29, Rating: 3370, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1984-03-25, Rating: 3370, Black and White: 执黑, Result: 负, Opponent: 石田芳夫
Player: 小林光一, Date: 1984-03-22, Rating: 3369, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 小林光一, Date: 1984-03-19, Rating: 3369, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 小林光一, Date: 1984-03-15, Rating: 3369, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1984-03-11, Rating: 3369, Black and White: 执白, Result: 胜, Opponent: 石田芳夫
Player: 小林光一, Date: 1984-02-29, Rating: 3368, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1984-02-26, Rating: 3368, Black and White: 执黑, Result: 负, Opponent: 石田芳夫
Player: 小林光一, Date: 1984-02-16, Rating: 3368, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 小林光一, Date: 1984-02-09, Rating: 3367, Black and White: 执白, Result: 胜, Opponent: 岩田达明
Player: 小林光一, Date: 1984-02-02, Rating: 3367, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1984-01-29, Rating: 3367, Black and White: 执黑, Result: 胜, Opponent: 石井邦生
Player: 小林光一, Date: 1984-01-26, Rating: 3367, Black and White: 执白, Result: 胜, Opponent: 高木祥一
Player: 小林光一, Date: 1984-01-19, Rating: 3366, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 小林光一, Date: 1984-01-16, Rating: 3366, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 加藤正夫, Date: 1984-12-06, Rating: 3344, Black and White: 执黑, Result: 胜, Opponent: 高木祥一
Player: 加藤正夫, Date: 1984-11-15, Rating: 3343, Black and White: 执白, Result: 负, Opponent: 彦坂直人
Player: 加藤正夫, Date: 1984-11-01, Rating: 3344, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1984-10-27, Rating: 3344, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
