Player: 曹薰铉, Date: 1989-04-11, Rating: 3454, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-04-10, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 金东烨
Player: 曹薰铉, Date: 1989-04-06, Rating: 3454, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-04-03, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 曹薰铉, Date: 1989-04-01, Rating: 3454, Black and White: 执白, Result: 胜, Opponent: 本田邦久
Player: 曹薰铉, Date: 1989-03-27, Rating: 3454, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-03-24, Rating: 3454, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-03-17, Rating: 3454, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-03-14, Rating: 3454, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-03-07, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1989-03-03, Rating: 3455, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-02-20, Rating: 3455, Black and White: 执白, Result: 胜, Opponent: 金东烨
Player: 曹薰铉, Date: 1989-02-10, Rating: 3455, Black and White: 执白, Result: 胜, Opponent: 洪太善
Player: 曹薰铉, Date: 1989-02-02, Rating: 3455, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-01-26, Rating: 3455, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-01-23, Rating: 3455, Black and White: 执黑, Result: 胜, Opponent: 尹奇铉
Player: 曹薰铉, Date: 1989-01-19, Rating: 3455, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-01-12, Rating: 3454, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-01-09, Rating: 3454, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-01-06, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-01-04, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 聂卫平, Date: 1989-12-12, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 聂卫平, Date: 1989-11-12, Rating: 3377, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 聂卫平, Date: 1989-11-09, Rating: 3377, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 聂卫平, Date: 1989-10-15, Rating: 3377, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 聂卫平, Date: 1989-09-05, Rating: 3376, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 聂卫平, Date: 1989-09-02, Rating: 3376, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 聂卫平, Date: 1989-08-12, Rating: 3377, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
Player: 聂卫平, Date: 1989-08-12, Rating: 3377, Black and White: 执黑, Result: 负, Opponent: 小林觉
Player: 聂卫平, Date: 1989-05-27, Rating: 3379, Black and White: 执黑, Result: 负, Opponent: 马晓春
Player: 聂卫平, Date: 1989-05-26, Rating: 3379, Black and White: 执黑, Result: 胜, Opponent: 杨晖
Player: 聂卫平, Date: 1989-05-02, Rating: 3380, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 聂卫平, Date: 1989-04-28, Rating: 3381, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 聂卫平, Date: 1989-04-25, Rating: 3381, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 聂卫平, Date: 1989-04-03, Rating: 3381, Black and White: 执白, Result: 负, Opponent: 王铭琬
Player: 聂卫平, Date: 1989-02-23, Rating: 3383, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 聂卫平, Date: 1989-01-13, Rating: 3384, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 聂卫平, Date: 1989-01-11, Rating: 3384, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 聂卫平, Date: 1989-01-02, Rating: 3384, Black and White: 执黑, Result: 负, Opponent: 俞斌
Player: 小林光一, Date: 1989-12-25, Rating: 3390, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 小林光一, Date: 1989-12-16, Rating: 3389, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 小林光一, Date: 1989-12-14, Rating: 3389, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 小林光一, Date: 1989-11-23, Rating: 3388, Black and White: 执白, Result: 胜, Opponent: 今村俊也
Player: 小林光一, Date: 1989-11-16, Rating: 3387, Black and White: 执白, Result: 胜, Opponent: 片冈聪
Player: 小林光一, Date: 1989-11-01, Rating: 3386, Black and White: 执黑, Result: 胜, Opponent: 淡路修三
Player: 小林光一, Date: 1989-10-26, Rating: 3386, Black and White: 执黑, Result: 胜, Opponent: 长谷川直
Player: 小林光一, Date: 1989-10-21, Rating: 3385, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 小林光一, Date: 1989-10-18, Rating: 3385, Black and White: 执白, Result: 胜, Opponent: 淡路修三
Player: 小林光一, Date: 1989-10-12, Rating: 3384, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 小林光一, Date: 1989-10-09, Rating: 3384, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 小林光一, Date: 1989-10-04, Rating: 3384, Black and White: 执黑, Result: 胜, Opponent: 淡路修三
Player: 小林光一, Date: 1989-09-27, Rating: 3383, Black and White: 执白, Result: 胜, Opponent: 淡路修三
Player: 小林光一, Date: 1989-09-21, Rating: 3383, Black and White: 执黑, Result: 负, Opponent: 依田纪基
Player: 小林光一, Date: 1989-09-14, Rating: 3383, Black and White: 执黑, Result: 负, Opponent: 淡路修三
Player: 小林光一, Date: 1989-08-20, Rating: 3382, Black and White: 执白, Result: 负, Opponent: 石井邦生
Player: 小林光一, Date: 1989-08-11, Rating: 3382, Black and White: 执黑, Result: 胜, Opponent: 今村俊也
Player: 小林光一, Date: 1989-07-28, Rating: 3382, Black and White: 执白, Result: 胜, Opponent: 今村俊也
Player: 小林光一, Date: 1989-07-18, Rating: 3382, Black and White: 执黑, Result: 胜, Opponent: 今村俊也
Player: 小林光一, Date: 1989-07-07, Rating: 3381, Black and White: 执白, Result: 负, Opponent: 今村俊也
Player: 小林光一, Date: 1989-06-08, Rating: 3381, Black and White: 执白, Result: 负, Opponent: 今村俊也
Player: 小林光一, Date: 1989-05-18, Rating: 3382, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1989-04-27, Rating: 3382, Black and White: 执黑, Result: 胜, Opponent: 片冈聪
Player: 小林光一, Date: 1989-04-19, Rating: 3382, Black and White: 执黑, Result: 负, Opponent: 淡路修三
Player: 小林光一, Date: 1989-04-13, Rating: 3382, Black and White: 执黑, Result: 胜, Opponent: 小岛高穗
Player: 小林光一, Date: 1989-04-03, Rating: 3382, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 小林光一, Date: 1989-03-30, Rating: 3383, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1989-03-09, Rating: 3383, Black and White: 执白, Result: 胜, Opponent: 彦坂直人
Player: 小林光一, Date: 1989-03-01, Rating: 3383, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 小林光一, Date: 1989-02-22, Rating: 3383, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 小林光一, Date: 1989-02-16, Rating: 3383, Black and White: 执白, Result: 负, Opponent: 羽根泰正
Player: 小林光一, Date: 1989-02-08, Rating: 3383, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 小林光一, Date: 1989-02-01, Rating: 3383, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 小林光一, Date: 1989-01-18, Rating: 3382, Black and White: 执黑, Result: 负, Opponent: 武宫正树
Player: 小林光一, Date: 1989-01-11, Rating: 3382, Black and White: 执白, Result: 负, Opponent: 山城宏
