Player: 曹薰铉, Date: 1990-02-05, Rating: 3456, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1990-02-02, Rating: 3456, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1990-01-30, Rating: 3456, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1990-01-24, Rating: 3456, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1990-01-19, Rating: 3457, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1990-01-17, Rating: 3457, Black and White: 执黑, Result: 胜, Opponent: 吴圭喆
Player: 曹薰铉, Date: 1990-01-15, Rating: 3457, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1990-01-12, Rating: 3457, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1990-01-10, Rating: 3457, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1990-01-08, Rating: 3457, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1990-01-04, Rating: 3457, Black and White: 执白, Result: 胜, Opponent: 吴圭喆
Player: 李昌镐, Date: 1990-12-22, Rating: 3439, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1990-12-14, Rating: 3439, Black and White: 执白, Result: 胜, Opponent: 金承俊
Player: 李昌镐, Date: 1990-12-10, Rating: 3438, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 李昌镐, Date: 1990-12-03, Rating: 3438, Black and White: 执黑, Result: 胜, Opponent: 尹盛铉
Player: 李昌镐, Date: 1990-11-21, Rating: 3437, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 李昌镐, Date: 1990-11-05, Rating: 3436, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
Player: 李昌镐, Date: 1990-10-31, Rating: 3436, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 李昌镐, Date: 1990-10-24, Rating: 3435, Black and White: 执黑, Result: 胜, Opponent: 河灿锡
Player: 李昌镐, Date: 1990-10-22, Rating: 3435, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 李昌镐, Date: 1990-10-18, Rating: 3435, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1990-10-15, Rating: 3435, Black and White: 执黑, Result: 胜, Opponent: 郑寿铉
Player: 李昌镐, Date: 1990-10-12, Rating: 3435, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 李昌镐, Date: 1990-10-10, Rating: 3435, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1990-09-29, Rating: 3435, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1990-09-27, Rating: 3435, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1990-09-25, Rating: 3435, Black and White: 执白, Result: 胜, Opponent: 尹奇铉
Player: 李昌镐, Date: 1990-09-21, Rating: 3435, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1990-09-18, Rating: 3434, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 李昌镐, Date: 1990-09-11, Rating: 3434, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1990-09-07, Rating: 3434, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1990-09-05, Rating: 3434, Black and White: 执黑, Result: 胜, Opponent: 郑寿铉
Player: 李昌镐, Date: 1990-09-04, Rating: 3434, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1990-08-29, Rating: 3434, Black and White: 执黑, Result: 胜, Opponent: 崔圭丙
Player: 李昌镐, Date: 1990-08-24, Rating: 3433, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1990-08-22, Rating: 3433, Black and White: 执白, Result: 胜, Opponent: 崔圭丙
Player: 李昌镐, Date: 1990-08-15, Rating: 3433, Black and White: 执黑, Result: 负, Opponent: 武宫正树
Player: 李昌镐, Date: 1990-08-13, Rating: 3433, Black and White: 执白, Result: 胜, Opponent: 钱宇平
Player: 李昌镐, Date: 1990-08-12, Rating: 3433, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 李昌镐, Date: 1990-08-06, Rating: 3432, Black and White: 执白, Result: 胜, Opponent: 黄元俊
Player: 李昌镐, Date: 1990-07-26, Rating: 3432, Black and White: 执白, Result: 胜, Opponent: 洪太善
