Player: 刘昌赫, Date: 1998-10-15, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 刘昌赫, Date: 1998-09-30, Rating: 3430, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 刘昌赫, Date: 1998-09-14, Rating: 3430, Black and White: 执黑, Result: 胜, Opponent: 李相勋(大)
Player: 刘昌赫, Date: 1998-09-02, Rating: 3429, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 刘昌赫, Date: 1998-08-21, Rating: 3429, Black and White: 执黑, Result: 胜, Opponent: 徐武祥
Player: 刘昌赫, Date: 1998-08-01, Rating: 3428, Black and White: 执白, Result: 胜, Opponent: 彦坂直人
Player: 刘昌赫, Date: 1998-07-20, Rating: 3428, Black and White: 执白, Result: 胜, Opponent: 崔明勋
Player: 刘昌赫, Date: 1998-07-04, Rating: 3427, Black and White: 执白, Result: 负, Opponent: 常昊
Player: 刘昌赫, Date: 1998-06-18, Rating: 3427, Black and White: 执白, Result: 负, Opponent: 邵炜刚
Player: 刘昌赫, Date: 1998-06-05, Rating: 3427, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 刘昌赫, Date: 1998-05-13, Rating: 3426, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 1998-05-11, Rating: 3426, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 1998-04-22, Rating: 3426, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 刘昌赫, Date: 1998-04-20, Rating: 3426, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 1998-04-13, Rating: 3426, Black and White: 执黑, Result: 胜, Opponent: 周鹤洋
Player: 刘昌赫, Date: 1998-04-11, Rating: 3426, Black and White: 执黑, Result: 胜, Opponent: 阿基鲁尔
Player: 刘昌赫, Date: 1998-03-29, Rating: 3426, Black and White: 执黑, Result: 胜, Opponent: 柳时熏
Player: 刘昌赫, Date: 1998-03-27, Rating: 3425, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 刘昌赫, Date: 1998-03-22, Rating: 3425, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 刘昌赫, Date: 1998-03-20, Rating: 3425, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 刘昌赫, Date: 1998-03-18, Rating: 3425, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 刘昌赫, Date: 1998-02-26, Rating: 3425, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 刘昌赫, Date: 1998-02-24, Rating: 3425, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 刘昌赫, Date: 1998-02-05, Rating: 3425, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 刘昌赫, Date: 1998-01-23, Rating: 3424, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 刘昌赫, Date: 1998-01-21, Rating: 3424, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 曹薰铉, Date: 1998-12-28, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 邵炜刚
Player: 曹薰铉, Date: 1998-11-17, Rating: 3420, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1998-10-17, Rating: 3418, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1998-10-01, Rating: 3417, Black and White: 执白, Result: 胜, Opponent: 崔圭丙
Player: 曹薰铉, Date: 1998-09-24, Rating: 3416, Black and White: 执黑, Result: 胜, Opponent: 崔圭丙
Player: 曹薰铉, Date: 1998-09-22, Rating: 3416, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1998-09-16, Rating: 3415, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1998-09-11, Rating: 3415, Black and White: 执白, Result: 胜, Opponent: 李圣宰
Player: 曹薰铉, Date: 1998-09-09, Rating: 3415, Black and White: 执白, Result: 胜, Opponent: 金承俊
Player: 曹薰铉, Date: 1998-09-04, Rating: 3414, Black and White: 执黑, Result: 负, Opponent: 刘小光
Player: 曹薰铉, Date: 1998-09-02, Rating: 3414, Black and White: 执白, Result: 胜, Opponent: 邵炜刚
Player: 曹薰铉, Date: 1998-08-27, Rating: 3413, Black and White: 执白, Result: 胜, Opponent: 李圣宰
Player: 曹薰铉, Date: 1998-08-25, Rating: 3413, Black and White: 执白, Result: 胜, Opponent: 金寅
Player: 曹薰铉, Date: 1998-08-22, Rating: 3413, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1998-08-17, Rating: 3412, Black and White: 执黑, Result: 胜, Opponent: 李圣宰
Player: 曹薰铉, Date: 1998-08-14, Rating: 3412, Black and White: 执白, Result: 负, Opponent: 马晓春
Player: 曹薰铉, Date: 1998-08-13, Rating: 3412, Black and White: 执黑, Result: 胜, Opponent: 曹大元
Player: 曹薰铉, Date: 1998-08-07, Rating: 3411, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1998-08-05, Rating: 3411, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1998-07-26, Rating: 3410, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1998-07-15, Rating: 3409, Black and White: 执白, Result: 负, Opponent: 李圣宰
Player: 曹薰铉, Date: 1998-07-10, Rating: 3408, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1998-07-07, Rating: 3408, Black and White: 执黑, Result: 负, Opponent: 李圣宰
Player: 曹薰铉, Date: 1998-07-01, Rating: 3408, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1998-06-25, Rating: 3408, Black and White: 执白, Result: 负, Opponent: 李相勋(大)
Player: 曹薰铉, Date: 1998-06-18, Rating: 3408, Black and White: 执白, Result: 负, Opponent: 俞斌
Player: 曹薰铉, Date: 1998-06-05, Rating: 3408, Black and White: 执白, Result: 负, Opponent: 彦坂直人
Player: 曹薰铉, Date: 1998-05-21, Rating: 3408, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1998-05-20, Rating: 3408, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1998-04-13, Rating: 3408, Black and White: 执白, Result: 胜, Opponent: 山城宏
Player: 曹薰铉, Date: 1998-04-11, Rating: 3408, Black and White: 执黑, Result: 胜, Opponent: 周俊勋
Player: 曹薰铉, Date: 1998-02-09, Rating: 3406, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1998-02-02, Rating: 3406, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1998-01-23, Rating: 3406, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 曹薰铉, Date: 1998-01-19, Rating: 3406, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1998-01-16, Rating: 3406, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1998-01-09, Rating: 3406, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 马晓春, Date: 1998-12-28, Rating: 3384, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 马晓春, Date: 1998-12-13, Rating: 3384, Black and White: 执黑, Result: 负, Opponent: 周鹤洋
Player: 马晓春, Date: 1998-11-26, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 马晓春, Date: 1998-11-20, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 马晓春, Date: 1998-11-19, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 马晓春, Date: 1998-11-17, Rating: 3385, Black and White: 执白, Result: 负, Opponent: 刘小光
Player: 马晓春, Date: 1998-11-15, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 马晓春, Date: 1998-11-02, Rating: 3385, Black and White: 执白, Result: 胜, Opponent: 柳时熏
