10273	7853	513	319	0	2
5092	5527	14	1	0	2
6815	7928	15	10	2	1
8322	7898	1	7	2	0
7361	7699	2	5	1	2
9063	8846	154	326	2	0
4680	8522	115	120	2	0
5281	4680	122	115	0	2
8522	7049	120	387	2	0
9469	7842	165	392	2	0
7317	5092	7	14	1	2
7928	5092	10	14	0	2
655	7928	1	10	0	2
655	7317	1	7	1	2
5527	634	3	9	2	1
634	6815	9	15	0	2
6815	1150	15	12	1	2
5527	1150	3	12	2	0
634	1150	9	12	2	0
5527	6815	3	15	0	2
655	5092	1	14	0	2
7317	7928	7	10	0	2
7361	7898	2	7	2	0
7361	8446	2	3	2	0
8322	7750	1	4	2	0
8322	7699	1	6	2	0
7898	7613	7	9	2	1
7750	7911	4	8	2	0
7911	7699	8	6	1	2
8446	7613	3	9	2	0
7361	7613	2	9	2	0
8446	7898	3	7	0	2
8322	7911	1	8	2	0
7750	7699	4	6	0	2
9063	11960	154	209	2	0
12088	4680	184	115	0	2
8712	9063	146	199	0	2
7335	6173	1	16	2	0
7338	7571	13	5	0	2
7854	8311	1	3	0	2
8707	7493	7	13	2	0
10686	4201	322	102	0	2
8846	9791	326	180	2	1
8158	8522	260	120	0	2
8365	9372	130	98	0	2
10004	5281	570	122	1	2
11852	7963	44	124	1	2
883	7049	142	387	1	2
7427	8537	141	156	1	2
7964	7978	66	57	0	2
2467	7249	32	49	2	0
2902	5089	28	57	2	0
8584	7835	31	78	0	2
9256	7838	37	63	1	2
10248	7842	122	392	1	2
8182	8712	64	146	0	2
12124	4201	117	102	0	2
7868	9372	143	98	0	2
12088	8365	309	130	0	2
8158	8784	260	188	2	0
9063	9156	199	289	2	0
8846	7646	326	251	2	1
11852	11798	44	72	2	1
9099	10686	168	322	0	2
7690	7963	84	124	0	2
8516	10004	114	570	1	2
7978	8477	57	61	2	1
7427	8652	141	59	2	0
7257	7249	29	49	0	2
7924	7835	71	78	0	2
7838	7447	63	25	2	1
2467	8267	32	61	2	0
8304	8537	29	156	0	2
9156	9791	382	180	0	2
12124	11732	117	156	2	0
8182	8529	64	216	2	1
7798	4201	183	102	0	2
7555	4680	186	115	1	2
12088	11856	184	246	2	0
10686	8467	322	109	2	0
7049	8181	387	379	2	0
9099	11960	168	732	2	1
883	8151	142	282	2	1
7963	7898	124	7	2	0
12468	9156	964	289	0	2
8712	9215	146	121	2	1
5089	8485	57	223	2	0
11798	8581	72	109	2	0
8512	8584	153	31	1	2
8477	8166	61	81	2	0
8586	7427	115	141	0	2
665	9256	77	37	0	2
3734	2902	105	28	0	2
8304	8049	29	60	2	0
7805	2902	90	28	0	2
8218	7249	188	49	0	2
5533	7257	40	29	0	2
8673	8267	72	61	0	2
7866	5281	139	122	0	2
7236	9469	93	165	0	2
10901	7978	112	57	1	2
9372	8151	391	282	0	2
11852	5434	44	133	2	1
6934	7690	127	84	1	2
7835	8527	78	33	2	0
7961	7924	93	71	0	2
8652	5616	59	86	2	0
7964	6878	66	40	2	1
7613	7815	9	51	2	0
8485	8512	39	153	0	2
8620	8537	101	156	0	2
2184	8584	196	31	0	2
468	12026	41	80	0	2
8529	9791	192	180	1	2
7798	7646	805	251	1	2
9862	8846	643	326	0	2
10604	7327	757	240	0	2
11960	12128	209	469	2	1
12437	4201	458	102	0	2
7798	9128	183	170	2	1
11732	7702	156	236	2	1
12124	12128	117	433	2	0
7322	8467	886	109	0	2
10686	7646	322	543	2	0
5905	11960	688	732	0	2
9373	9099	111	168	0	2
9156	7327	289	130	2	0
