Rank,Player,Profile URL
1,李昌镐,https://www.goratings.org/zh/../../zh/players/18.html
2,曹薰铉,https://www.goratings.org/zh/../../zh/players/149.html
3,马晓春,https://www.goratings.org/zh/../../zh/players/11.html
4,刘昌赫,https://www.goratings.org/zh/../../zh/players/30.html
5,赵治勋,https://www.goratings.org/zh/../../zh/players/98.html
6,小林觉,https://www.goratings.org/zh/../../zh/players/51.html
7,王立诚,https://www.goratings.org/zh/../../zh/players/71.html
8,小林光一,https://www.goratings.org/zh/../../zh/players/50.html
9,常昊,https://www.goratings.org/zh/../../zh/players/155.html
10,加藤正夫,https://www.goratings.org/zh/../../zh/players/193.html
11,依田纪基,https://www.goratings.org/zh/../../zh/players/90.html
12,刘小光,https://www.goratings.org/zh/../../zh/players/25.html
13,徐奉洙,https://www.goratings.org/zh/../../zh/players/49.html
14,聂卫平,https://www.goratings.org/zh/../../zh/players/124.html
15,崔明勋,https://www.goratings.org/zh/../../zh/players/159.html
16,周鹤洋,https://www.goratings.org/zh/../../zh/players/135.html
17,柳时熏,https://www.goratings.org/zh/../../zh/players/41.html
18,俞斌,https://www.goratings.org/zh/../../zh/players/92.html
19,大竹英雄,https://www.goratings.org/zh/../../zh/players/158.html
20,武宫正树,https://www.goratings.org/zh/../../zh/players/82.html
21,金承俊,https://www.goratings.org/zh/../../zh/players/201.html
22,片冈聪,https://www.goratings.org/zh/../../zh/players/235.html
23,今村俊也,https://www.goratings.org/zh/../../zh/players/202.html
24,曹大元,https://www.goratings.org/zh/../../zh/players/150.html
25,芮乃伟,https://www.goratings.org/zh/../../zh/players/115.html
26,林海峰,https://www.goratings.org/zh/../../zh/players/36.html
27,结城聪,https://www.goratings.org/zh/../../zh/players/251.html
28,孔杰,https://www.goratings.org/zh/../../zh/players/208.html
29,高尾绅路,https://www.goratings.org/zh/../../zh/players/175.html
30,本田邦久,https://www.goratings.org/zh/../../zh/players/147.html
31,山田规三生,https://www.goratings.org/zh/../../zh/players/65.html
32,邵炜刚,https://www.goratings.org/zh/../../zh/players/57.html
33,东野弘昭,https://www.goratings.org/zh/../../zh/players/167.html
34,王磊,https://www.goratings.org/zh/../../zh/players/69.html
35,刘世振,https://www.goratings.org/zh/../../zh/players/26.html
36,赵善津,https://www.goratings.org/zh/../../zh/players/95.html
37,张文东,https://www.goratings.org/zh/../../zh/players/110.html
38,山城宏,https://www.goratings.org/zh/../../zh/players/223.html
39,大平修三,https://www.goratings.org/zh/../../zh/players/847.html
40,余平,https://www.goratings.org/zh/../../zh/players/91.html
41,罗洗河,https://www.goratings.org/zh/../../zh/players/43.html
42,刘钧,https://www.goratings.org/zh/../../zh/players/31.html
43,中野宽也,https://www.goratings.org/zh/../../zh/players/129.html
44,羽根直树,https://www.goratings.org/zh/../../zh/players/93.html
45,金成龙,https://www.goratings.org/zh/../../zh/players/248.html
46,刘菁,https://www.goratings.org/zh/../../zh/players/29.html
47,丁伟,https://www.goratings.org/zh/../../zh/players/166.html
48,睦镇硕,https://www.goratings.org/zh/../../zh/players/121.html
49,山下敬吾,https://www.goratings.org/zh/../../zh/players/64.html
50,江铸久,https://www.goratings.org/zh/../../zh/players/205.html
51,崔圭丙,https://www.goratings.org/zh/../../zh/players/162.html
52,小县真树,https://www.goratings.org/zh/../../zh/players/335.html
53,沟上知亲,https://www.goratings.org/zh/../../zh/players/180.html
54,羽根泰正,https://www.goratings.org/zh/../../zh/players/288.html
55,彦坂直人,https://www.goratings.org/zh/../../zh/players/88.html
56,尹盛铉,https://www.goratings.org/zh/../../zh/players/101.html
57,梁宰豪,https://www.goratings.org/zh/../../zh/players/39.html
58,石田章,https://www.goratings.org/zh/../../zh/players/319.html
59,小松英树,https://www.goratings.org/zh/../../zh/players/52.html
60,三村智保,https://www.goratings.org/zh/../../zh/players/276.html
61,李圣宰,https://www.goratings.org/zh/../../zh/players/6.html
62,清成哲也,https://www.goratings.org/zh/../../zh/players/289.html
63,淡路修三,https://www.goratings.org/zh/../../zh/players/243.html
64,杨嘉源,https://www.goratings.org/zh/../../zh/players/255.html
