A,B
-2.0613985,-0.87548524
-7.2411256,0.2341508
-7.4921722,0.3958184
-3.995751,-2.974082
-3.006946,-3.208624
-4.999987,-3.4491313
-7.155859,0.18429151
-7.782563,0.490172
-1.0000099,-3.8055437
