Player: 大竹英雄, Date: 1982-08-08, Rating: 3333, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 大竹英雄, Date: 1982-07-29, Rating: 3334, Black and White: 执白, Result: 胜, Opponent: 苑田勇一
Player: 大竹英雄, Date: 1982-07-14, Rating: 3335, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 大竹英雄, Date: 1982-07-01, Rating: 3335, Black and White: 执黑, Result: 胜, Opponent: 羽根泰正
Player: 大竹英雄, Date: 1982-06-24, Rating: 3335, Black and White: 执白, Result: 胜, Opponent: 山城宏
Player: 大竹英雄, Date: 1982-06-10, Rating: 3335, Black and White: 执白, Result: 胜, Opponent: 坂田荣男
Player: 大竹英雄, Date: 1982-06-03, Rating: 3335, Black and White: 执黑, Result: 负, Opponent: 东野弘昭
Player: 大竹英雄, Date: 1982-05-29, Rating: 3335, Black and White: 执黑, Result: 负, Opponent: 淡路修三
Player: 大竹英雄, Date: 1982-05-27, Rating: 3335, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 大竹英雄, Date: 1982-05-13, Rating: 3335, Black and White: 执白, Result: 胜, Opponent: 早濑弘
Player: 大竹英雄, Date: 1982-05-11, Rating: 3335, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 大竹英雄, Date: 1982-04-29, Rating: 3336, Black and White: 执白, Result: 胜, Opponent: 酒井通温
Player: 大竹英雄, Date: 1982-04-01, Rating: 3336, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 大竹英雄, Date: 1982-03-25, Rating: 3337, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 大竹英雄, Date: 1982-03-11, Rating: 3337, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 大竹英雄, Date: 1982-03-06, Rating: 3338, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 大竹英雄, Date: 1982-03-03, Rating: 3338, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 大竹英雄, Date: 1982-02-04, Rating: 3340, Black and White: 执白, Result: 胜, Opponent: 本田邦久
Player: 大竹英雄, Date: 1982-01-23, Rating: 3340, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 大竹英雄, Date: 1982-01-21, Rating: 3340, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 曹薰铉, Date: 1982-12-12, Rating: 3387, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
