Match,Distribution Type,Data Type,Parameter Type,Parameter,Finish all rounds,Spearman Round Robin,Spearman Swiss Round,Spearman Double Elimination,Spearman Weighted Round Robin,Spearman Round Robin Knockout,Spearman Ladder Tournament,NDCG Spearman Round Robin,NDCG Spearman Swiss Round,NDCG Spearman Double Elimination,NDCG Spearman Weighted Round Robin,NDCG Spearman Round Robin Knockout,NDCG Spearman Ladder Tournament
StarCraft,,Real Data,rounds,1,False,0.7528743315508024,0.6331885026737968,0.6485561497326202,0.6656016042780748,0.35899732620320846,0.2705548128342246,0.8336923758520272,0.7459712293231137,0.7578702481479592,0.6856108176370697,0.47582698007730584,0.18180340697761305
StarCraft,,Real Data,rounds,2,False,0.4968917112299465,0.39116310160427814,0.35742647058823523,0.5112032085561499,0.26461898395721933,0.07023395721925133,0.5161751153098828,0.4617610181991965,0.40630003693842476,0.5819356546139353,0.27356024648653854,0.02523008090181981
StarCraft,,Real Data,rounds,3,False,0.4515574866310159,0.373255347593583,0.2702874331550802,0.5704612299465239,0.28729946524064176,0.03620320855614972,0.46371954684001937,0.42468813196390215,0.2661240775836655,0.662599110243098,0.32009132081376584,-0.02640911350336506
StarCraft,,Real Data,rounds,4,False,0.42921791443850266,0.35243983957219255,0.2018917112299465,0.5853609625668449,0.3036965240641712,0.014344919786096247,0.4328159472950544,0.3991612776331495,0.15343717883560992,0.6870397947953587,0.33770774022607664,-0.042019595594535726
StarCraft,,Real Data,rounds,5,False,0.41858957219251336,0.3678943850267381,0.16970588235294112,0.6681951871657753,0.366183155080214,0.022647058823529412,0.43237561476277725,0.4265157716447174,0.11196589856046568,0.757292109805512,0.42286952628386665,-0.061697555852831126
StarCraft,,Real Data,rounds,6,False,0.45717245989304806,0.3594318181818182,0.17555481283422458,0.6940508021390372,0.38394385026737976,0.0036764705882352897,0.4789348889627603,0.4333642667343669,0.11903165068461403,0.7785983307090981,0.4404722726615731,-0.05603918776332291
StarCraft,,Real Data,rounds,7,False,0.4398729946524065,0.3775401069518717,0.1999398395721926,0.7186430481283422,0.44104946524064154,0.002346256684491983,0.4617331989700594,0.45894968318351687,0.17278250641754395,0.798543446324587,0.5079221156408006,-0.08100163896804834
StarCraft,,Real Data,rounds,8,False,0.470909090909091,0.4323195187165775,0.1801270053475936,0.7515975935828877,0.4111430481283423,0.005200534759358295,0.501105295458294,0.49473998820829557,0.12291933272503516,0.8217997915602777,0.4939320289123923,-0.0657734801764564
StarCraft,,Real Data,rounds,9,False,0.4665374331550804,0.4372192513368986,0.2030013368983957,0.7801069518716578,0.39376336898395714,0.009953208556149737,0.5136619985220882,0.5108925796701584,0.16396644481517583,0.8413961537485202,0.4506543779943233,-0.04930976877939447
StarCraft,,Real Data,rounds,10,False,0.4326002673796792,0.47093582887700547,0.1846991978609626,0.7957620320855614,0.3825935828877005,-0.015648395721925133,0.4815826500653301,0.5487148758171911,0.1486638205109743,0.8526159129675921,0.46192516061577715,-0.07660395321588964
StarCraft,,Real Data,rounds,11,False,0.4980147058823529,0.46512700534759366,0.16667780748663102,0.794979946524064,0.4208756684491978,0.00933823529411764,0.5466652038247055,0.547920635994382,0.10392919307407862,0.8530895464172338,0.4822621728272383,-0.08483175465288241
StarCraft,,Real Data,rounds,12,False,0.4928141711229946,0.44306149732620326,0.1710294117647059,0.8039572192513369,0.40275401069518724,0.008716577540106954,0.5370215380701032,0.5143034069745344,0.16317617788640157,0.860150798578561,0.43931094834597273,-0.07459855668571291
StarCraft,,Real Data,rounds,13,False,0.5221657754010696,0.47358288770053475,0.20261363636363644,0.8258422459893047,0.4381483957219252,0.01685160427807487,0.5723502392162227,0.5287955861278177,0.14027054412122283,0.8728354273156899,0.5105814908268084,-0.04763049536457958
StarCraft,,Real Data,rounds,14,False,0.5290842245989306,0.5019050802139037,0.18151737967914436,0.8472192513368985,0.41469251336898394,0.016684491978609627,0.5818687036738772,0.5722317071121221,0.13033161608209326,0.886497162337499,0.4739869086187014,-0.06254818215177417
