Player: 小林光一, Date: 1985-07-17, Rating: 3405, Black and White: 执黑, Result: 胜, Opponent: 曹大元
Player: 小林光一, Date: 1985-07-11, Rating: 3405, Black and White: 执白, Result: 胜, Opponent: 山城宏
Player: 小林光一, Date: 1985-07-04, Rating: 3405, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 小林光一, Date: 1985-06-13, Rating: 3404, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1985-06-06, Rating: 3404, Black and White: 执黑, Result: 胜, Opponent: 宫泽吾朗
Player: 小林光一, Date: 1985-05-22, Rating: 3403, Black and White: 执白, Result: 胜, Opponent: 钱宇平
Player: 小林光一, Date: 1985-05-20, Rating: 3403, Black and White: 执黑, Result: 胜, Opponent: 邵震中
Player: 小林光一, Date: 1985-05-09, Rating: 3402, Black and White: 执白, Result: 胜, Opponent: 高木祥一
Player: 小林光一, Date: 1985-05-02, Rating: 3402, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 小林光一, Date: 1985-04-25, Rating: 3401, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1985-04-18, Rating: 3401, Black and White: 执白, Result: 胜, Opponent: 山城宏
Player: 小林光一, Date: 1985-04-04, Rating: 3400, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1985-03-28, Rating: 3400, Black and White: 执白, Result: 胜, Opponent: 加田克司
Player: 小林光一, Date: 1985-03-20, Rating: 3399, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1985-03-14, Rating: 3399, Black and White: 执黑, Result: 胜, Opponent: 大平修三
Player: 小林光一, Date: 1985-03-11, Rating: 3399, Black and White: 执白, Result: 胜, Opponent: 江铸久
Player: 小林光一, Date: 1985-03-09, Rating: 3398, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1985-03-06, Rating: 3398, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1985-02-28, Rating: 3398, Black and White: 执白, Result: 胜, Opponent: 石井新藏
