Player: 刘昌赫, Date: 1999-11-18, Rating: 3410, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 刘昌赫, Date: 1999-11-15, Rating: 3410, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 刘昌赫, Date: 1999-11-11, Rating: 3410, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 刘昌赫, Date: 1999-11-05, Rating: 3411, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 刘昌赫, Date: 1999-10-26, Rating: 3412, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 刘昌赫, Date: 1999-10-02, Rating: 3413, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 刘昌赫, Date: 1999-09-27, Rating: 3413, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 1999-09-18, Rating: 3414, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 刘昌赫, Date: 1999-09-13, Rating: 3414, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 刘昌赫, Date: 1999-09-09, Rating: 3415, Black and White: 执黑, Result: 负, Opponent: 山田规三生
Player: 刘昌赫, Date: 1999-09-07, Rating: 3415, Black and White: 执黑, Result: 胜, Opponent: 周鹤洋
Player: 刘昌赫, Date: 1999-08-27, Rating: 3416, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 1999-08-25, Rating: 3416, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 刘昌赫, Date: 1999-08-13, Rating: 3417, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 1999-08-07, Rating: 3418, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 刘昌赫, Date: 1999-08-02, Rating: 3419, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 刘昌赫, Date: 1999-07-19, Rating: 3420, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 刘昌赫, Date: 1999-07-08, Rating: 3421, Black and White: 执黑, Result: 胜, Opponent: 林宣根
Player: 刘昌赫, Date: 1999-07-03, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 刘昌赫, Date: 1999-06-17, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 周俊勋
Player: 刘昌赫, Date: 1999-06-15, Rating: 3423, Black and White: 执白, Result: 胜, Opponent: 周鹤洋
Player: 刘昌赫, Date: 1999-06-05, Rating: 3424, Black and White: 执黑, Result: 胜, Opponent: 石田芳夫
Player: 刘昌赫, Date: 1999-05-07, Rating: 3426, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 刘昌赫, Date: 1999-05-03, Rating: 3426, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 刘昌赫, Date: 1999-04-23, Rating: 3426, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 刘昌赫, Date: 1999-04-12, Rating: 3427, Black and White: 执白, Result: 胜, Opponent: 后藤俊午
Player: 刘昌赫, Date: 1999-04-06, Rating: 3427, Black and White: 执白, Result: 胜, Opponent: 金承俊
Player: 刘昌赫, Date: 1999-03-16, Rating: 3428, Black and White: 执黑, Result: 胜, Opponent: 崔圭丙
Player: 刘昌赫, Date: 1999-02-19, Rating: 3429, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1999-12-25, Rating: 3409, Black and White: 执黑, Result: 胜, Opponent: 森田道博
Player: 曹薰铉, Date: 1999-11-29, Rating: 3411, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1999-11-18, Rating: 3411, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1999-11-15, Rating: 3412, Black and White: 执黑, Result: 胜, Opponent: 王磊
Player: 曹薰铉, Date: 1999-11-11, Rating: 3412, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1999-10-21, Rating: 3414, Black and White: 执白, Result: 胜, Opponent: 金荣桓
Player: 曹薰铉, Date: 1999-09-30, Rating: 3416, Black and White: 执黑, Result: 胜, Opponent: 金荣桓
Player: 曹薰铉, Date: 1999-09-17, Rating: 3417, Black and White: 执黑, Result: 胜, Opponent: 崔明勋
Player: 曹薰铉, Date: 1999-09-09, Rating: 3417, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 曹薰铉, Date: 1999-09-07, Rating: 3417, Black and White: 执黑, Result: 胜, Opponent: 中野宽也
Player: 曹薰铉, Date: 1999-08-20, Rating: 3419, Black and White: 执白, Result: 胜, Opponent: 安祚永
Player: 曹薰铉, Date: 1999-07-19, Rating: 3421, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1999-07-12, Rating: 3421, Black and White: 执白, Result: 负, Opponent: 睦镇硕
Player: 曹薰铉, Date: 1999-07-05, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 许壮会
Player: 曹薰铉, Date: 1999-06-29, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1999-06-27, Rating: 3422, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1999-06-25, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1999-06-21, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 林宣根
Player: 曹薰铉, Date: 1999-06-17, Rating: 3423, Black and White: 执白, Result: 胜, Opponent: 邵炜刚
Player: 曹薰铉, Date: 1999-06-15, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 曹大元
Player: 曹薰铉, Date: 1999-05-21, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 曹薰铉, Date: 1999-04-30, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 藤泽秀行
Player: 曹薰铉, Date: 1999-04-27, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1999-04-23, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 周鹤洋
Player: 曹薰铉, Date: 1999-04-12, Rating: 3423, Black and White: 执白, Result: 负, Opponent: 小林觉
Player: 曹薰铉, Date: 1999-03-22, Rating: 3423, Black and White: 执白, Result: 胜, Opponent: 崔圭丙
Player: 曹薰铉, Date: 1999-03-05, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 金承俊
Player: 曹薰铉, Date: 1999-01-25, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 马晓春, Date: 1999-12-28, Rating: 3365, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 马晓春, Date: 1999-12-25, Rating: 3366, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 马晓春, Date: 1999-12-23, Rating: 3366, Black and White: 执黑, Result: 胜, Opponent: 郭娟
Player: 马晓春, Date: 1999-12-12, Rating: 3368, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 马晓春, Date: 1999-12-10, Rating: 3369, Black and White: 执白, Result: 胜, Opponent: 丁伟
Player: 马晓春, Date: 1999-12-07, Rating: 3369, Black and White: 执白, Result: 胜, Opponent: 刘菁
Player: 马晓春, Date: 1999-11-22, Rating: 3371, Black and White: 执白, Result: 胜, Opponent: 邱峻
Player: 马晓春, Date: 1999-11-15, Rating: 3372, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 马晓春, Date: 1999-11-09, Rating: 3373, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 马晓春, Date: 1999-10-16, Rating: 3375, Black and White: 执黑, Result: 胜, Opponent: 周鹤洋
Player: 马晓春, Date: 1999-10-11, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 马晓春, Date: 1999-09-16, Rating: 3377, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 马晓春, Date: 1999-09-14, Rating: 3378, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 马晓春, Date: 1999-09-12, Rating: 3378, Black and White: 执白, Result: 胜, Opponent: 聂卫平
Player: 马晓春, Date: 1999-08-18, Rating: 3378, Black and White: 执白, Result: 胜, Opponent: 刘小光
Player: 马晓春, Date: 1999-08-07, Rating: 3379, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 马晓春, Date: 1999-07-03, Rating: 3380, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 马晓春, Date: 1999-06-17, Rating: 3380, Black and White: 执白, Result: 胜, Opponent: 彦坂直人
Player: 马晓春, Date: 1999-06-11, Rating: 3380, Black and White: 执白, Result: 负, Opponent: 常昊
Player: 马晓春, Date: 1999-06-09, Rating: 3380, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 马晓春, Date: 1999-06-07, Rating: 3380, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 马晓春, Date: 1999-06-05, Rating: 3380, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 马晓春, Date: 1999-05-10, Rating: 3380, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 马晓春, Date: 1999-04-18, Rating: 3381, Black and White: 执白, Result: 负, Opponent: 常昊
Player: 马晓春, Date: 1999-04-12, Rating: 3381, Black and White: 执黑, Result: 胜, Opponent: 工藤纪夫
Player: 马晓春, Date: 1999-04-06, Rating: 3381, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 马晓春, Date: 1999-04-04, Rating: 3381, Black and White: 执白, Result: 负, Opponent: 常昊
Player: 马晓春, Date: 1999-03-28, Rating: 3381, Black and White: 执黑, Result: 胜, Opponent: 周鹤洋
Player: 马晓春, Date: 1999-03-14, Rating: 3382, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 马晓春, Date: 1999-03-12, Rating: 3382, Black and White: 执白, Result: 负, Opponent: 常昊
Player: 马晓春, Date: 1999-03-04, Rating: 3382, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 马晓春, Date: 1999-03-02, Rating: 3382, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 马晓春, Date: 1999-02-24, Rating: 3382, Black and White: 执黑, Result: 负, Opponent: 余平
Player: 马晓春, Date: 1999-02-22, Rating: 3382, Black and White: 执白, Result: 胜, Opponent: 邵炜刚
Player: 马晓春, Date: 1999-02-21, Rating: 3382, Black and White: 执白, Result: 胜, Opponent: 阮云生
Player: 马晓春, Date: 1999-02-08, Rating: 3383, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 马晓春, Date: 1999-02-05, Rating: 3383, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 马晓春, Date: 1999-02-03, Rating: 3383, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 马晓春, Date: 1999-02-01, Rating: 3383, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 马晓春, Date: 1999-01-23, Rating: 3384, Black and White: 执白, Result: 胜, Opponent: 周鹤洋
Player: 马晓春, Date: 1999-01-18, Rating: 3384, Black and White: 执黑, Result: 胜, Opponent: 邵炜刚
Player: 马晓春, Date: 1999-01-13, Rating: 3384, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 常昊, Date: 1999-12-25, Rating: 3372, Black and White: 执白, Result: 胜, Opponent: 东野弘昭
Player: 常昊, Date: 1999-12-04, Rating: 3371, Black and White: 执黑, Result: 胜, Opponent: 罗洗河
Player: 常昊, Date: 1999-11-19, Rating: 3369, Black and White: 执白, Result: 负, Opponent: 廖桂永
Player: 常昊, Date: 1999-11-15, Rating: 3369, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 常昊, Date: 1999-11-09, Rating: 3369, Black and White: 执黑, Result: 负, Opponent: 马晓春
Player: 常昊, Date: 1999-11-05, Rating: 3369, Black and White: 执黑, Result: 负, Opponent: 王磊
Player: 常昊, Date: 1999-10-29, Rating: 3369, Black and White: 执白, Result: 胜, Opponent: 朱松力
Player: 常昊, Date: 1999-10-26, Rating: 3369, Black and White: 执白, Result: 胜, Opponent: 李亮
Player: 常昊, Date: 1999-10-15, Rating: 3369, Black and White: 执白, Result: 胜, Opponent: 彭荃
Player: 常昊, Date: 1999-10-11, Rating: 3369, Black and White: 执黑, Result: 负, Opponent: 马晓春
Player: 常昊, Date: 1999-10-06, Rating: 3369, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 常昊, Date: 1999-09-16, Rating: 3369, Black and White: 执白, Result: 负, Opponent: 马晓春
Player: 常昊, Date: 1999-09-14, Rating: 3369, Black and White: 执黑, Result: 负, Opponent: 马晓春
Player: 常昊, Date: 1999-09-09, Rating: 3369, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 常昊, Date: 1999-09-07, Rating: 3369, Black and White: 执白, Result: 胜, Opponent: 金东烨
Player: 常昊, Date: 1999-08-20, Rating: 3369, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 常昊, Date: 1999-08-18, Rating: 3369, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 常昊, Date: 1999-08-17, Rating: 3369, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 常昊, Date: 1999-08-15, Rating: 3369, Black and White: 执白, Result: 胜, Opponent: 邱峻
Player: 常昊, Date: 1999-08-11, Rating: 3369, Black and White: 执白, Result: 胜, Opponent: 王磊
Player: 常昊, Date: 1999-08-09, Rating: 3369, Black and White: 执黑, Result: 负, Opponent: 王煜辉
Player: 常昊, Date: 1999-08-07, Rating: 3369, Black and White: 执白, Result: 胜, Opponent: 王磊
Player: 常昊, Date: 1999-08-03, Rating: 3369, Black and White: 执黑, Result: 负, Opponent: 古力
Player: 常昊, Date: 1999-07-30, Rating: 3369, Black and White: 执黑, Result: 胜, Opponent: 杨晖
Player: 常昊, Date: 1999-07-13, Rating: 3370, Black and White: 执黑, Result: 胜, Opponent: 梁伟棠
Player: 常昊, Date: 1999-07-12, Rating: 3370, Black and White: 执黑, Result: 负, Opponent: 杨士海
Player: 常昊, Date: 1999-07-06, Rating: 3370, Black and White: 执白, Result: 负, Opponent: 邹俊杰
Player: 常昊, Date: 1999-06-27, Rating: 3371, Black and White: 执黑, Result: 负, Opponent: 崔明勋
Player: 常昊, Date: 1999-06-17, Rating: 3372, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 常昊, Date: 1999-06-15, Rating: 3372, Black and White: 执白, Result: 胜, Opponent: 林宣根
Player: 常昊, Date: 1999-06-11, Rating: 3372, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 常昊, Date: 1999-06-09, Rating: 3372, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 常昊, Date: 1999-06-07, Rating: 3372, Black and White: 执黑, Result: 负, Opponent: 马晓春
Player: 常昊, Date: 1999-05-27, Rating: 3373, Black and White: 执黑, Result: 负, Opponent: 依田纪基
Player: 常昊, Date: 1999-05-26, Rating: 3373, Black and White: 执黑, Result: 胜, Opponent: 郑寿铉
Player: 常昊, Date: 1999-05-21, Rating: 3373, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 常昊, Date: 1999-05-11, Rating: 3374, Black and White: 执白, Result: 胜, Opponent: 小林光一
