Player: 申真谞, Date: 2022-04-30, Rating: 3858, Black and White: 执黑, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2022-04-27, Rating: 3858, Black and White: 执白, Result: 胜, Opponent: 韩相朝
Player: 申真谞, Date: 2022-04-24, Rating: 3858, Black and White: 执白, Result: 胜, Opponent: 韩升周
Player: 申真谞, Date: 2022-04-23, Rating: 3858, Black and White: 执白, Result: 胜, Opponent: 朴进率
Player: 申真谞, Date: 2022-04-17, Rating: 3858, Black and White: 执白, Result: 胜, Opponent: 金成宰
Player: 申真谞, Date: 2022-04-16, Rating: 3858, Black and White: 执黑, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2022-04-12, Rating: 3858, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 申真谞, Date: 2022-04-07, Rating: 3858, Black and White: 执白, Result: 胜, Opponent: 文敏钟
Player: 申真谞, Date: 2022-04-03, Rating: 3858, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2022-04-01, Rating: 3858, Black and White: 执黑, Result: 胜, Opponent: 梁寓皙
Player: 申真谞, Date: 2022-03-30, Rating: 3858, Black and White: 执黑, Result: 胜, Opponent: 柳珉滢
Player: 申真谞, Date: 2022-03-27, Rating: 3858, Black and White: 执黑, Result: 胜, Opponent: 韩升周
Player: 申真谞, Date: 2022-03-24, Rating: 3858, Black and White: 执黑, Result: 胜, Opponent: 李钦诚
Player: 申真谞, Date: 2022-03-14, Rating: 3857, Black and White: 执白, Result: 负, Opponent: 李志贤
Player: 申真谞, Date: 2022-03-10, Rating: 3857, Black and White: 执黑, Result: 胜, Opponent: 金炯佑
Player: 申真谞, Date: 2022-03-04, Rating: 3857, Black and White: 执白, Result: 胜, Opponent: 李泰贤
Player: 申真谞, Date: 2022-03-03, Rating: 3857, Black and White: 执白, Result: 胜, Opponent: 崔原踊
Player: 申真谞, Date: 2022-02-28, Rating: 3857, Black and White: 执黑, Result: 负, Opponent: 尹峻相
Player: 申真谞, Date: 2022-02-26, Rating: 3857, Black and White: 执白, Result: 胜, Opponent: 一力辽
Player: 申真谞, Date: 2022-02-26, Rating: 3857, Black and White: 执白, Result: 胜, Opponent: 朴珉奎
Player: 申真谞, Date: 2022-02-25, Rating: 3857, Black and White: 执白, Result: 胜, Opponent: 柯洁
Player: 申真谞, Date: 2022-02-24, Rating: 3857, Black and White: 执白, Result: 胜, Opponent: 余正麒
Player: 申真谞, Date: 2022-02-23, Rating: 3857, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 申真谞, Date: 2022-02-20, Rating: 3857, Black and White: 执黑, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2022-02-13, Rating: 3857, Black and White: 执黑, Result: 负, Opponent: 元晟溱
Player: 申真谞, Date: 2022-02-12, Rating: 3857, Black and White: 执白, Result: 胜, Opponent: 李东勋
Player: 申真谞, Date: 2022-02-09, Rating: 3857, Black and White: 执黑, Result: 胜, Opponent: 杨鼎新
Player: 申真谞, Date: 2022-02-07, Rating: 3857, Black and White: 执白, Result: 胜, Opponent: 杨鼎新
Player: 申真谞, Date: 2022-02-05, Rating: 3857, Black and White: 执白, Result: 胜, Opponent: 朴常镇
Player: 申真谞, Date: 2022-01-20, Rating: 3857, Black and White: 执白, Result: 胜, Opponent: 丁浩
Player: 申真谞, Date: 2022-01-20, Rating: 3857, Black and White: 执黑, Result: 胜, Opponent: 朴钟勋
Player: 申真谞, Date: 2022-01-19, Rating: 3857, Black and White: 执白, Result: 胜, Opponent: 金禹丞
Player: 申真谞, Date: 2022-01-17, Rating: 3857, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 申真谞, Date: 2022-01-16, Rating: 3856, Black and White: 执黑, Result: 胜, Opponent: 赵晨宇
Player: 申真谞, Date: 2022-01-13, Rating: 3856, Black and White: 执黑, Result: 胜, Opponent: 朴进率
Player: 申真谞, Date: 2022-01-11, Rating: 3856, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 申真谞, Date: 2022-01-07, Rating: 3856, Black and White: 执白, Result: 负, Opponent: 李东勋
Player: 申真谞, Date: 2022-01-02, Rating: 3856, Black and White: 执白, Result: 胜, Opponent: 李映九
Player: 柯洁, Date: 2022-12-19, Rating: 3679, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 柯洁, Date: 2022-11-18, Rating: 3678, Black and White: 执黑, Result: 负, Opponent: 杨楷文
Player: 柯洁, Date: 2022-11-13, Rating: 3678, Black and White: 执白, Result: 负, Opponent: 姜东润
Player: 柯洁, Date: 2022-10-28, Rating: 3679, Black and White: 执黑, Result: 负, Opponent: 朴廷桓
Player: 柯洁, Date: 2022-10-12, Rating: 3680, Black and White: 执白, Result: 负, Opponent: 童梦成
Player: 柯洁, Date: 2022-10-10, Rating: 3680, Black and White: 执黑, Result: 胜, Opponent: 伊凌涛
Player: 柯洁, Date: 2022-10-08, Rating: 3680, Black and White: 执黑, Result: 胜, Opponent: 廖元赫
Player: 柯洁, Date: 2022-09-18, Rating: 3681, Black and White: 执黑, Result: 负, Opponent: 王星昊
Player: 柯洁, Date: 2022-09-13, Rating: 3681, Black and White: 执白, Result: 胜, Opponent: 范胤
Player: 柯洁, Date: 2022-09-13, Rating: 3681, Black and White: 执白, Result: 负, Opponent: 陈贤
Player: 柯洁, Date: 2022-09-09, Rating: 3682, Black and White: 执黑, Result: 胜, Opponent: 芈昱廷
Player: 柯洁, Date: 2022-08-30, Rating: 3682, Black and White: 执白, Result: 胜, Opponent: 陈豪鑫
