Player: 申真谞, Date: 2019-09-27, Rating: 3791, Black and White: 执黑, Result: 胜, Opponent: 尹灿熙
Player: 申真谞, Date: 2019-09-01, Rating: 3785, Black and White: 执白, Result: 负, Opponent: 廖元赫
Player: 申真谞, Date: 2019-08-31, Rating: 3785, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 申真谞, Date: 2019-08-30, Rating: 3785, Black and White: 执白, Result: 胜, Opponent: 高星
Player: 申真谞, Date: 2019-08-28, Rating: 3785, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 申真谞, Date: 2019-08-26, Rating: 3784, Black and White: 执白, Result: 负, Opponent: 范蕴若
Player: 申真谞, Date: 2019-08-24, Rating: 3784, Black and White: 执黑, Result: 负, Opponent: 党毅飞
Player: 申真谞, Date: 2019-08-12, Rating: 3782, Black and White: 执白, Result: 胜, Opponent: 辜梓豪
Player: 申真谞, Date: 2019-08-10, Rating: 3782, Black and White: 执黑, Result: 胜, Opponent: 赵晨宇
Player: 申真谞, Date: 2019-08-07, Rating: 3782, Black and White: 执白, Result: 负, Opponent: 朴廷桓
Player: 申真谞, Date: 2019-08-06, Rating: 3782, Black and White: 执黑, Result: 负, Opponent: 朴廷桓
Player: 申真谞, Date: 2019-08-04, Rating: 3781, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 申真谞, Date: 2019-08-04, Rating: 3781, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 申真谞, Date: 2019-08-03, Rating: 3781, Black and White: 执白, Result: 胜, Opponent: 许皓鋐
Player: 申真谞, Date: 2019-07-29, Rating: 3781, Black and White: 执白, Result: 胜, Opponent: 时越
Player: 申真谞, Date: 2019-07-22, Rating: 3780, Black and White: 执白, Result: 胜, Opponent: 张涛
Player: 申真谞, Date: 2019-07-20, Rating: 3780, Black and White: 执白, Result: 胜, Opponent: 杨鼎新
Player: 申真谞, Date: 2019-07-14, Rating: 3779, Black and White: 执黑, Result: 胜, Opponent: 李志贤
Player: 申真谞, Date: 2019-07-08, Rating: 3778, Black and White: 执黑, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2019-06-29, Rating: 3777, Black and White: 执白, Result: 胜, Opponent: 偰玹准
Player: 申真谞, Date: 2019-06-23, Rating: 3776, Black and White: 执白, Result: 胜, Opponent: 丁浩
Player: 申真谞, Date: 2019-06-22, Rating: 3776, Black and White: 执黑, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2019-06-21, Rating: 3776, Black and White: 执黑, Result: 胜, Opponent: 许嘉阳
Player: 申真谞, Date: 2019-06-15, Rating: 3775, Black and White: 执黑, Result: 胜, Opponent: 陈时映
Player: 申真谞, Date: 2019-06-10, Rating: 3774, Black and White: 执黑, Result: 胜, Opponent: 周睿羊
Player: 申真谞, Date: 2019-06-08, Rating: 3774, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 申真谞, Date: 2019-06-07, Rating: 3774, Black and White: 执白, Result: 胜, Opponent: 李志贤
Player: 申真谞, Date: 2019-06-01, Rating: 3773, Black and White: 执黑, Result: 胜, Opponent: 柁嘉熹
Player: 申真谞, Date: 2019-05-29, Rating: 3772, Black and White: 执黑, Result: 胜, Opponent: 芈昱廷
Player: 申真谞, Date: 2019-05-27, Rating: 3772, Black and White: 执黑, Result: 胜, Opponent: 廖元赫
Player: 申真谞, Date: 2019-05-22, Rating: 3771, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 申真谞, Date: 2019-05-21, Rating: 3771, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 申真谞, Date: 2019-05-20, Rating: 3770, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 申真谞, Date: 2019-05-15, Rating: 3769, Black and White: 执白, Result: 胜, Opponent: 伊田笃史
Player: 申真谞, Date: 2019-05-14, Rating: 3769, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 申真谞, Date: 2019-05-11, Rating: 3768, Black and White: 执黑, Result: 胜, Opponent: 孟泰龄
Player: 申真谞, Date: 2019-05-06, Rating: 3767, Black and White: 执白, Result: 负, Opponent: 柯洁
Player: 申真谞, Date: 2019-05-02, Rating: 3766, Black and White: 执白, Result: 胜, Opponent: 文敏钟
Player: 申真谞, Date: 2019-04-29, Rating: 3766, Black and White: 执黑, Result: 胜, Opponent: 丁浩
