Player: 李昌镐, Date: 1991-02-26, Rating: 3444, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-02-23, Rating: 3444, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-02-19, Rating: 3444, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-02-13, Rating: 3443, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-02-08, Rating: 3443, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-02-04, Rating: 3443, Black and White: 执白, Result: 胜, Opponent: 依田纪基
Player: 李昌镐, Date: 1991-02-02, Rating: 3443, Black and White: 执黑, Result: 负, Opponent: 依田纪基
Player: 李昌镐, Date: 1991-01-26, Rating: 3442, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-01-23, Rating: 3442, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-01-19, Rating: 3442, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-01-17, Rating: 3441, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1991-01-13, Rating: 3441, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-01-07, Rating: 3441, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 曹薰铉, Date: 1991-12-30, Rating: 3422, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1991-12-21, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1991-12-18, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 郑寿铉
Player: 曹薰铉, Date: 1991-12-11, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1991-12-02, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1991-11-29, Rating: 3422, Black and White: 执黑, Result: 负, Opponent: 洪太善
Player: 曹薰铉, Date: 1991-11-23, Rating: 3423, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1991-11-15, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 白成豪
Player: 曹薰铉, Date: 1991-11-08, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-11-06, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 卢永夏
Player: 曹薰铉, Date: 1991-11-04, Rating: 3423, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-10-30, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1991-10-26, Rating: 3423, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-10-22, Rating: 3422, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1991-10-16, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-10-14, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 李相勋(小)
Player: 曹薰铉, Date: 1991-10-11, Rating: 3422, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1991-10-07, Rating: 3422, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-10-04, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1991-09-28, Rating: 3422, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-09-25, Rating: 3422, Black and White: 执白, Result: 负, Opponent: 洪太善
Player: 曹薰铉, Date: 1991-09-19, Rating: 3423, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1991-09-12, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 金东烨
Player: 曹薰铉, Date: 1991-09-09, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 曹薰铉, Date: 1991-09-05, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1991-09-02, Rating: 3423, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 曹薰铉, Date: 1991-08-27, Rating: 3423, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 曹薰铉, Date: 1991-08-22, Rating: 3423, Black and White: 执白, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1991-08-20, Rating: 3423, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-08-08, Rating: 3423, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1991-08-07, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 李东奎
Player: 曹薰铉, Date: 1991-08-05, Rating: 3423, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-08-01, Rating: 3423, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-07-26, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 李柱龙
Player: 曹薰铉, Date: 1991-07-19, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1991-07-11, Rating: 3424, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-07-05, Rating: 3424, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1991-07-01, Rating: 3424, Black and White: 执白, Result: 胜, Opponent: 丁铉山
Player: 曹薰铉, Date: 1991-06-24, Rating: 3424, Black and White: 执白, Result: 胜, Opponent: 金秀壮
Player: 曹薰铉, Date: 1991-06-17, Rating: 3424, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-06-15, Rating: 3424, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-06-13, Rating: 3424, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-06-10, Rating: 3424, Black and White: 执黑, Result: 胜, Opponent: 金秀壮
Player: 曹薰铉, Date: 1991-06-03, Rating: 3424, Black and White: 执白, Result: 胜, Opponent: 林宣根
Player: 曹薰铉, Date: 1991-05-27, Rating: 3425, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1991-05-24, Rating: 3425, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-05-20, Rating: 3425, Black and White: 执黑, Result: 胜, Opponent: 白成豪
Player: 曹薰铉, Date: 1991-05-17, Rating: 3425, Black and White: 执黑, Result: 胜, Opponent: 金钟秀
Player: 曹薰铉, Date: 1991-05-15, Rating: 3425, Black and White: 执黑, Result: 胜, Opponent: 金熙中
Player: 曹薰铉, Date: 1991-05-13, Rating: 3425, Black and White: 执白, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1991-05-10, Rating: 3425, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 曹薰铉, Date: 1991-05-07, Rating: 3426, Black and White: 执白, Result: 胜, Opponent: 金熙中
Player: 曹薰铉, Date: 1991-05-03, Rating: 3426, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1991-05-01, Rating: 3426, Black and White: 执白, Result: 胜, Opponent: 金秀壮
Player: 曹薰铉, Date: 1991-04-21, Rating: 3426, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-04-17, Rating: 3426, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-04-14, Rating: 3426, Black and White: 执白, Result: 胜, Opponent: 聂卫平
Player: 曹薰铉, Date: 1991-04-08, Rating: 3426, Black and White: 执黑, Result: 负, Opponent: 王立诚
Player: 曹薰铉, Date: 1991-03-28, Rating: 3426, Black and White: 执黑, Result: 胜, Opponent: 河灿锡
Player: 曹薰铉, Date: 1991-03-16, Rating: 3427, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-03-13, Rating: 3427, Black and White: 执白, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1991-03-09, Rating: 3427, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-03-06, Rating: 3427, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-02-28, Rating: 3427, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-02-26, Rating: 3427, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1991-02-23, Rating: 3428, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
