Player: 朴廷桓, Date: 2012-07-11, Rating: 3587, Black and White: 执黑, Result: 胜, Opponent: 安成浚
Player: 朴廷桓, Date: 2012-07-07, Rating: 3587, Black and White: 执白, Result: 胜, Opponent: 陈时映
Player: 朴廷桓, Date: 2012-07-05, Rating: 3587, Black and White: 执黑, Result: 胜, Opponent: 韩态熙
Player: 朴廷桓, Date: 2012-07-04, Rating: 3587, Black and White: 执黑, Result: 胜, Opponent: 姜勋(小)
Player: 朴廷桓, Date: 2012-06-30, Rating: 3587, Black and White: 执白, Result: 胜, Opponent: 童梦成
Player: 朴廷桓, Date: 2012-06-25, Rating: 3587, Black and White: 执黑, Result: 胜, Opponent: 卞相壹
Player: 朴廷桓, Date: 2012-06-23, Rating: 3587, Black and White: 执黑, Result: 负, Opponent: 连笑
Player: 朴廷桓, Date: 2012-06-20, Rating: 3587, Black and White: 执黑, Result: 负, Opponent: 连笑
Player: 朴廷桓, Date: 2012-06-18, Rating: 3587, Black and White: 执黑, Result: 胜, Opponent: 邬光亚
Player: 朴廷桓, Date: 2012-06-14, Rating: 3588, Black and White: 执白, Result: 负, Opponent: 檀啸
Player: 朴廷桓, Date: 2012-06-12, Rating: 3588, Black and White: 执白, Result: 胜, Opponent: 金元彬
Player: 朴廷桓, Date: 2012-06-10, Rating: 3588, Black and White: 执黑, Result: 胜, Opponent: 李东勋
Player: 朴廷桓, Date: 2012-06-09, Rating: 3588, Black and White: 执白, Result: 胜, Opponent: 邱峻
Player: 朴廷桓, Date: 2012-06-07, Rating: 3588, Black and White: 执黑, Result: 胜, Opponent: 洪性志
Player: 朴廷桓, Date: 2012-06-05, Rating: 3588, Black and White: 执白, Result: 胜, Opponent: 李廷宇
Player: 朴廷桓, Date: 2012-06-03, Rating: 3588, Black and White: 执黑, Result: 胜, Opponent: 李映九
Player: 朴廷桓, Date: 2012-05-30, Rating: 3588, Black and White: 执白, Result: 胜, Opponent: 国宇征
Player: 朴廷桓, Date: 2012-05-27, Rating: 3589, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 朴廷桓, Date: 2012-05-25, Rating: 3589, Black and White: 执黑, Result: 胜, Opponent: 朴文垚
Player: 朴廷桓, Date: 2012-05-23, Rating: 3589, Black and White: 执黑, Result: 胜, Opponent: 杨慧人
Player: 朴廷桓, Date: 2012-05-20, Rating: 3589, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 朴廷桓, Date: 2012-05-17, Rating: 3589, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 朴廷桓, Date: 2012-05-10, Rating: 3589, Black and White: 执白, Result: 胜, Opponent: 许映皓
Player: 朴廷桓, Date: 2012-05-07, Rating: 3588, Black and White: 执白, Result: 胜, Opponent: 毛睿龙
Player: 朴廷桓, Date: 2012-05-04, Rating: 3588, Black and White: 执白, Result: 胜, Opponent: 韩尚勋
Player: 朴廷桓, Date: 2012-04-30, Rating: 3588, Black and White: 执黑, Result: 负, Opponent: 谢赫
Player: 朴廷桓, Date: 2012-04-28, Rating: 3588, Black and White: 执黑, Result: 胜, Opponent: 朴承华
