Match,Distribution Type,Data Type,Parameter Type,Parameter,Finish all rounds,Spearman Round Robin,Spearman Swiss Round,Spearman Double Elimination,Spearman Weighted Round Robin,Spearman Round Robin Knockout,Spearman Ladder Tournament,NDCG Spearman Round Robin,NDCG Spearman Swiss Round,NDCG Spearman Double Elimination,NDCG Spearman Weighted Round Robin,NDCG Spearman Round Robin Knockout,NDCG Spearman Ladder Tournament
StarCraft,,Real Data,rounds,1,False,0.5137032085561497,0.5040106951871658,0.36330213903743314,0.651403743315508,0.490975935828877,0.009692513368983913,0.47206483769705454,0.45720751931147263,0.5058727583544103,0.6887465777946743,0.5064604549810292,0.0262773917915472
StarCraft,,Real Data,rounds,2,False,0.651403743315508,0.5274064171122994,0.5297459893048129,0.6463903743315508,0.7102272727272727,0.013703208556149704,0.6524137155270996,0.6626969495600219,0.5594476940457014,0.7100815537288123,0.767990049796865,0.04421861648063008
StarCraft,,Real Data,rounds,3,False,0.7760695187165776,0.5989304812834224,0.46691176470588236,0.8018048128342246,0.794451871657754,-0.00401069518716568,0.7956502806318955,0.697051359555115,0.4905172494693991,0.8322143821892937,0.8460461337788915,0.052410206269791204
StarCraft,,Real Data,rounds,4,False,0.7479946524064172,0.8091577540106951,0.39070855614973266,0.8429144385026738,0.8205213903743316,-0.010695187165775444,0.7707753903633234,0.8476570295215693,0.46493792122382727,0.879579460179692,0.8821953616926095,0.053859731358322116
StarCraft,,Real Data,rounds,5,False,0.749331550802139,0.8282085561497327,0.36330213903743314,0.8445855614973262,0.8061497326203209,-0.00200534759358284,0.7646685610195819,0.8844653040008366,0.40785202360726525,0.8799373996039433,0.8601665450895561,-0.0024290844661583044
StarCraft,,Real Data,rounds,6,False,0.7443181818181819,0.8282085561497327,0.5441176470588236,0.8415775401069518,0.8836898395721925,-0.025735294117646967,0.7619054671547778,0.8810061663642853,0.6420807048169477,0.871831960241045,0.9149572810165185,0.025634795679349676
StarCraft,,Real Data,rounds,7,False,0.7302807486631016,0.7713903743315508,0.37332887700534756,0.8539438502673797,0.9351604278074866,-0.023729946524064127,0.7556716301192833,0.8410555726226423,0.5043997667770835,0.8982805447742483,0.9507624742326803,0.005794736295562597
StarCraft,,Real Data,rounds,8,False,0.7052139037433155,0.7637032085561497,0.34525401069518713,0.8853609625668449,0.8302139037433155,-0.03208556149732611,0.7406022082685617,0.8377597939133883,0.4667670261137282,0.9151378593995421,0.8783030406618691,-0.021458008328148592
StarCraft,,Real Data,rounds,9,False,0.7115641711229946,0.8693181818181819,0.39471925133689845,0.8689839572192514,0.9234625668449198,-0.044451871657753994,0.7564218209184733,0.9124259954280153,0.5085752652612692,0.9058340605176132,0.9426827256750998,-0.027163925647242237
StarCraft,,Real Data,rounds,10,False,0.7520053475935828,0.9217914438502673,0.4157754010695187,0.8960561497326203,0.8970588235294118,-0.04077540106951871,0.8091004993654358,0.945827883580645,0.5344680370608454,0.9288955166242926,0.9333273967625861,-0.021952907623097317
StarCraft,,Real Data,rounds,11,False,0.7894385026737968,0.9010695187165776,0.3626336898395722,0.902072192513369,0.8024732620320856,-0.043449197860962574,0.8496899180902782,0.9343245541795181,0.47640076828116495,0.9338825740391857,0.8532791765675919,0.016636410831341486
StarCraft,,Real Data,rounds,12,False,0.8262032085561497,0.8860294117647058,0.4117647058823529,0.9264705882352942,0.9087566844919786,-0.02606951871657759,0.8772818832052498,0.9247980657955417,0.5305929635165734,0.9494629808034395,0.9273633619084811,0.0060878173089544685
StarCraft,,Real Data,rounds,13,False,0.8612967914438503,0.9027406417112299,0.3519385026737968,0.9425133689839572,0.8111631016042781,-0.03275401069518713,0.9029674558315741,0.9345065964733145,0.48681874142050074,0.959326546376784,0.8293307403259387,0.0311143343668554
StarCraft,,Real Data,rounds,14,False,0.8927139037433155,0.8773395721925134,0.3566176470588235,0.9592245989304813,0.9261363636363636,-0.051804812834224556,0.9253787706278637,0.9143033692637548,0.4929952534489853,0.9720709189538603,0.9497562571211013,-0.027896561451118185
StarCraft,,Real Data,rounds,15,False,0.9258021390374331,0.9408422459893048,0.4231283422459893,0.9692513368983957,0.8482620320855615,-0.021390374331550888,0.9486985603793789,0.9595969545119594,0.5174201112787253,0.979253708153744,0.8976913533093733,0.038369228874013506
StarCraft,,Real Data,rounds,16,False,0.9301470588235294,0.9405080213903744,0.3709893048128342,0.9776069518716578,0.9064171122994652,-0.02774064171123003,0.9542658655549657,0.9617517050911021,0.4985100764547242,0.9853825133812925,0.9347975636899284,-0.01284172048728971
StarCraft,,Real Data,rounds,17,False,0.9532085561497327,0.9532085561497327,0.3536096256684492,0.9822860962566845,0.8061497326203209,-0.026403743315507988,0.969411773973023,0.9702147009847578,0.47632902062117977,0.9883924772133094,0.8705951036900772,0.04029577776031357
StarCraft,,Real Data,rounds,18,False,0.9562165775401069,0.9401737967914439,0.3348930481283422,0.9836229946524064,0.8328877005347594,-0.045454545454545414,0.9724269043465711,0.9594938559576306,0.494095389641272,0.9894746522637877,0.8857423038626372,-0.022899940656465168
StarCraft,,Real Data,rounds,19,False,0.9588903743315508,0.884024064171123,0.33689839572192515,0.983957219251337,0.8866978609625669,-0.02406417112299475,0.9735755651384891,0.9169775011025063,0.46100075820967124,0.9898499803324106,0.9214024376853223,0.04574538906882075
StarCraft,,Real Data,rounds,20,False,0.9635695187165776,0.920120320855615,0.4010695187165776,0.983957219251337,0.8806818181818181,-0.025401069518716568,0.976983112480659,0.945419883365505,0.534608885847546,0.9898499803324106,0.904797272275347,7.189937369100896e-05
StarCraft,,Real Data,rounds,21,False,0.9672459893048129,0.9224598930481284,0.3602941176470589,0.9829545454545454,0.8265374331550802,-0.020721925133689867,0.9787126297460597,0.9470981429882677,0.5143879150526773,0.9889245853519163,0.8817118634742056,0.006230232126503643
StarCraft,,Real Data,rounds,22,False,0.9665775401069518,0.8820187165775402,0.3673128342245989,0.9856283422459893,0.8803475935828877,-0.041443850267379734,0.9780126942519886,0.9215745871776265,0.4861823953149106,0.9905871326789527,0.9140525163915361,0.014248748607968653
StarCraft,,Real Data,rounds,23,False,0.9585561497326203,0.8856951871657754,0.30080213903743314,0.9842914438502673,0.8940508021390374,-0.025735294117646967,0.9728903168832681,0.9199336078694865,0.4426971700411714,0.9896039415271262,0.9230982822156989,-0.013591214107976146
StarCraft,,Real Data,rounds,24,False,0.9572192513368984,0.8168449197860963,0.3475935828877005,0.9859625668449198,0.8078208556149733,-0.03709893048128343,0.9718815055307425,0.8682690746882017,0.4845173958180683,0.9905405619213499,0.8683797163859142,0.03831406051301722
StarCraft,,Real Data,rounds,25,False,0.9488636363636364,0.8355614973262032,0.37266042780748665,0.9862967914438503,0.901403743315508,-0.02941176470588225,0.9659019174712095,0.8824617740277263,0.5206588836602193,0.9907725680657835,0.9334132464021622,-0.01865027220120008
StarCraft,,Real Data,rounds,26,False,0.946524064171123,0.9321524064171123,0.35528074866310155,0.9849598930481284,0.7259358288770054,-0.03175133689839571,0.9645103332088588,0.9550784918942458,0.47119675261329463,0.9899241308171506,0.790175494700656,0.038071125981742004
StarCraft,,Real Data,rounds,27,False,0.9505347593582888,0.8920454545454546,0.46724598930481287,0.9856283422459893,0.7717245989304813,-0.05514705882352944,0.9667567842676772,0.9296569053109341,0.5707864669565058,0.9905021208325471,0.8291205301362954,0.0064321547647138155
StarCraft,,Real Data,rounds,28,False,0.9505347593582888,0.9131016042780749,0.3880347593582888,0.982620320855615,0.8669786096256684,-0.02673796791443861,0.9677992914941503,0.939943396373502,0.49223740025805096,0.9886311415063771,0.9087962761595211,0.03440117371199758
StarCraft,,Real Data,rounds,29,False,0.9582219251336899,0.9268048128342246,0.3653074866310161,0.9829545454545454,0.9522058823529411,-0.014705882352941124,0.9726629114048566,0.9462890391409221,0.49753704676504773,0.988816688836553,0.9576606141917867,0.00943567691938707
StarCraft,,Real Data,rounds,30,False,0.9709224598930482,0.9545454545454546,0.44050802139037437,0.9832887700534759,0.8883689839572193,-0.046457219251336834,0.9809749094825336,0.9699673457665152,0.5475209742958407,0.9893535122319933,0.9264330012581995,0.018202102965346967
StarCraft,,Real Data,rounds,31,False,0.9712566844919787,0.8753342245989305,0.47894385026737973,0.9856283422459893,0.7640374331550802,-0.045120320855615015,0.9810239915540484,0.9156465822404989,0.5822384616420051,0.9907030814868852,0.8267519736575646,-0.006617159495014402
StarCraft,,Real Data,rounds,32,False,0.9756016042780749,0.9615641711229946,0.4251336898395722,0.9856283422459893,0.8509358288770054,-0.047459893048128254,0.9840687248815416,0.9741060747196236,0.5582117807521094,0.9907761760500657,0.8887519911237849,-0.01001007355691752
StarCraft,Uniform,Simulation Data,rounds,1,False,0.6173128342245989,0.6614304812834224,0.5394385026737968,0.7162433155080214,0.5297459893048129,0.03308823529411764,0.5967729793173491,0.7149239770443907,0.6316596790502234,0.724314890510668,0.508755942941473,0.06085119972937658
StarCraft,Uniform,Simulation Data,rounds,2,False,0.6483957219251337,0.6026069518716577,0.4809491978609626,0.6754679144385027,0.6794786096256684,0.018716577540106916,0.5488115401157462,0.6380164098691418,0.5165536301189529,0.7222294475012387,0.6451283800935752,0.023426463804730124
StarCraft,Uniform,Simulation Data,rounds,3,False,0.7172459893048129,0.5046791443850267,0.4184491978609626,0.7754010695187166,0.7105614973262032,0.0076871657754010725,0.7556294593002291,0.6289265968423072,0.5457792440867981,0.8174730285226132,0.7784018134592016,0.05935260953316712
StarCraft,Uniform,Simulation Data,rounds,4,False,0.7550133689839572,0.6493983957219251,0.3800133689839572,0.8165106951871658,0.8292112299465241,-0.013703208556149704,0.7251715209662926,0.7522484515266004,0.4826926858329196,0.8632317600059773,0.8820322010888935,0.03686243568705272
StarCraft,Uniform,Simulation Data,rounds,5,False,0.7556818181818181,0.6998663101604279,0.32386363636363635,0.8582887700534759,0.7169117647058824,-0.02941176470588225,0.7673355448701389,0.7881786481857759,0.34560352336438427,0.8877184906901001,0.8031050898718457,-0.005649647078018294
StarCraft,Uniform,Simulation Data,rounds,6,False,0.7483288770053476,0.7707219251336899,0.40508021390374327,0.848596256684492,0.8579545454545454,-0.03141711229946531,0.7640910321586043,0.8435040053654654,0.5350089305626633,0.8759060260044296,0.899447889265545,-0.002978512393136956
StarCraft,Uniform,Simulation Data,rounds,7,False,0.7169117647058824,0.8673128342245989,0.410427807486631,0.8482620320855615,0.8893716577540107,-0.042446524064171154,0.7470961109182555,0.9114357245139857,0.5413776222190512,0.8950664018628748,0.9163262305237897,-0.012872461678611336
StarCraft,Uniform,Simulation Data,rounds,8,False,0.7005347593582888,0.829879679144385,0.4588903743315508,0.8686497326203209,0.8078208556149733,-0.048128342245989275,0.7373735889880564,0.86063457233561,0.5655247226587912,0.9056697476518439,0.824802730902109,0.024911148005278716
StarCraft,Uniform,Simulation Data,rounds,9,False,0.6998663101604279,0.8265374331550802,0.3135026737967914,0.8729946524064172,0.7834224598930482,-0.050133689839572115,0.7497941139856288,0.881027591885153,0.43075791846224754,0.9079932872823031,0.8388339099974387,-0.009287669077144178
StarCraft,Uniform,Simulation Data,rounds,10,False,0.7516711229946524,0.9251336898395722,0.39004010695187163,0.892379679144385,0.8566176470588236,-0.02807486631016043,0.8088971893803613,0.9488217238837895,0.514095277719165,0.9268675256185244,0.8837857176943434,0.03108088522271446
StarCraft,Uniform,Simulation Data,rounds,11,False,0.7911096256684492,0.9408422459893048,0.3619652406417112,0.9034090909090909,0.8877005347593583,-0.02974598930481287,0.8504973110118856,0.9556173019028041,0.485215357804459,0.9345964533563494,0.9234062873165594,0.0015519826615933985
StarCraft,Uniform,Simulation Data,rounds,12,False,0.8322192513368984,0.9689171122994652,0.383355614973262,0.9264705882352942,0.8893716577540107,-0.02707219251336901,0.8813987349463399,0.9797217965154941,0.5121016489602076,0.9494629808034395,0.921030124047772,0.03608629126065499
StarCraft,Uniform,Simulation Data,rounds,13,False,0.8586229946524064,0.9060828877005348,0.384024064171123,0.9408422459893048,0.8683155080213903,-0.021056149732620266,0.901461722361039,0.9353090967672921,0.48991818226031114,0.9584356882606474,0.9035009177256927,0.051384730126580846
StarCraft,Uniform,Simulation Data,rounds,14,False,0.9027406417112299,0.8335561497326203,0.4331550802139037,0.9592245989304813,0.911096256684492,-0.03743315508021383,0.9324874898539641,0.883671040449017,0.5528550830864817,0.9720709189538603,0.9261898169954299,-0.004503712695804518
StarCraft,Uniform,Simulation Data,rounds,15,False,0.9258021390374331,0.6637700534759359,0.37767379679144386,0.9692513368983957,0.8322192513368984,-0.039438502673796894,0.9486023000338304,0.7059542082846817,0.5302210169521666,0.979253708153744,0.8661483473086307,0.033732197305988976
StarCraft,Uniform,Simulation Data,rounds,16,False,0.9321524064171123,0.865307486631016,0.33188502673796794,0.9776069518716578,0.8903743315508021,-0.03175133689839571,0.9554427994249206,0.9033253024823363,0.4875524432485221,0.9853825133812925,0.924056609041583,0.025879608516892416
StarCraft,Uniform,Simulation Data,rounds,17,False,0.9498663101604278,0.9187834224598931,0.35461229946524064,0.9822860962566845,0.9197860962566845,-0.03776737967914445,0.9675464699816406,0.946625530006937,0.48880884775737976,0.9883924772133094,0.9451631233517802,-0.023731742831165414
StarCraft,Uniform,Simulation Data,rounds,18,False,0.9568850267379679,0.936831550802139,0.4371657754010695,0.9836229946524064,0.9298128342245989,-0.03008021390374327,0.9727380170132536,0.9576125337926383,0.5446354542618685,0.9894746522637877,0.9512302422991753,-0.005775397176466024
StarCraft,Uniform,Simulation Data,rounds,19,False,0.9582219251336899,0.9144385026737968,0.2984625668449198,0.983957219251337,0.8673128342245989,-0.03442513368983957,0.9732209514545653,0.9412387977240119,0.44248760718224944,0.9898499803324106,0.912731098380656,-0.017754985143091595
StarCraft,Uniform,Simulation Data,rounds,20,False,0.9652406417112299,0.8820187165775402,0.41410427807486627,0.983957219251337,0.9204545454545454,-0.048796791443850296,0.9774542960625549,0.9177495580434503,0.5262280508689702,0.9898499803324106,0.9382071880144314,-0.025111871750139514
StarCraft,Uniform,Simulation Data,rounds,21,False,0.9652406417112299,0.8619652406417112,0.4197860962566845,0.9829545454545454,0.7436497326203209,-0.06450534759358284,0.9774522278097539,0.8972794320431322,0.5251682781653624,0.9889245853519163,0.8029931542481448,-0.04010978573648516
StarCraft,Uniform,Simulation Data,rounds,22,False,0.9625668449197861,0.8900401069518716,0.4421791443850267,0.9856283422459893,0.8094919786096256,-0.04010695187165769,0.9756708253202214,0.9242172991167202,0.5729514497639442,0.9905871326789527,0.8711893487406843,0.01586110309100075
