Rank,Player,Profile URL
1,朴廷桓,https://www.goratings.org/zh/../../zh/players/1090.html
2,李世石,https://www.goratings.org/zh/../../zh/players/5.html
3,时越,https://www.goratings.org/zh/../../zh/players/449.html
4,崔哲瀚,https://www.goratings.org/zh/../../zh/players/161.html
5,范廷钰,https://www.goratings.org/zh/../../zh/players/1194.html
6,陈耀烨,https://www.goratings.org/zh/../../zh/players/297.html
7,金志锡,https://www.goratings.org/zh/../../zh/players/862.html
8,古力,https://www.goratings.org/zh/../../zh/players/179.html
9,檀啸,https://www.goratings.org/zh/../../zh/players/995.html
10,姜东润,https://www.goratings.org/zh/../../zh/players/313.html
11,井山裕太,https://www.goratings.org/zh/../../zh/players/601.html
12,周睿羊,https://www.goratings.org/zh/../../zh/players/381.html
13,柁嘉熹,https://www.goratings.org/zh/../../zh/players/433.html
14,芈昱廷,https://www.goratings.org/zh/../../zh/players/1155.html
15,谢赫,https://www.goratings.org/zh/../../zh/players/53.html
16,王檄,https://www.goratings.org/zh/../../zh/players/76.html
17,赵汉乘,https://www.goratings.org/zh/../../zh/players/99.html
18,江维杰,https://www.goratings.org/zh/../../zh/players/964.html
19,元晟溱,https://www.goratings.org/zh/../../zh/players/114.html
20,朴文垚,https://www.goratings.org/zh/../../zh/players/380.html
21,彭立尧,https://www.goratings.org/zh/../../zh/players/993.html
22,邱峻,https://www.goratings.org/zh/../../zh/players/45.html
23,朴永训,https://www.goratings.org/zh/../../zh/players/125.html
24,连笑,https://www.goratings.org/zh/../../zh/players/1082.html
25,唐韦星,https://www.goratings.org/zh/../../zh/players/897.html
26,白洪淅,https://www.goratings.org/zh/../../zh/players/315.html
27,孔杰,https://www.goratings.org/zh/../../zh/players/208.html
28,周贺玺,https://www.goratings.org/zh/../../zh/players/1152.html
29,柯洁,https://www.goratings.org/zh/../../zh/players/1195.html
30,李映九,https://www.goratings.org/zh/../../zh/players/303.html
31,李昌镐,https://www.goratings.org/zh/../../zh/players/18.html
32,杨鼎新,https://www.goratings.org/zh/../../zh/players/1193.html
