Rank,Player,Profile URL
1,申真谞,https://www.goratings.org/zh/../../zh/players/1313.html
2,柯洁,https://www.goratings.org/zh/../../zh/players/1195.html
3,朴廷桓,https://www.goratings.org/zh/../../zh/players/1090.html
4,辜梓豪,https://www.goratings.org/zh/../../zh/players/1253.html
5,芈昱廷,https://www.goratings.org/zh/../../zh/players/1155.html
6,杨鼎新,https://www.goratings.org/zh/../../zh/players/1193.html
7,丁浩,https://www.goratings.org/zh/../../zh/players/1511.html
8,范廷钰,https://www.goratings.org/zh/../../zh/players/1194.html
9,江维杰,https://www.goratings.org/zh/../../zh/players/964.html
10,谢尔豪,https://www.goratings.org/zh/../../zh/players/1276.html
11,连笑,https://www.goratings.org/zh/../../zh/players/1082.html
12,范蕴若,https://www.goratings.org/zh/../../zh/players/1207.html
13,谢科,https://www.goratings.org/zh/../../zh/players/1507.html
14,申旻埈,https://www.goratings.org/zh/../../zh/players/1314.html
15,卞相壹,https://www.goratings.org/zh/../../zh/players/1290.html
16,许嘉阳,https://www.goratings.org/zh/../../zh/players/1399.html
17,柁嘉熹,https://www.goratings.org/zh/../../zh/players/433.html
18,一力辽,https://www.goratings.org/zh/../../zh/players/1231.html
19,陈耀烨,https://www.goratings.org/zh/../../zh/players/297.html
20,李东勋,https://www.goratings.org/zh/../../zh/players/1259.html
21,李维清,https://www.goratings.org/zh/../../zh/players/1423.html
22,廖元赫,https://www.goratings.org/zh/../../zh/players/1427.html
23,金志锡,https://www.goratings.org/zh/../../zh/players/862.html
24,党毅飞,https://www.goratings.org/zh/../../zh/players/1135.html
25,李轩豪,https://www.goratings.org/zh/../../zh/players/1175.html
26,时越,https://www.goratings.org/zh/../../zh/players/449.html
27,陶欣然,https://www.goratings.org/zh/../../zh/players/1101.html
28,赵晨宇,https://www.goratings.org/zh/../../zh/players/1363.html
29,童梦成,https://www.goratings.org/zh/../../zh/players/1250.html
30,李钦诚,https://www.goratings.org/zh/../../zh/players/1282.html
31,井山裕太,https://www.goratings.org/zh/../../zh/players/601.html
32,姜东润,https://www.goratings.org/zh/../../zh/players/313.html
