Player: 申真谞, Date: 2020-06-03, Rating: 3835, Black and White: 执白, Result: 胜, Opponent: 范蕴若
Player: 申真谞, Date: 2020-05-29, Rating: 3835, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 申真谞, Date: 2020-05-25, Rating: 3834, Black and White: 执白, Result: 负, Opponent: 朴廷桓
Player: 申真谞, Date: 2020-05-21, Rating: 3834, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2020-05-19, Rating: 3833, Black and White: 执白, Result: 胜, Opponent: 尹灿熙
Player: 申真谞, Date: 2020-05-11, Rating: 3832, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 申真谞, Date: 2020-05-08, Rating: 3832, Black and White: 执白, Result: 胜, Opponent: 玄釉斌
Player: 申真谞, Date: 2020-05-03, Rating: 3831, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2020-05-02, Rating: 3831, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2020-04-26, Rating: 3830, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 申真谞, Date: 2020-04-07, Rating: 3827, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 申真谞, Date: 2020-03-30, Rating: 3826, Black and White: 执白, Result: 负, Opponent: 申旻埈
Player: 申真谞, Date: 2020-03-23, Rating: 3825, Black and White: 执黑, Result: 胜, Opponent: 李东勋
Player: 申真谞, Date: 2020-03-17, Rating: 3824, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 申真谞, Date: 2020-03-08, Rating: 3823, Black and White: 执黑, Result: 负, Opponent: 申旻埈
Player: 申真谞, Date: 2020-03-07, Rating: 3823, Black and White: 执黑, Result: 胜, Opponent: 安正己
Player: 申真谞, Date: 2020-03-06, Rating: 3823, Black and White: 执白, Result: 胜, Opponent: 安正己
Player: 申真谞, Date: 2020-03-03, Rating: 3822, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2020-02-29, Rating: 3822, Black and White: 执黑, Result: 胜, Opponent: 姜升旼
Player: 申真谞, Date: 2020-02-28, Rating: 3822, Black and White: 执白, Result: 胜, Opponent: 姜升旼
Player: 申真谞, Date: 2020-02-24, Rating: 3821, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 申真谞, Date: 2020-02-19, Rating: 3821, Black and White: 执黑, Result: 胜, Opponent: 李志贤
Player: 申真谞, Date: 2020-02-18, Rating: 3820, Black and White: 执白, Result: 胜, Opponent: 赵惠连
Player: 申真谞, Date: 2020-02-12, Rating: 3819, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2020-02-10, Rating: 3819, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2020-02-09, Rating: 3819, Black and White: 执黑, Result: 胜, Opponent: 宋泰坤
Player: 申真谞, Date: 2020-02-08, Rating: 3819, Black and White: 执白, Result: 胜, Opponent: 李昌锡
Player: 申真谞, Date: 2020-01-30, Rating: 3817, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 申真谞, Date: 2020-01-27, Rating: 3817, Black and White: 执黑, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2020-01-26, Rating: 3817, Black and White: 执白, Result: 胜, Opponent: 李志贤
Player: 申真谞, Date: 2020-01-16, Rating: 3815, Black and White: 执白, Result: 胜, Opponent: 李元道
Player: 申真谞, Date: 2020-01-15, Rating: 3814, Black and White: 执黑, Result: 胜, Opponent: 崔精
Player: 申真谞, Date: 2020-01-14, Rating: 3814, Black and White: 执黑, Result: 胜, Opponent: 白洪淅
Player: 申真谞, Date: 2020-01-09, Rating: 3813, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 申真谞, Date: 2020-01-03, Rating: 3812, Black and White: 执黑, Result: 胜, Opponent: 宋知勋
Player: 柯洁, Date: 2020-12-29, Rating: 3724, Black and White: 执白, Result: 负, Opponent: 范廷钰
Player: 柯洁, Date: 2020-12-18, Rating: 3726, Black and White: 执白, Result: 胜, Opponent: 罗玄
Player: 柯洁, Date: 2020-12-17, Rating: 3726, Black and White: 执白, Result: 胜, Opponent: 曹潇阳
Player: 柯洁, Date: 2020-12-16, Rating: 3726, Black and White: 执黑, Result: 负, Opponent: 陶欣然
Player: 柯洁, Date: 2020-12-14, Rating: 3726, Black and White: 执黑, Result: 胜, Opponent: 戎毅
Player: 柯洁, Date: 2020-12-13, Rating: 3726, Black and White: 执黑, Result: 负, Opponent: 申真谞
Player: 柯洁, Date: 2020-12-12, Rating: 3726, Black and White: 执白, Result: 胜, Opponent: 辜梓豪
Player: 柯洁, Date: 2020-12-11, Rating: 3726, Black and White: 执黑, Result: 负, Opponent: 丁浩
Player: 柯洁, Date: 2020-12-09, Rating: 3727, Black and White: 执白, Result: 胜, Opponent: 孟泰龄
Player: 柯洁, Date: 2020-12-08, Rating: 3727, Black and White: 执黑, Result: 胜, Opponent: 童梦成
Player: 柯洁, Date: 2020-12-07, Rating: 3727, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 柯洁, Date: 2020-12-06, Rating: 3727, Black and White: 执黑, Result: 负, Opponent: 杨鼎新
Player: 柯洁, Date: 2020-11-18, Rating: 3730, Black and White: 执黑, Result: 负, Opponent: 陶欣然
